Date(UTC+1),Method,Spend Amount,Receive Amount,Fee,Price,Status,Transaction ID
2021-12-28 18:17:05,Credit Card,250.00 CHF,257.99461475 USDT,5.00 CHF,0.94963222 USDT/CHF,Successful,N01172377823972347904122829
2021-12-28 09:13:38,Credit Card,3000.00 CHF,3091.62250175 USDT,60.00 CHF,0.95095698 USDT/CHF,Successful,N01172241060507314176122829
2021-12-03 13:52:11,Credit Card,55.00 PEN,12.81415377 USDT,0.00 PEN,4.29212892 USDT/PEN,Failed,N01163251462322117632120329
2021-12-03 04:43:00,Credit Card,55.00 PEN,12.82092652 USDT,0.00 PEN,4.28986157 USDT/PEN,Failed,N01163113258386317312120329
2021-12-03 02:02:55,Credit Card,55.00 PEN,12.82026537 USDT,0.00 PEN,4.2900828 USDT/PEN,Failed,N01163072968912911360120329
2021-12-02 23:20:21,Credit Card,55.00 PEN,12.81873451 USDT,0.00 PEN,4.29059514 USDT/PEN,Failed,N01163032059315868672120229
2021-12-02 23:19:42,Credit Card,55.00 PEN,12.8168578 USDT,0.00 PEN,4.29122339 USDT/PEN,Failed,N01163031894483915776120229
2021-12-02 21:41:57,Credit Card,55.00 PEN,12.83584027 USDT,0.00 PEN,4.28487725 USDT/PEN,Failed,N01163007294408603648120229
2021-12-02 21:40:33,Credit Card,55.00 PEN,12.57782537 USDT,1.11 PEN,4.28452442 USDT/PEN,Failed,N01163006944700116992120229
2021-12-02 21:27:30,Credit Card,15.00 USD,14.31957957 USDT,0.31 USD,1.02586811 USDT/USD,Failed,N01163003660417487872120229
2021-12-02 21:26:41,Credit Card,15.00 USD,14.31814661 USDT,0.31 USD,1.02597078 USDT/USD,Failed,4d57e2db9c0541bfa6a4bf238134b892
2021-12-02 19:48:37,Credit Card,15.00 USD,14.31957957 USDT,0.31 USD,1.02586811 USDT/USD,Failed,N01162978775997724672120229
2021-12-02 19:47:10,Credit Card,1700.00 JPY,14.28091648 USDT,34.00 JPY,116.65917957 USDT/JPY,Failed,N01162978409746912256120229
2021-12-02 14:38:39,Credit Card,12000.00 CLP,13.43004392 USDT,228.00 CLP,876.54218185 USDT/CLP,Failed,7e407e3249b24835954290ada258b797
2021-12-02 13:18:28,Credit Card,12000.00 CLP,13.47961506 USDT,228.00 CLP,873.31870737 USDT/CLP,Failed,N01162880589379515392120229
2021-12-02 12:20:59,Credit Card,12000.00 CLP,13.41006595 USDT,228.00 CLP,877.84803176 USDT/CLP,Failed,efe050b5358d454a97786fedb8a9c9e9
2021-12-02 12:19:22,Credit Card,12000.00 CLP,13.41184717 USDT,228.00 CLP,877.73144525 USDT/CLP,Failed,52c70e4043604af895f5dd60c77efc84
2021-12-02 12:18:47,Credit Card,12000.00 CLP,13.41090448 USDT,228.00 CLP,877.79314345 USDT/CLP,Failed,76219c762a744def92dd0f308872ab02
2021-12-02 12:14:26,Credit Card,12000.00 CLP,13.4097587 USDT,228.00 CLP,877.86814538 USDT/CLP,Failed,N01162864474301510656120229
2021-12-02 12:12:58,Credit Card,55.00 PEN,12.83947624 USDT,0.00 PEN,4.28366383 USDT/PEN,Failed,N01162864105869652992120229
2021-12-02 12:10:37,Credit Card,65.00 RON,14.14718057 USDT,1.31 RON,4.5019571 USDT/RON,Failed,N01162863515370375168120229
2021-12-02 12:06:06,Credit Card,12000.00 CLP,13.40994619 USDT,228.00 CLP,877.85587155 USDT/CLP,Failed,N01162862380119075840120229
2021-12-02 12:05:10,Credit Card,12000.00 CLP,13.41107501 USDT,228.00 CLP,877.78198177 USDT/CLP,Failed,N01162862146085308416120229
2021-12-02 12:04:15,Credit Card,12000.00 CLP,13.41063423 USDT,228.00 CLP,877.81083266 USDT/CLP,Failed,d804fea719734d0c9f42984007c2266c
2021-12-02 12:02:34,Credit Card,180.00 TRY,0.00022613 BTC,3.60 TRY,780082.25357095 BTC/TRY,Failed,N01162861490029048832120229
2021-12-02 12:01:12,Credit Card,180.00 TRY,12.66655614 USDT,3.60 TRY,13.92643731 USDT/TRY,Failed,c661f0f610e64823b4459bd1106b4e0f
2021-12-02 12:00:19,Credit Card,200.00 TRY,14.0712808 USDT,4.00 TRY,13.92908029 USDT/TRY,Failed,917f17f7eb3b48e1895936bea03c0d3f
2021-12-02 11:58:15,Credit Card,55.00 PEN,12.84008593 USDT,0.00 PEN,4.28346043 USDT/PEN,Failed,N01162860403595260928120229
2021-12-02 11:56:23,Credit Card,55.00 PEN,12.84137109 USDT,0.00 PEN,4.28303174 USDT/PEN,Failed,N01162859935729037312120229
2021-12-02 11:54:37,Credit Card,20.00 CAD,15.00402561 USDT,0.40 CAD,1.30631609 USDT/CAD,Failed,N01162859488242944000120229
2021-12-02 11:53:55,Credit Card,20.00 CAD,15.00552736 USDT,0.40 CAD,1.30618535 USDT/CAD,Failed,N01162859312312858624120229
2021-12-02 11:50:09,Credit Card,15.00 USD,14.31671365 USDT,0.31 USD,1.02607347 USDT/USD,Failed,N01162858363922004992120229
2021-12-01 16:29:17,Credit Card,190.00 CHF,195.43047669 USDT,3.80 CHF,0.95276849 USDT/CHF,Successful,ec7c3b3e9da045c6b1599a45f2a3b0cd
2021-12-01 16:27:30,Credit Card,200.00 CHF,205.65887264 USDT,4.00 CHF,0.9530345 USDT/CHF,Failed,N01162565772609436672120129
2021-12-01 16:24:55,Credit Card,200.00 CHF,205.72343818 USDT,4.00 CHF,0.95273539 USDT/CHF,Failed,N01162565123985486848120129
2021-12-01 16:23:38,Credit Card,200.00 CHF,205.69063336 USDT,4.00 CHF,0.95288734 USDT/CHF,Failed,N01162564801133128704120129
2021-12-01 16:21:31,Credit Card,200.00 CHF,205.69827679 USDT,4.00 CHF,0.95285193 USDT/CHF,Failed,N01162564268737539072120129
2021-11-29 05:02:42,Credit Card,90.00 CHF,91.92982088 USDT,1.80 CHF,0.95942752 USDT/CHF,Successful,c410e301a9774f2ba4a15a61ba18ff55
2021-11-29 05:01:24,Credit Card,94.00 CHF,96.00642203 USDT,1.88 CHF,0.95951915 USDT/CHF,Failed,0e106c430de8441e820798e574b2c20a
2021-11-29 05:00:35,Credit Card,94.00 CHF,96.01603036 USDT,1.88 CHF,0.95942313 USDT/CHF,Failed,N01161668129419017216112929
2021-11-29 05:00:03,Credit Card,94.00 CHF,95.99804483 USDT,1.88 CHF,0.95960288 USDT/CHF,Failed,39f58b94ffa3418baafe891cd347d5f5
2021-11-29 04:59:20,Credit Card,94.00 CHF,96.00765232 USDT,1.88 CHF,0.95950685 USDT/CHF,Failed,33d23018089b48af9acfe3ea1db399f4
2021-11-28 20:01:58,Credit Card,440.00 CHF,450.38521362 USDT,8.80 CHF,0.95740266 USDT/CHF,Successful,N01161532585217207296112829
2021-11-26 08:59:24,Credit Card,1000.00 CHF,1017.14999126 USDT,20.00 CHF,0.96347639 USDT/CHF,Successful,N01160641067824561152112629
2021-11-26 08:58:26,Credit Card,4000.00 CHF,4069.00711003 USDT,80.00 CHF,0.96337998 USDT/CHF,Successful,N01160640822164171776112629
2021-11-26 08:57:06,Credit Card,5000.00 CHF,5086.25888754 USDT,100.00 CHF,0.96337998 USDT/CHF,Failed,2ae7ce509ae6431aa2a1313c4613d2d3
2021-11-18 00:52:57,Credit Card,600.00 CHF,610.91925868 USDT,12.00 CHF,0.96248398 USDT/CHF,Successful,ebb88352f56442f8a55d5eec61f83813
2021-11-15 07:46:02,Credit Card,172.00 CHF,176.84629589 USDT,3.44 CHF,0.95314408 USDT/CHF,Successful,N01156636338731709440111529
2021-11-10 13:05:00,Credit Card,35.00 CHF,36.21736298 USDT,0.71 CHF,0.94678345 USDT/CHF,Successful,312a1d55020b4fa180184fed7c494e44
2021-11-09 15:49:30,Credit Card,152.00 CHF,157.50099139 USDT,3.04 CHF,0.94577182 USDT/CHF,Successful,1613bbfd2526419db2b91407b319d847
2021-11-09 15:47:04,Credit Card,153.00 CHF,158.51852098 USDT,3.06 CHF,0.94588316 USDT/CHF,Failed,N01154583066839707648110929
2021-11-09 15:46:08,Credit Card,160.00 USD,152.89204507 USDT,3.20 USD,1.02556022 USDT/USD,Failed,7200c805bfb84f0392b6b74484513538
2021-11-09 01:24:19,Credit Card,32.00 USD,30.57229088 USDT,0.64 USD,1.02576546 USDT/USD,Successful,0c0ea33b745e4e69931a8dd2b4c1a60a
2021-10-26 08:20:40,Credit Card,4000.00 CHF,4111.62917749 USDT,80.00 CHF,0.95339337 USDT/CHF,Successful,N01149397293962175488102629
2021-10-20 05:40:34,Credit Card,15.00 CHF,15.34852336 USDT,0.31 CHF,0.95709533 USDT/CHF,Failed,6ec11b1947154cac866106bd3fe937cc
2021-09-29 12:37:40,Credit Card,21.00 CHF,21.37241794 USDT,0.42 CHF,0.96292334 USDT/CHF,Successful,09664dc09ef64ce3b0e5e5917a7c9eaf
2021-09-29 02:11:41,Credit Card,250.00 CHF,254.37712146 USDT,5.00 CHF,0.96313693 USDT/CHF,Successful,N01139519964725145600092929
2021-09-29 02:11:31,Credit Card,250.00 CHF,254.41366769 USDT,5.00 CHF,0.96299858 USDT/CHF,Failed,N01139519923897791488092929
2021-09-27 09:27:08,Credit Card,2000.00 CHF,2037.84643857 USDT,40.00 CHF,0.96179965 USDT/CHF,Successful,9e893f97966a4c949e63e2b08b846b96
2021-09-27 02:34:35,Credit Card,2000.00 CHF,2045.02036937 USDT,40.00 CHF,0.95842566 USDT/CHF,Failed,92404921804b480b9f8025c0fa8168eb
2021-09-27 02:34:29,Credit Card,2000.00 CHF,2044.90513449 USDT,40.00 CHF,0.95847967 USDT/CHF,Successful,302440614e56474eac9b6f88bab4e4fc
2021-09-07 17:54:51,Credit Card,15.00 CHF,15.4262844 USDT,0.31 CHF,0.95227079 USDT/CHF,Successful,26471b3f9d2f414d96b1d42aec5bf266
2021-08-27 21:35:47,Credit Card,700.00 CHF,726.92936429 BUSD,14.00 CHF,0.94369554 BUSD/CHF,Successful,646025fa3311430fbaa3ae7326bdedee
2021-08-26 13:25:08,Credit Card,1050.00 CHF,1083.92666767 BUSD,21.00 CHF,0.94932621 BUSD/CHF,Successful,51f4201b4e4c43319dadc90830075fc7
2021-08-23 11:40:24,Credit Card,37.50 CHF,38.64304745 USDT,0.75 CHF,0.95101195 USDT/CHF,Successful,044f290902ef49cba0707b4b23c462a7
2021-08-09 17:55:58,Credit Card,4000.00 NGN,8.64563129 USDT,80.00 NGN,453.408186 USDT/NGN,Successful,9230633ce9724202be96b9a3ad36ad2b
2021-08-06 11:05:37,Credit Card,15.00 EUR,16.99997846 USDT,0.31 EUR,0.86411874 USDT/EUR,Failed,bd7c4154d5014b3a8707f63ceb88c3cc
2021-08-01 01:17:14,Credit Card,226.00 CHF,238.3586401 USDT,4.52 CHF,0.92918805 USDT/CHF,Successful,d64d1f33a3fc475f923599fa42a4ace1
2021-08-01 01:13:26,Credit Card,295.00 CHF,311.08995724 USDT,5.91 CHF,0.92928104 USDT/CHF,Failed,ef3b0f367dea409fa7a60ba3f6b97e6e
2021-08-01 01:11:05,Credit Card,295.00 CHF,311.08995724 USDT,5.91 CHF,0.92928104 USDT/CHF,Failed,bc7f62fda0f44427ba18194f93758168
2021-08-01 01:10:15,Credit Card,295.00 CHF,311.08995724 USDT,5.91 CHF,0.92928104 USDT/CHF,Failed,f69bb3bd9e4c4481a45562695c022617
2021-07-31 12:47:31,Credit Card,47.00 CHF,49.58555665 USDT,0.94 CHF,0.92889952 USDT/CHF,Successful,66fb271c459a4da29b518dc5aa9340a0
2021-07-30 05:30:26,Credit Card,304.00 CHF,320.1907986 USDT,6.08 CHF,0.93044523 USDT/CHF,Successful,64cd8abdf7d44bb0b6508091abf4dee8
2021-07-29 10:46:07,Credit Card,150.00 CHF,0.003894 BTC,3.00 CHF,37750.38520801 BTC/CHF,Successful,51dce4764e1e432abaf76ecf4b0705da
2021-07-29 06:52:01,Credit Card,50.00 CHF,52.55408658 USDT,1.00 CHF,0.93237278 USDT/CHF,Successful,c69a97ad98bb41409659303cca1be5ab
2021-07-29 06:21:08,Credit Card,500.00 CHF,0.01319 BTC,10.00 CHF,37149.3555724 BTC/CHF,Successful,c826e84228e644e595c8d150ad6638da
2021-07-28 19:49:23,Credit Card,1000.00 CHF,1045.91804067 USDT,20.00 CHF,0.9369759 USDT/CHF,Successful,0c93568f29d1471c837cbf3b65c742c0
2021-07-28 13:32:51,Credit Card,2000.00 CHF,2085.88041778 USDT,40.00 CHF,0.93965118 USDT/CHF,Successful,bda34302e0054cdcae046b045e56af8b
2021-07-20 05:20:00,Credit Card,40.00 CHF,41.63369075 USDT,0.80 CHF,0.94154516 USDT/CHF,Successful,7dc7bd1f00904469b2799301868a97b6
2021-07-19 16:09:26,Credit Card,80.00 CHF,0.002694 BTC,1.60 CHF,29101.70749814 BTC/CHF,Successful,8b6fad4d5ebd4ca99c181cfa401e7cb1
