"Uid","Time(UTC)","Symbol","Side","Position Side","Price","Quantity","Amount","Fee","Realized Profit","Buyer","Maker","Trade Id","Order Id"
"11207629","2024-01-05 17:30:08","ARPAUSDT","SELL","BOTH","0.07133000","216.00000000","15.40728000","-0.00770364 USDT","0E-8","false","false","159012825","2985319362"
"11207629","2024-01-05 17:30:08","ARPAUSDT","SELL","BOTH","0.07134000","1011.00000000","72.12474000","-0.03606237 USDT","0E-8","false","false","159012823","2985319362"
"11207629","2024-01-05 17:30:08","ARPAUSDT","SELL","BOTH","0.07132000","481.00000000","34.30492000","-0.01715246 USDT","0E-8","false","false","159012828","2985319362"
"11207629","2024-01-05 17:30:08","ARPAUSDT","SELL","BOTH","0.07134000","2102.00000000","149.95668000","-0.07497834 USDT","0E-8","false","false","159012824","2985319362"
"11207629","2024-01-05 17:30:08","ARPAUSDT","SELL","BOTH","0.07133000","110.00000000","7.84630000","-0.00392315 USDT","0E-8","false","false","159012827","2985319362"
"11207629","2024-01-05 17:30:08","ARPAUSDT","SELL","BOTH","0.07133000","1011.00000000","72.11463000","-0.03605731 USDT","0E-8","false","false","159012826","2985319362"
"11207629","2024-01-05 17:31:23","ARPAUSDT","SELL","BOTH","0.07091000","541.00000000","38.36231000","-0.01918115 USDT","0E-8","false","false","159014021","2985328926"
"11207629","2024-01-05 17:31:55","ARPAUSDT","SELL","BOTH","0.07074000","336.00000000","23.76864000","-0.01188432 USDT","0E-8","false","false","159015419","2985336093"
"11207629","2024-01-05 19:02:26","ARPAUSDT","SELL","BOTH","0.06982000","1705.00000000","119.04310000","-0.02380862 USDT","0E-8","false","true","159096297","2985967078"
"11207629","2024-01-05 19:03:15","ARPAUSDT","SELL","BOTH","0.06728000","1750.00000000","117.74000000","-0.05887000 USDT","0E-8","false","false","159106779","2986005019"
"11207629","2024-01-05 19:04:10","ARPAUSDT","BUY","BOTH","0.06739000","1127.00000000","75.94853000","-0.03797426 USDT","3.21626673","true","false","159109416","2986023085"
"11207629","2024-01-05 19:04:10","ARPAUSDT","BUY","BOTH","0.06738000","371.00000000","24.99798000","-0.01249899 USDT","1.06248103","true","false","159109414","2986023085"
"11207629","2024-01-05 19:04:10","ARPAUSDT","BUY","BOTH","0.06740000","1241.00000000","83.64340000","-0.04182170 USDT","3.52919339","true","false","159109419","2986023085"
