Time,Type,Amount,Asset,Symbol,Transaction ID
21-01-29 13:14:46,COMMISSION,-0.22123044,USDT,BTCUSDT,90031451442348
21-01-29 13:16:41,INSURANCE_CLEAR,-1.7129193,USDT,BTCUSDT,4074942560507412480
21-01-29 13:16:41,REALIZED_PNL,-2.7861,USDT,BTCUSDT,90030451449443
21-01-30 20:07:18,TRANSFER,516.8513075,USDT,,15214256545
21-01-30 20:12:38,COMMISSION,-0.1233086,USDT,BTCUSDT,90030456625965
21-01-30 20:12:38,COMMISSION,-0.52063632,USDT,BTCUSDT,90030456625966
21-01-30 20:12:38,COMMISSION,-0.02740191,USDT,BTCUSDT,90030456625969
21-01-30 20:12:38,COMMISSION,-0.16441147,USDT,BTCUSDT,90030456625963
21-01-30 20:12:38,COMMISSION,-0.1233086,USDT,BTCUSDT,90030456625968
21-01-30 20:12:38,COMMISSION,-0.01370095,USDT,BTCUSDT,90030456625967
21-01-30 20:12:38,COMMISSION,-0.01370095,USDT,BTCUSDT,90030456625964
21-01-30 21:15:17,COMMISSION,-0.20000138,USDT,XRPUSDT,90101170698718
21-01-30 21:15:17,COMMISSION,-2.42092,USDT,XRPUSDT,90101170698717
21-01-30 21:15:17,COMMISSION,-0.50999601,USDT,XRPUSDT,90101170698716
21-01-30 21:15:17,COMMISSION,-0.10336493,USDT,XRPUSDT,90101170698719
21-01-30 21:15:17,COMMISSION,-0.76267417,USDT,XRPUSDT,90101170698715
21-01-30 21:19:07,REALIZED_PNL,-442.44604,USDT,XRPUSDT,90100170734413
21-01-30 21:19:07,COMMISSION,-3.81997809,USDT,XRPUSDT,90100170734413
21-01-30 21:19:31,COMMISSION,-0.17018625,USDT,XRPUSDT,90101170739448
21-01-30 21:19:31,COMMISSION,-0.13517323,USDT,XRPUSDT,90101170739450
21-01-30 21:19:31,COMMISSION,-0.20001748,USDT,XRPUSDT,90101170739449
21-01-30 21:19:31,COMMISSION,-0.0003987,USDT,XRPUSDT,90101170739451
21-01-30 21:20:41,COMMISSION,-0.5180837,USDT,XRPUSDT,90100170749155
21-01-30 21:20:41,REALIZED_PNL,30.77008999,USDT,XRPUSDT,90100170749155
21-01-30 21:21:01,COMMISSION,-0.9765215,USDT,XRPUSDT,90101170750827
21-01-30 21:21:01,COMMISSION,-0.0008146,USDT,XRPUSDT,90101170750823
21-01-30 21:21:01,COMMISSION,-0.01116002,USDT,XRPUSDT,90101170750824
21-01-30 21:21:01,COMMISSION,-0.01153756,USDT,XRPUSDT,90101170750826
21-01-30 21:21:01,COMMISSION,-0.15193919,USDT,XRPUSDT,90101170750822
21-01-30 21:21:01,COMMISSION,-0.0008146,USDT,XRPUSDT,90101170750825
21-01-30 21:24:34,REALIZED_PNL,9.5272254,USDT,XRPUSDT,90100170773681
21-01-30 21:24:34,REALIZED_PNL,9.06028214,USDT,XRPUSDT,90100170773680
