"Date(UTC)","Pair","Side","Price","Executed","Amount","Fee"
"2025-08-11 17:17:56","BNBUSDT","BUY","807.18","0.007BNB","5.65026USDT","0.00000525BNB"
"2025-08-11 17:17:26","GMXUSDT","SELL","16.93","0.297GMX","5.02821USDT","0.00502821USDT"
"2025-08-11 17:17:26","GMXUSDT","SELL","16.92","61.51GMX","1040.7492USDT","1.0407492USDT"
"2025-08-11 17:17:26","GMXUSDT","SELL","16.92","18.45GMX","312.174USDT","0.312174USDT"
"2025-08-11 17:17:26","GMXUSDT","SELL","16.92","18.25GMX","308.79USDT","0.30879USDT"
"2025-08-11 17:17:26","GMXUSDT","SELL","16.92","11.881GMX","201.02652USDT","0.20102652USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.89","0.442GMX","7.46538USDT","0.00746538USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.89","0.98GMX","16.5522USDT","0.0165522USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.88","0.439GMX","7.41032USDT","0.00741032USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.89","75.667GMX","1278.01563USDT","1.27801563USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.9","17.091GMX","288.8379USDT","0.2888379USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.88","0.442GMX","7.46096USDT","0.00746096USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.89","2.959GMX","49.97751USDT","0.04997751USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.89","1.17GMX","19.7613USDT","0.0197613USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.89","1.15GMX","19.4235USDT","0.0194235USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.89","0.85GMX","14.3565USDT","0.0143565USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.89","12.204GMX","206.12556USDT","0.20612556USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.89","74.537GMX","1258.92993USDT","1.25892993USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.88","33.729GMX","569.34552USDT","0.56934552USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.89","54.551GMX","921.36639USDT","0.92136639USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.89","1.26GMX","21.2814USDT","0.0212814USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.9","1.01GMX","17.069USDT","0.017069USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.89","13.725GMX","231.81525USDT","0.23181525USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.88","1.764GMX","29.77632USDT","0.02977632USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.89","1.05GMX","17.7345USDT","0.0177345USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.89","1GMX","16.89USDT","0.01689USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.89","0.439GMX","7.41471USDT","0.00741471USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.88","18.45GMX","311.436USDT","0.311436USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.89","20.151GMX","340.35039USDT","0.34035039USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.89","85.985GMX","1452.28665USDT","1.45228665USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.89","0.298GMX","5.03322USDT","0.00503322USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.88","37.705GMX","636.4604USDT","0.6364604USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.88","20.151GMX","340.14888USDT","0.34014888USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.89","1GMX","16.89USDT","0.01689USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.88","0.842GMX","14.21296USDT","0.01421296USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.89","19.494GMX","329.25366USDT","0.32925366USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.89","37.279GMX","629.64231USDT","0.62964231USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.89","1.12GMX","18.9168USDT","0.0189168USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.89","1.14GMX","19.2546USDT","0.0192546USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.88","2.014GMX","33.99632USDT","0.03399632USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.9","2.957GMX","49.9733USDT","0.0499733USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.89","16.024GMX","270.64536USDT","0.27064536USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.89","18.45GMX","311.6205USDT","0.3116205USDT"
"2025-08-11 17:17:02","GMXUSDT","SELL","16.88","30.318GMX","511.76784USDT","0.51176784USDT"
"2025-08-11 16:08:11","GMXUSDT","BUY","17.45","11.842GMX","206.6429USDT","0.011842GMX"
"2025-08-11 16:08:11","GMXUSDT","BUY","17.45","2.197GMX","38.33765USDT","0.002197GMX"
"2025-08-11 16:08:11","GMXUSDT","BUY","17.44","18.45GMX","321.768USDT","0.01845GMX"
"2025-08-11 16:08:11","GMXUSDT","BUY","17.45","6.365GMX","111.06925USDT","0.006365GMX"
"2025-08-11 16:08:11","GMXUSDT","BUY","17.44","13.832GMX","241.23008USDT","0.013832GMX"
"2025-08-11 16:00:31","GMXUSDT","BUY","17.37","10.049GMX","174.55113USDT","0.010049GMX"
"2025-08-11 16:00:31","GMXUSDT","BUY","17.37","0.431GMX","7.48647USDT","0.000431GMX"
"2025-08-11 16:00:28","GMXUSDT","SELL","17.35","10.503GMX","182.22705USDT","0.18222705USDT"
"2025-08-11 15:59:25","GMXUSDT","BUY","17.36","3.314GMX","57.53104USDT","0.003314GMX"
"2025-08-11 15:59:25","GMXUSDT","BUY","17.36","20.584GMX","357.33824USDT","0.020584GMX"
"2025-08-11 15:59:25","GMXUSDT","BUY","17.36","18.45GMX","320.292USDT","0.01845GMX"
"2025-08-11 15:45:16","GMXUSDT","BUY","17.24","10.749GMX","185.31276USDT","0.010749GMX"
"2025-08-11 15:45:16","GMXUSDT","BUY","17.25","12.52GMX","215.97USDT","0.01252GMX"
"2025-08-11 15:45:16","GMXUSDT","BUY","17.24","10.749GMX","185.31276USDT","0.010749GMX"
"2025-08-11 15:45:16","GMXUSDT","BUY","17.24","18.45GMX","318.078USDT","0.01845GMX"
"2025-08-11 15:31:59","GMXUSDT","BUY","17.14","18.45GMX","316.233USDT","0.01845GMX"
"2025-08-11 15:31:59","GMXUSDT","BUY","17.14","19.36GMX","331.8304USDT","0.01936GMX"
"2025-08-11 15:31:59","GMXUSDT","BUY","17.14","10.365GMX","177.6561USDT","0.010365GMX"
"2025-08-11 15:25:32","GMXUSDT","BUY","17.05","7.426GMX","126.6133USDT","0.007426GMX"
"2025-08-11 15:25:32","GMXUSDT","BUY","17.05","18.45GMX","314.5725USDT","0.01845GMX"
"2025-08-11 15:25:32","GMXUSDT","BUY","17.05","2.014GMX","34.3387USDT","0.002014GMX"
"2025-08-11 15:20:35","GMXUSDT","BUY","16.98","4.358GMX","73.99884USDT","0.004358GMX"
"2025-08-11 13:43:33","GMXUSDT","BUY","16.89","10.873GMX","183.64497USDT","0.010873GMX"
"2025-08-11 13:43:33","GMXUSDT","BUY","16.88","5.204GMX","87.84352USDT","0.005204GMX"
"2025-08-11 13:43:33","GMXUSDT","BUY","16.89","18.45GMX","311.6205USDT","0.01845GMX"
"2025-08-11 13:43:33","GMXUSDT","BUY","16.88","19.312GMX","325.98656USDT","0.019312GMX"
"2025-08-11 13:38:38","GMXUSDT","BUY","16.85","28.808GMX","485.4148USDT","0.028808GMX"
"2025-08-11 13:32:06","GMXUSDT","BUY","16.77","0.301GMX","5.04777USDT","0.000301GMX"
"2025-08-11 13:32:06","GMXUSDT","BUY","16.77","18.093GMX","303.41961USDT","0.018093GMX"
"2025-08-11 13:32:06","GMXUSDT","BUY","16.78","16.572GMX","278.07816USDT","0.016572GMX"
"2025-08-11 12:05:40","GMXUSDT","BUY","16.71","0.791GMX","13.21761USDT","0.000791GMX"
"2025-08-11 12:05:35","GMXUSDT","BUY","16.7","1.39GMX","23.213USDT","0.00139GMX"
"2025-08-11 12:05:17","GMXUSDT","BUY","16.67","35.782GMX","596.48594USDT","0.035782GMX"
"2025-08-11 12:05:17","GMXUSDT","BUY","16.67","18.45GMX","307.5615USDT","0.01845GMX"
"2025-08-11 12:05:17","GMXUSDT","BUY","16.67","5.305GMX","88.43435USDT","0.005305GMX"
"2025-08-11 12:05:17","GMXUSDT","BUY","16.67","90.334GMX","1505.86778USDT","0.090334GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","0.97GMX","16.4803USDT","0.00097GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","0.95GMX","16.1405USDT","0.00095GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","1.21GMX","20.5579USDT","0.00121GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","1.12GMX","19.0288USDT","0.00112GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","1GMX","16.99USDT","0.001GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","1.01GMX","17.1599USDT","0.00101GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","1.13GMX","19.1987USDT","0.00113GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","1.03GMX","17.4997USDT","0.00103GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","19.717GMX","334.99183USDT","0.019717GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.98","18.323GMX","311.12454USDT","0.018323GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","1.24GMX","21.0676USDT","0.00124GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","1.15GMX","19.5385USDT","0.00115GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","1.23GMX","20.8977USDT","0.00123GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","1.15GMX","19.5385USDT","0.00115GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","1.17GMX","19.8783USDT","0.00117GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","1.01GMX","17.1599USDT","0.00101GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","2.954GMX","50.18846USDT","0.002954GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","0.442GMX","7.50958USDT","0.000442GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","0.98GMX","16.6502USDT","0.00098GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","1.45GMX","24.6355USDT","0.00145GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","1.01GMX","17.1599USDT","0.00101GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","1.12GMX","19.0288USDT","0.00112GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","1.02GMX","17.3298USDT","0.00102GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","18.45GMX","313.4655USDT","0.01845GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.98","18.45GMX","313.281USDT","0.01845GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","1.04GMX","17.6696USDT","0.00104GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","0.99GMX","16.8201USDT","0.00099GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","2.902GMX","49.30498USDT","0.002902GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","0.99GMX","16.8201USDT","0.00099GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.98","2.943GMX","49.97214USDT","0.002943GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","24.88GMX","422.7112USDT","0.02488GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","0.98GMX","16.6502USDT","0.00098GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.98","12.204GMX","207.22392USDT","0.012204GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","30.276GMX","514.38924USDT","0.030276GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","56.834GMX","965.60966USDT","0.056834GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","1.15GMX","19.5385USDT","0.00115GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","1.14GMX","19.3686USDT","0.00114GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","1.14GMX","19.3686USDT","0.00114GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","1.23GMX","20.8977USDT","0.00123GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","1GMX","16.99USDT","0.001GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","1.14GMX","19.3686USDT","0.00114GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","0.442GMX","7.50958USDT","0.000442GMX"
"2025-08-11 11:32:30","GMXUSDT","BUY","16.99","1.17GMX","19.8783USDT","0.00117GMX"
"2025-08-11 11:26:28","A2ZUSDT","SELL","0.007211","1387A2Z","10.001657USDT","0.01000166USDT"
"2025-08-11 11:26:28","A2ZUSDT","SELL","0.007211","94849A2Z","683.956139USDT","0.68395614USDT"
"2025-08-11 11:26:28","A2ZUSDT","SELL","0.007212","1040A2Z","7.50048USDT","0.00750048USDT"
"2025-08-11 11:26:28","A2ZUSDT","SELL","0.00721","100091A2Z","721.65611USDT","0.72165611USDT"
"2025-08-11 11:26:28","A2ZUSDT","SELL","0.007213","1040A2Z","7.50152USDT","0.00750152USDT"
"2025-08-11 11:26:28","A2ZUSDT","SELL","0.007213","1387A2Z","10.004431USDT","0.01000443USDT"
"2025-08-11 11:26:28","A2ZUSDT","SELL","0.007212","12123A2Z","87.431076USDT","0.08743108USDT"
"2025-08-11 11:26:28","A2ZUSDT","SELL","0.007212","763A2Z","5.502756USDT","0.00550276USDT"
"2025-08-11 11:26:28","A2ZUSDT","SELL","0.007213","5165A2Z","37.255145USDT","0.03725515USDT"
"2025-08-11 11:26:28","A2ZUSDT","SELL","0.007213","1674A2Z","12.074562USDT","0.01207456USDT"
"2025-08-11 11:26:28","A2ZUSDT","SELL","0.007212","1387A2Z","10.003044USDT","0.01000304USDT"
"2025-08-11 11:26:28","A2ZUSDT","SELL","0.007211","12123A2Z","87.418953USDT","0.08741895USDT"
