"Date(UTC)","Pair","Side","Price","Executed","Amount","Fee"
"2025-08-09 08:41:11","A2ZUSDT","SELL","0.007215","6023A2Z","43.455945USDT","0.04345595USDT"
"2025-08-09 08:41:11","A2ZUSDT","SELL","0.007216","763A2Z","5.505808USDT","0.00550581USDT"
"2025-08-09 08:41:11","A2ZUSDT","SELL","0.007216","1387A2Z","10.008592USDT","0.01000859USDT"
"2025-08-09 08:41:11","A2ZUSDT","SELL","0.007216","24936A2Z","179.938176USDT","0.17993818USDT"
"2025-08-08 22:36:20","A2ZUSDT","BUY","0.007198","22693A2Z","163.344214USDT","22.693A2Z"
"2025-08-08 22:36:20","A2ZUSDT","BUY","0.007198","10450A2Z","75.2191USDT","10.45A2Z"
"2025-08-05 16:48:53","TOWNSUSDT","BUY","0.04052","846TOWNS","34.27992USDT","0.846TOWNS"
"2025-05-04 13:12:38","ETHUSDT","BUY","1830.21","0.0129ETH","23.609709USDT","0.0000129ETH"
"2025-02-28 19:18:14","ETHUSDT","SELL","2228.07","0.0024ETH","5.347368USDT","0.00534737USDT"
"2025-02-28 19:18:14","ETHUSDT","SELL","2228.07","0.0015ETH","3.342105USDT","0.00334211USDT"
"2024-09-20 11:39:34","SOLUSDT","SELL","150.45","1.07SOL","160.9815USDT","0.1609815USDT"
"2024-03-12 15:19:06","AVAXBNB","BUY","0.09472","0.98AVAX","0.0928256BNB","0.00006984BNB"
"2024-03-11 16:51:16","ETHUSDT","BUY","4037.59","0.0375ETH","151.409625USDT","0.0000375ETH"
"2024-03-11 13:18:24","ETHUSDT","BUY","4046.61","0.0247ETH","99.951267USDT","0.0000247ETH"
"2024-03-10 20:58:03","LTCUSDT","BUY","88","0.159LTC","13.992USDT","0.000159LTC"
"2024-03-10 20:53:15","BTCUSDT","SELL","69299.45","0.00136BTC","94.247252USDT","0.09424725USDT"
"2024-01-10 22:47:10","LTCUSDT","BUY","69.53","0.876LTC","60.90828USDT","0.000876LTC"
"2024-01-10 21:52:12","LTCUSDT","BUY","69.04","0.185LTC","12.7724USDT","0.000185LTC"
"2024-01-10 21:05:33","LTCUSDT","BUY","67.98","0.173LTC","11.76054USDT","0.000173LTC"
"2024-01-10 19:39:05","BTCUSDT","SELL","46160.47","0.00318BTC","146.7902946USDT","0.14679029USDT"
"2024-01-06 19:22:01","LTCUSDT","BUY","65.44","1.426LTC","93.31744USDT","0.001426LTC"
"2024-01-06 18:19:33","BTCUSDT","SELL","43942.31","0.00318BTC","139.7365458USDT","0.13973655USDT"
"2023-12-25 22:53:52","LTCUSDT","BUY","72.42","1.006LTC","72.85452USDT","0.001006LTC"
"2023-12-25 21:15:22","BTCUSDT","SELL","43400.38","0.00445BTC","193.131691USDT","0.19313169USDT"
"2023-12-21 18:10:40","BTCUSDT","SELL","43567.36","0.00173BTC","75.3715328USDT","0.07537153USDT"
"2023-12-18 05:18:46","BTCUSDT","SELL","41107.68","0.00338BTC","138.9439584USDT","0.13894396USDT"
"2023-12-10 18:35:20","ETHUSDT","BUY","2357.83","0.0124ETH","29.237092USDT","0.0000124ETH"
