"streak_rank","streak_length","window_role","position_seq","position_symbol","position_open_utc","position_close_utc","position_realized","position_fee","position_pnl","position_outcome","position_n_fills","position_order_ids","Uid","Time(UTC)","Symbol","Side","Position Side","Price","Quantity","Amount","Fee","Realized Profit","Buyer","Maker","Trade Id","Order Id"
"1","32","PRE_WIN_BOUNDARY","1","ADAUSDT","2021-03-01 05:44:18","2021-03-01 05:45:14","3.62795000","-0.00071802","3.62723198","WIN","2","10686746169|10686865911","11207629","2021-03-01 05:44:18","ADAUSDT","BUY","BOTH","1.25750000","345.00000000","433.83750000","-0.00070169 BNB","3.62250000","true","false","116114367","10686746169"
"1","32","PRE_WIN_BOUNDARY","1","ADAUSDT","2021-03-01 05:44:18","2021-03-01 05:45:14","3.62795000","-0.00071802","3.62723198","WIN","2","10686746169|10686865911","11207629","2021-03-01 05:45:14","ADAUSDT","BUY","BOTH","1.26255000","8.00000000","10.10040000","-0.00001633 BNB","0.00545000","true","false","116115118","10686865911"
"1","32","LOSS_STREAK","2","DOTUSDT","2021-03-01 05:44:19","2021-03-01 05:45:25","-1.14239999","-0.00177353","-1.14417352","LOSS","5","3496600132|3496734920","11207629","2021-03-01 05:44:19","DOTUSDT","SELL","BOTH","33.28000000","5.40000000","179.71200000","-0.00029073 BNB","0E-8","false","false","78629963","3496600132"
"1","32","LOSS_STREAK","2","DOTUSDT","2021-03-01 05:44:19","2021-03-01 05:45:25","-1.14239999","-0.00177353","-1.14417352","LOSS","5","3496600132|3496734920","11207629","2021-03-01 05:44:19","DOTUSDT","SELL","BOTH","33.28500000","4.00000000","133.14000000","-0.00021539 BNB","-0.36000000","false","false","78629961","3496600132"
"1","32","LOSS_STREAK","2","DOTUSDT","2021-03-01 05:44:19","2021-03-01 05:45:25","-1.14239999","-0.00177353","-1.14417352","LOSS","5","3496600132|3496734920","11207629","2021-03-01 05:45:25","DOTUSDT","BUY","BOTH","33.35600000","0.90000000","30.02040000","-0.00004854 BNB","0E-8","true","false","78630441","3496734920"
"1","32","LOSS_STREAK","2","DOTUSDT","2021-03-01 05:44:19","2021-03-01 05:45:25","-1.14239999","-0.00177353","-1.14417352","LOSS","5","3496600132|3496734920","11207629","2021-03-01 05:45:25","DOTUSDT","BUY","BOTH","33.35800000","2.60000000","86.73080000","-0.00014023 BNB","0E-8","true","false","78630442","3496734920"
"1","32","LOSS_STREAK","2","DOTUSDT","2021-03-01 05:44:19","2021-03-01 05:45:25","-1.14239999","-0.00177353","-1.14417352","LOSS","5","3496600132|3496734920","11207629","2021-03-01 05:45:25","DOTUSDT","BUY","BOTH","33.35500000","20.00000000","667.10000000","-0.00107864 BNB","-0.78239999","true","false","78630440","3496734920"
"1","32","LOSS_STREAK","3","TRXUSDT","2021-03-01 05:44:46","2021-03-01 05:45:45","-0.34727000","-0.00117995","-0.34844995","LOSS","2","2619951295|2619999482","11207629","2021-03-01 05:44:46","TRXUSDT","SELL","BOTH","0.04523000","4961.00000000","224.38603000","-0.00036315 BNB","0E-8","false","false","60953122","2619951295"
"1","32","LOSS_STREAK","3","TRXUSDT","2021-03-01 05:44:46","2021-03-01 05:45:45","-0.34727000","-0.00117995","-0.34844995","LOSS","2","2619951295|2619999482","11207629","2021-03-01 05:45:45","TRXUSDT","BUY","BOTH","0.04530000","11162.00000000","505.63860000","-0.00081680 BNB","-0.34727000","true","false","60953177","2619999482"
"1","32","LOSS_STREAK","4","TRXUSDT","2021-03-01 05:46:17","2021-03-01 05:46:17","-0.37206000","-0.00102000","-0.37308000","LOSS","1","2620002132","11207629","2021-03-01 05:46:17","TRXUSDT","SELL","BOTH","0.04524000","13952.00000000","631.18848000","-0.00102000 BNB","-0.37206000","false","false","60953271","2620002132"
"1","32","LOSS_STREAK","5","ADAUSDT","2021-03-01 05:45:14","2021-03-01 05:47:43","-0.37121000","-0.00077177","-0.37198177","LOSS","2","10686865911|10686886746","11207629","2021-03-01 05:45:14","ADAUSDT","BUY","BOTH","1.26262000","111.00000000","140.15082000","-0.00022660 BNB","0E-8","true","false","116115119","10686865911"
"1","32","LOSS_STREAK","5","ADAUSDT","2021-03-01 05:45:14","2021-03-01 05:47:43","-0.37121000","-0.00077177","-0.37198177","LOSS","2","10686865911|10686886746","11207629","2021-03-01 05:47:43","ADAUSDT","SELL","BOTH","1.25947000","267.00000000","336.27849000","-0.00054517 BNB","-0.37121000","false","false","116116300","10686886746"
"1","32","LOSS_STREAK","6","DOTUSDT","2021-03-01 05:48:37","2021-03-01 05:48:37","-1.08376615","-0.00157812","-1.08534427","LOSS","1","3496749811","11207629","2021-03-01 05:48:37","DOTUSDT","SELL","BOTH","33.27100000","29.20000000","971.51320000","-0.00157812 BNB","-1.08376615","false","false","78631709","3496749811"
"1","32","LOSS_STREAK","7","DOTUSDT","2021-03-01 05:48:37","2021-03-01 05:50:04","-1.11233384","-0.00109396","-1.11342780","LOSS","2","3496749811|3496794105","11207629","2021-03-01 05:48:37","DOTUSDT","SELL","BOTH","33.27400000","0.20000000","6.65480000","-0.00001081 BNB","-0.01633384","false","false","78631708","3496749811"
"1","32","LOSS_STREAK","7","DOTUSDT","2021-03-01 05:48:37","2021-03-01 05:50:04","-1.11233384","-0.00109396","-1.11342780","LOSS","2","3496749811|3496794105","11207629","2021-03-01 05:50:04","DOTUSDT","BUY","BOTH","33.35100000","20.00000000","667.02000000","-0.00108315 BNB","-1.09600000","true","false","78632327","3496794105"
"1","32","LOSS_STREAK","8","DOTUSDT","2021-03-01 05:50:04","2021-03-01 05:50:05","-0.27779999","-0.00201483","-0.27981482","LOSS","6","3496794105|3496816188","11207629","2021-03-01 05:50:04","DOTUSDT","BUY","BOTH","33.35100000","2.70000000","90.04770000","-0.00014622 BNB","-0.21600000","true","false","78632326","3496794105"
"1","32","LOSS_STREAK","8","DOTUSDT","2021-03-01 05:50:04","2021-03-01 05:50:05","-0.27779999","-0.00201483","-0.27981482","LOSS","6","3496794105|3496816188","11207629","2021-03-01 05:50:04","DOTUSDT","BUY","BOTH","33.35500000","7.80000000","260.16900000","-0.00042248 BNB","0E-8","true","false","78632329","3496794105"
"1","32","LOSS_STREAK","8","DOTUSDT","2021-03-01 05:50:04","2021-03-01 05:50:05","-0.27779999","-0.00201483","-0.27981482","LOSS","6","3496794105|3496816188","11207629","2021-03-01 05:50:04","DOTUSDT","BUY","BOTH","33.35600000","6.00000000","200.13600000","-0.00032499 BNB","0E-8","true","false","78632330","3496794105"
"1","32","LOSS_STREAK","8","DOTUSDT","2021-03-01 05:50:04","2021-03-01 05:50:05","-0.27779999","-0.00201483","-0.27981482","LOSS","6","3496794105|3496816188","11207629","2021-03-01 05:50:04","DOTUSDT","BUY","BOTH","33.35300000","0.30000000","10.00590000","-0.00001624 BNB","0E-8","true","false","78632328","3496794105"
"1","32","LOSS_STREAK","8","DOTUSDT","2021-03-01 05:50:04","2021-03-01 05:50:05","-0.27779999","-0.00201483","-0.27981482","LOSS","6","3496794105|3496816188","11207629","2021-03-01 05:50:05","DOTUSDT","SELL","BOTH","33.35100000","20.00000000","667.02000000","-0.00108324 BNB","-0.06058823","false","false","78632338","3496816188"
"1","32","LOSS_STREAK","8","DOTUSDT","2021-03-01 05:50:04","2021-03-01 05:50:05","-0.27779999","-0.00201483","-0.27981482","LOSS","6","3496794105|3496816188","11207629","2021-03-01 05:50:05","DOTUSDT","SELL","BOTH","33.35100000","0.40000000","13.34040000","-0.00002166 BNB","-0.00121176","false","false","78632339","3496816188"
"1","32","LOSS_STREAK","9","ADAUSDT","2021-03-01 05:55:29","2021-03-01 05:55:29","-0.39511000","-0.00068754","-0.39579754","LOSS","5","10686928610","11207629","2021-03-01 05:55:29","ADAUSDT","BUY","BOTH","1.26208000","6.00000000","7.57248000","-0.00001235 BNB","-0.01566000","true","false","116120408","10686928610"
"1","32","LOSS_STREAK","9","ADAUSDT","2021-03-01 05:55:29","2021-03-01 05:55:29","-0.39511000","-0.00068754","-0.39579754","LOSS","5","10686928610","11207629","2021-03-01 05:55:29","ADAUSDT","BUY","BOTH","1.26216000","33.00000000","41.65128000","-0.00006793 BNB","0E-8","true","false","116120411","10686928610"
"1","32","LOSS_STREAK","9","ADAUSDT","2021-03-01 05:55:29","2021-03-01 05:55:29","-0.39511000","-0.00068754","-0.39579754","LOSS","5","10686928610","11207629","2021-03-01 05:55:29","ADAUSDT","BUY","BOTH","1.26209000","11.00000000","13.88299000","-0.00002264 BNB","-0.02882000","true","false","116120409","10686928610"
"1","32","LOSS_STREAK","9","ADAUSDT","2021-03-01 05:55:29","2021-03-01 05:55:29","-0.39511000","-0.00068754","-0.39579754","LOSS","5","10686928610","11207629","2021-03-01 05:55:29","ADAUSDT","BUY","BOTH","1.26206000","7.00000000","8.83442000","-0.00001440 BNB","-0.01813000","true","false","116120407","10686928610"
"1","32","LOSS_STREAK","9","ADAUSDT","2021-03-01 05:55:29","2021-03-01 05:55:29","-0.39511000","-0.00068754","-0.39579754","LOSS","5","10686928610","11207629","2021-03-01 05:55:29","ADAUSDT","BUY","BOTH","1.26213000","277.00000000","349.61001000","-0.00057022 BNB","-0.33250000","true","false","116120410","10686928610"
"1","32","LOSS_STREAK","10","ADAUSDT","2021-03-01 05:56:52","2021-03-01 05:56:52","-0.55598999","-0.00085654","-0.55684653","LOSS","1","10687060689","11207629","2021-03-01 05:56:52","ADAUSDT","SELL","BOTH","1.25913000","418.00000000","526.31634000","-0.00085654 BNB","-0.55598999","false","false","116121161","10687060689"
"1","32","LOSS_STREAK","11","BTCUSDT","2021-03-01 05:57:12","2021-03-01 05:57:12","-0.45495000","-0.00082760","-0.45577760","LOSS","1","15202720167","11207629","2021-03-01 05:57:12","BTCUSDT","BUY","BOTH","46224.99000000","0.01100000","508.47489000","-0.00082760 BNB","-0.45495000","true","false","552766646","15202720167"
"1","32","LOSS_STREAK","12","ADAUSDT","2021-03-01 05:58:11","2021-03-01 05:58:11","-0.76890000","-0.00107188","-0.76997188","LOSS","2","10687083972","11207629","2021-03-01 05:58:11","ADAUSDT","BUY","BOTH","1.26246000","222.00000000","280.26612000","-0.00045586 BNB","0E-8","true","false","116121799","10687083972"
"1","32","LOSS_STREAK","12","ADAUSDT","2021-03-01 05:58:11","2021-03-01 05:58:11","-0.76890000","-0.00107188","-0.76997188","LOSS","2","10687083972","11207629","2021-03-01 05:58:11","ADAUSDT","BUY","BOTH","1.26243000","300.00000000","378.72900000","-0.00061602 BNB","-0.76890000","true","false","116121798","10687083972"
"1","32","LOSS_STREAK","13","XRPUSDT","2021-03-01 05:49:10","2021-03-01 06:00:04","-0.48321000","-0.00118673","-0.48439673","LOSS","2","11492310661|11492395846","11207629","2021-03-01 05:49:10","XRPUSDT","SELL","BOTH","0.41800000","536.90000000","224.42420000","-0.00036546 BNB","0E-8","false","false","225873825","11492310661"
"1","32","LOSS_STREAK","13","XRPUSDT","2021-03-01 05:49:10","2021-03-01 06:00:04","-0.48321000","-0.00118673","-0.48439673","LOSS","2","11492310661|11492395846","11207629","2021-03-01 06:00:04","XRPUSDT","BUY","BOTH","0.41890000","1208.00000000","506.03120000","-0.00082127 BNB","-0.48321000","true","false","225874972","11492395846"
"1","32","LOSS_STREAK","14","TRXUSDT","2021-03-01 06:00:08","2021-03-01 06:00:08","-0.49357000","-0.00123050","-0.49480050","LOSS","5","2620004341","11207629","2021-03-01 06:00:08","TRXUSDT","BUY","BOTH","0.04531000","700.00000000","31.71700000","-0.00005145 BNB","-0.04900000","true","false","60954299","2620004341"
"1","32","LOSS_STREAK","14","TRXUSDT","2021-03-01 06:00:08","2021-03-01 06:00:08","-0.49357000","-0.00123050","-0.49480050","LOSS","5","2620004341","11207629","2021-03-01 06:00:08","TRXUSDT","BUY","BOTH","0.04531000","700.00000000","31.71700000","-0.00005145 BNB","-0.04900000","true","false","60954298","2620004341"
"1","32","LOSS_STREAK","14","TRXUSDT","2021-03-01 06:00:08","2021-03-01 06:00:08","-0.49357000","-0.00123050","-0.49480050","LOSS","5","2620004341","11207629","2021-03-01 06:00:08","TRXUSDT","BUY","BOTH","0.04531000","176.00000000","7.97456000","-0.00001293 BNB","-0.01232000","true","false","60954296","2620004341"
