seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,1125082.8060945289,0.018938,21306.818181818187,0.01874862,0.019506139999999998,0.019506139999999998,635.54535511,3.65919034,closed,tp,1760054400027,1760054400027
0,sell,1500110.4081260385,0.01874862,28125.000000000007,0.018938,0.01818048,0.01874862,-4.75875000,4.75875000,canceled,,,
0,buy,2000147.2108347178,0.018938,37878.78787878789,0.01874862,0.019506139999999998,0.018938,-6.40909090,6.40909090,canceled,,,
0,sell,2666862.9477796233,0.01874862,50000,0.018938,0.01818048,0.01874862,-8.46000000,8.46000000,canceled,,,
1,buy,1092209.2568083957,0.019508,21306.818181818184,0.01931292,0.020093240000000002,0.01931292,-216.65526989,3.58708807,closed,sl,1760103277498,1760103277498
1,sell,1456279.009077861,0.01931292,28125.000000000004,0.019508,0.01872768,0.01872768,847.58607954,4.68664773,closed,tp,1760103277498,1760103277498
1,buy,1941705.345437148,0.019508,37878.78787878788,0.01931292,0.020093240000000002,0.019508,-6.40909090,6.40909090,canceled,,,
1,sell,2588940.4605828635,0.01931292,50000,0.019508,0.01872768,0.01931292,-8.46000000,8.46000000,canceled,,,
2,sell,1115288.9560022969,0.018726,20884.90099009901,0.01891326,0.01816422,0.01816422,623.06631033,3.48071937,closed,tp,1760108539033,1760108539033
2,buy,1487051.9413363957,0.01891326,28125,0.018726,0.019475040000000002,0.01891326,-4.75875000,4.75875000,canceled,,,
2,sell,1982735.921781861,0.018726,37128.71287128713,0.01891326,0.01816422,0.018726,-6.28217822,6.28217822,canceled,,,
2,buy,2643647.8957091477,0.01891326,50000,0.018726,0.019475040000000002,0.01891326,-8.46000000,8.46000000,canceled,,,
3,sell,1149859.659202721,0.018163,20884.90099009902,0.018344629999999997,0.01761811,0.01761811,623.06631033,3.48071937,closed,tp,1760110243997,1760110243997
3,buy,1533146.2122702945,0.018344629999999997,28125.00000000001,0.018163,0.018889519999999996,0.018344629999999997,-4.75875000,4.75875000,canceled,,,
3,sell,2044194.9496937261,0.018163,37128.71287128714,0.018344629999999997,0.01761811,0.018163,-6.28217822,6.28217822,canceled,,,
3,buy,2725593.2662583007,0.018344629999999997,50000.00000000001,0.018163,0.018889519999999996,0.018344629999999997,-8.46000000,8.46000000,canceled,,,
4,buy,1209446.4540965082,0.017617,21306.818181818187,0.01744083,0.01814551,0.01744083,-216.65526989,3.58708807,closed,sl,1760117803338,1760117803338
4,sell,1612595.2721286775,0.01744083,28125.000000000004,0.017617,0.01691232,0.01691232,847.58607954,4.68664773,closed,tp,1760117803338,1760117803338
4,buy,2150127.0295049036,0.017617,37878.78787878789,0.01744083,0.01814551,0.017617,-6.40909090,6.40909090,canceled,,,
4,sell,2866836.0393398707,0.01744083,50000,0.017617,0.01691232,0.01744083,-8.46000000,8.46000000,canceled,,,
5,buy,1260012.9025321219,0.01691,21306.818181818184,0.016740900000000003,0.0174173,0.016740900000000003,-216.65526989,3.58708807,closed,sl,1760129669686,1760129669686
5,sell,1680017.2033761623,0.016740900000000003,28125,0.01691,0.016233600000000004,0.016233600000000004,847.58607954,4.68664773,closed,tp,1760129669686,1760129669686
5,buy,2240022.937834883,0.01691,37878.78787878788,0.016740900000000003,0.0174173,0.01691,-6.40909090,6.40909090,canceled,,,
5,sell,2986697.2504465105,0.016740900000000003,50000,0.01691,0.016233600000000004,0.016740900000000003,-8.46000000,8.46000000,canceled,,,
6,sell,1286729.159638902,0.016231,20884.900990099017,0.016393309999999998,0.01574407,0.01574407,623.06631033,3.48071937,closed,tp,1760129969738,1760129969738
6,buy,1715638.879518536,0.016393309999999998,28125.000000000007,0.016231,0.016880239999999998,0.016393309999999998,-4.75875000,4.75875000,canceled,,,
6,sell,2287518.5060247146,0.016231,37128.71287128714,0.016393309999999998,0.01574407,0.016231,-6.28217822,6.28217822,canceled,,,
