seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,4184980.4973369795,0.006899,28872.18045112782,0.00683001,0.00703698,0.00703698,572.50958435,4.93402467,closed,tp,1767225606172,1767225606172
0,sell,6277470.746005469,0.00683001,42875.18796992482,0.006899,0.00669203,0.00683001,-7.25448180,7.25448180,canceled,,,
0,buy,9416206.119008204,0.006899,64962.406015037595,0.00683001,0.00703698,0.006899,-10.99163910,10.99163910,canceled,,,
0,sell,14124309.178512305,0.00683001,96469.17293233082,0.006899,0.00669203,0.00683001,-16.32258406,16.32258406,canceled,,,
0,buy,21186463.767768458,0.006899,146165.4135338346,0.00683001,0.00703698,0.006899,-24.73118796,24.73118796,canceled,,,
0,sell,31779695.651652686,0.00683001,217055.63909774437,0.006899,0.00669203,0.00683001,-36.72581414,36.72581414,canceled,,,
1,buy,4337189.607000645,0.007038,30525.14045407054,0.00696762,0.00717876,0.00717876,605.28630678,5.21650230,closed,tp,1767264901817,1767264901817
1,sell,6505784.410500968,0.00696762,45329.83357429475,0.007038,0.00682686,0.00696762,-7.66980784,7.66980784,canceled,,,
1,buy,9758676.615751453,0.007038,68681.56602165873,0.00696762,0.00717876,0.007038,-11.62092098,11.62092098,canceled,,,
1,sell,14638014.923627177,0.00696762,101992.1255421632,0.007038,0.00682686,0.00696762,-17.25706764,17.25706764,canceled,,,
1,buy,21957022.385440767,0.007038,154533.5235487321,0.00696762,0.00717876,0.007038,-26.14707218,26.14707218,canceled,,,
1,sell,32935533.57816115,0.00696762,229482.28246986718,0.007038,0.00682686,0.00696762,-38.82840220,38.82840220,canceled,,,
2,sell,4494809.749508288,0.00718,32272.734001469504,0.0072518,0.0070364,0.0072518,-328.21518934,5.48784933,closed,sl,1767282384473,1767282384473
2,buy,6742214.624262432,0.0072518,48893.1920122263,0.00718,0.0073954,0.0073954,959.82738376,8.35463628,closed,tp,1767282384473,1767282384473
2,sell,10113321.936393648,0.00718,72613.65150330639,0.0072518,0.0070364,0.00718,-12.28622984,12.28622984,canceled,,,
2,buy,15169982.90459047,0.0072518,110009.68202750917,0.00718,0.0073954,0.0072518,-18.61363820,18.61363820,canceled,,,
2,sell,22754974.356885705,0.00718,163380.71588243937,0.0072518,0.0070364,0.00718,-27.64401712,27.64401712,canceled,,,
2,buy,34132461.53532856,0.0072518,247521.78456189565,0.00718,0.0073954,0.0072518,-41.88068594,41.88068594,canceled,,,
3,sell,4611351.924088511,0.007394,34096.33612671045,0.00746794,0.00724612,0.00746794,-346.76130685,5.79794558,closed,sl,1767297742601,1767297742601
3,buy,6917027.886132766,0.00746794,51655.949231966326,0.007394,0.007615820000000001,0.007394,-520.14196026,8.69691836,closed,sl,1767297742601,1767297742601
3,sell,10375541.829199148,0.007394,76716.75628509851,0.00746794,0.00724612,0.00746794,-780.21294039,13.04537754,closed,sl,1767297742601,1767297742601
3,buy,15563312.743798723,0.00746794,116225.88577192424,0.007394,0.007615820000000001,0.007615820000000001,2281.64256155,19.86012700,closed,tp,1767297742601,1767297742601
3,sell,23344969.115698084,0.007394,172612.70164147165,0.00746794,0.00724612,0.007394,-29.20606912,29.20606912,canceled,,,
3,buy,35017453.67354713,0.00746794,261508.24298682954,0.007394,0.007615820000000001,0.00746794,-44.24719472,44.24719472,canceled,,,
4,buy,4716863.865857348,0.007617,35928.35206623542,0.007540829999999999,0.00776934,0.007540829999999999,-365.33220244,6.04868178,closed,sl,1767347387345,1767347387345
4,sell,7075295.798786022,0.007540829999999999,53353.60281835959,0.007617,0.007388489999999999,0.007617,-547.99830367,9.07302268,closed,sl,1767347387345,1767347387345
4,buy,10612943.698179033,0.007617,80838.79214902969,0.007540829999999999,0.00776934,0.00776934,1602.96114011,13.81470287,closed,tp,1767347387345,1767347387345
4,sell,15919415.547268549,0.007540829999999999,120045.60634130907,0.007617,0.007388489999999999,0.007540829999999999,-20.31171660,20.31171660,canceled,,,
