seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,338.2222454199071,273.7,92571.42857142857,270.96299999999997,281.911,270.96299999999997,-941.29905600,15.58477029,closed,sl,1760054400024,1760054400024
0,sell,450.96299389320944,270.96299999999997,122194.2857142857,273.7,262.75199999999995,262.75199999999995,3682.49513143,20.36201143,closed,tp,1760054400024,1760054400024
0,buy,601.2839918576126,273.7,164571.42857142855,270.96299999999997,281.911,273.7,-27.84548572,27.84548572,canceled,,,
0,sell,801.7119891434833,270.96299999999997,217234.28571428562,273.7,262.75199999999995,270.96299999999997,-36.75604114,36.75604114,canceled,,,
1,buy,447.5830003075944,263.52,117947.07224105726,260.8848,271.4256,260.8848,-1199.32758381,19.85686140,closed,sl,1760110309625,1760110309625
1,sell,596.7773337434592,260.8848,155690.13535819558,263.52,252.9792,252.9792,4691.93925163,25.94363801,closed,tp,1760110309625,1760110309625
1,buy,795.7031116579456,263.52,209683.6839841018,260.8848,271.4256,263.52,-35.47847934,35.47847934,canceled,,,
1,sell,1060.9374822105938,260.8848,276782.4628590143,263.52,252.9792,260.8848,-46.83159272,46.83159272,canceled,,,
2,sell,594.1042790852218,252.95,150278.67739460684,255.4795,245.36149999999998,245.36149999999998,4483.31457691,25.04574493,closed,tp,1760129635028,1760129635028
2,buy,792.1390387802958,255.4795,202375.28555807058,252.95,263.068,255.4795,-34.24189832,34.24189832,canceled,,,
2,sell,1056.1853850403943,252.95,267162.09314596775,255.4795,245.36149999999998,252.95,-45.20382616,45.20382616,canceled,,,
2,buy,1408.2471800538588,255.4795,359778.28543656983,252.95,263.068,255.4795,-60.87448590,60.87448590,canceled,,,
3,sell,781.728125001252,245.33,191781.36090655718,247.78330000000003,237.9701,247.78330000000003,-1950.42526236,32.61165329,closed,sl,1760129970816,1760129970816
3,buy,1042.304166668336,247.78330000000003,258265.5660208303,245.33,255.14320000000004,245.33,-2600.56701649,43.48220440,closed,sl,1760129970816,1760129970816
3,sell,1389.7388888911146,245.33,340944.64161165716,247.78330000000003,237.9701,237.9701,10171.51673249,56.82251586,closed,tp,1760129970816,1760129970816
3,buy,1852.9851851881524,247.78330000000003,459138.7840370316,245.33,255.14320000000004,247.78330000000003,-77.68628226,77.68628226,canceled,,,
4,buy,1024.6327325321686,237.95,243811.3587060295,235.57049999999998,245.08849999999998,235.57049999999998,-2479.16020455,41.04661749,closed,sl,1760130790897,1760130790897
4,sell,1366.176976709558,235.57049999999998,321830.9934919589,237.95,228.432,228.432,9698.82560178,53.62874646,closed,tp,1760130790897,1760130790897
4,buy,1821.5693022794107,237.95,433442.41547738574,235.57049999999998,245.08849999999998,237.95,-73.33845670,73.33845670,canceled,,,
4,sell,2428.7590697058804,235.57049999999998,572143.988430149,237.95,228.432,235.57049999999998,-96.80676284,96.80676284,canceled,,,
