seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,506.69791303797064,145.74,73846.15384615384,144.2826,148.65480000000002,148.65480000000002,1464.30335999,12.61971693,closed,tp,1767225601809,1767225601809
0,sell,760.0468695569559,144.2826,109661.53846153845,145.74,141.3678,144.2826,-18.55473230,18.55473230,canceled,,,
0,buy,1140.070304335434,145.74,166153.84615384616,144.2826,148.65480000000002,145.74,-28.11323076,28.11323076,canceled,,,
0,sell,1710.105456503151,144.2826,246738.46153846153,145.74,141.3678,144.2826,-41.74814770,41.74814770,canceled,,,
1,buy,569.407256968676,148.68,84659.47096610276,147.19320000000002,151.6536,147.19320000000002,-860.84747023,14.25276057,closed,sl,1767297712384,1767297712384
1,sell,854.1108854530141,147.19320000000002,125719.31438466262,148.68,144.2196,148.68,-1291.27120536,21.37914087,closed,sl,1767297712384,1767297712384
1,buy,1281.166328179521,148.68,190483.80967373122,147.19320000000002,151.6536,151.6536,3777.12403427,32.55215920,closed,tp,1767297712384,1767297712384
1,sell,1921.7494922692817,147.19320000000002,282868.4573654909,148.68,144.2196,147.19320000000002,-47.86134298,47.86134298,canceled,,,
2,sell,637.3014474708834,151.67,96659.51053790888,153.18669999999997,148.6366,153.18669999999997,-983.03166851,16.43656313,closed,sl,1767347099599,1767347099599
2,buy,955.9521712063251,153.18669999999997,146439.15846493194,151.67,156.22009999999997,156.22009999999997,2874.76248869,25.02282745,closed,tp,1767347099599,1767347099599
2,sell,1433.9282568094877,151.67,217483.89871029498,153.18669999999997,148.6366,151.67,-36.79827566,36.79827566,canceled,,,
2,buy,2150.8923852142316,153.18669999999997,329488.10654609685,151.67,156.22009999999997,153.18669999999997,-55.74938762,55.74938762,canceled,,,
3,sell,708.072292986097,156.24,110629.21505614779,157.8024,153.11520000000002,157.8024,-1125.10420606,18.81205550,closed,sl,1767371573177,1767371573177
3,buy,1062.1084394791455,157.8024,167603.26081006392,156.24,160.9272,160.9272,3290.23720301,28.63924867,closed,tp,1767371573177,1767371573177
3,sell,1593.162659218718,156.24,248915.73387633252,157.8024,153.11520000000002,156.24,-42.11654218,42.11654218,canceled,,,
3,buy,2389.7439888280774,157.8024,377107.3368226438,156.24,160.9272,157.8024,-63.80656140,63.80656140,canceled,,,
4,buy,788.4543838046263,160.59,126617.88949518495,158.9841,163.80180000000001,163.80180000000001,2510.71980553,21.63798437,closed,tp,1767385131526,1767385131526
4,sell,1182.6815757069394,158.9841,188027.56590034964,160.59,155.7723,158.9841,-31.81426416,31.81426416,canceled,,,
4,buy,1774.0223635604093,160.59,284890.25136416615,158.9841,163.80180000000001,160.59,-48.20343054,48.20343054,canceled,,,
4,sell,2661.0335453406137,158.9841,423062.0232757867,160.59,155.7723,158.9841,-71.58209434,71.58209434,canceled,,,
5,buy,886.3564120265478,163.77,145158.58959758774,162.13230000000001,167.0454,167.0454,2878.36535026,24.80644169,closed,tp,1767389579693,1767389579693
5,sell,1329.5346180398217,162.13230000000001,215560.5055524178,163.77,158.85690000000002,162.13230000000001,-36.47283754,36.47283754,canceled,,,
5,buy,1994.3019270597324,163.77,326606.8265945724,162.13230000000001,167.0454,163.77,-55.26187506,55.26187506,canceled,,,
5,sell,2991.4528905895986,162.13230000000001,485011.13749294,163.77,158.85690000000002,162.13230000000001,-82.06388446,82.06388446,canceled,,,
