seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,89261.08903410088,0.3331,29732.868757259002,0.3214415,0.379734,0.379734,4157.21866853,5.38295749,closed,tp,1767225603568,1767225603568
0,sell,111576.3612926261,0.3214415,35865.27293844367,0.3331,0.2748075,0.3214415,-6.06840418,6.06840418,canceled,,,
0,buy,139470.45161578263,0.3331,46457.60743321719,0.3214415,0.379734,0.3331,-7.86062718,7.86062718,canceled,,,
0,sell,174338.06451972827,0.3214415,56039.48896631823,0.3331,0.2748075,0.3214415,-9.48188154,9.48188154,canceled,,,
1,buy,110830.6278670638,0.3798,42093.47246391083,0.366507,0.432972,0.432972,5885.46537432,7.62077063,closed,tp,1767371356980,1767371356980
1,sell,138538.28483382973,0.366507,50775.25115959244,0.3798,0.31333500000000003,0.366507,-8.59117250,8.59117250,canceled,,,
1,buy,173172.8560422872,0.3798,65771.05072486069,0.366507,0.432972,0.3798,-11.12846178,11.12846178,canceled,,,
1,sell,216466.070052859,0.366507,79336.3299368632,0.3798,0.31333500000000003,0.366507,-13.42370702,13.42370702,canceled,,,
2,sell,137127.09364883276,0.4329,59362.318840579705,0.4480515,0.372294,0.372294,8301.38362064,9.34101704,closed,tp,1767708926977,1767708926977
2,buy,171408.86706104095,0.4480515,76799.99999999999,0.4329,0.5086575,0.4480515,-12.99456000,12.99456000,canceled,,,
2,sell,214261.08382630118,0.4329,92753.62318840578,0.4480515,0.372294,0.4329,-15.69391304,15.69391304,canceled,,,
2,buy,267826.3547828765,0.4480515,119999.99999999999,0.4329,0.5086575,0.4480515,-20.30400000,20.30400000,canceled,,,
3,sell,159533.24063579604,0.3721,59362.318840579705,0.3851235,0.320006,0.320006,8301.38362064,9.34101704,closed,tp,1768780821483,1768780821483
3,buy,199416.55079474504,0.3851235,76799.99999999999,0.3721,0.4372175,0.3851235,-12.99456000,12.99456000,canceled,,,
3,sell,249270.6884934313,0.3721,92753.62318840579,0.3851235,0.320006,0.3721,-15.69391304,15.69391304,canceled,,,
3,buy,311588.36061678914,0.3851235,120000,0.3721,0.4372175,0.3851235,-20.30400000,20.30400000,canceled,,,
4,buy,199025.92617187687,0.3199,63668.39378238341,0.3087035,0.364686,0.3087035,-2238.97795249,10.58417011,closed,sl,1769737378706,1769737378706
4,sell,248782.40771484608,0.3087035,76799.99999999999,0.3199,0.2639175,0.3087035,-12.99456000,12.99456000,open,,1769737378706,
4,buy,310978.0096435576,0.3199,99481.86528497408,0.3087035,0.364686,0.3199,-16.83233160,16.83233160,pending,,,
4,sell,388722.512054447,0.3087035,120000,0.3199,0.2639175,0.3087035,-20.30400000,20.30400000,pending,,,
