seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,63244.810119169626,0.4182,26448.979591836738,0.403563,0.462111,0.403563,-930.11113762,4.39685191,closed,sl,1760054403018,1760054403018
0,sell,84326.41349222616,0.403563,34031.02040816327,0.4182,0.359652,0.359652,3697.41235592,5.44478694,closed,tp,1760054403018,1760054403018
0,buy,112435.21798963488,0.4182,47020.40816326531,0.403563,0.462111,0.4182,-7.95585306,7.95585306,canceled,,,
0,sell,149913.62398617982,0.403563,60499.59183673469,0.4182,0.359652,0.403563,-10.23653094,10.23653094,canceled,,,
1,buy,93957.17567208126,0.3594,33768.208936546005,0.346821,0.39713699999999996,0.346821,-1187.50090607,5.61359329,closed,sl,1760129983674,1760129983674
1,sell,125276.23422944167,0.346821,43448.42883168919,0.3594,0.309084,0.309084,4720.59772763,6.95152349,closed,tp,1760129983674,1760129983674
1,buy,167034.9789725889,0.3594,60032.37144274845,0.346821,0.39713699999999996,0.3594,-10.15747724,10.15747724,canceled,,,
1,sell,222713.30529678514,0.346821,77241.65125633632,0.3594,0.309084,0.346821,-13.06928740,13.06928740,canceled,,,
2,sell,139704.76185833215,0.3086,43112.8895094813,0.319401,0.27619699999999997,0.319401,-1516.37349100,7.42235817,closed,sl,1760130878264,1760130878264
2,buy,186273.0158111095,0.319401,59495.78752308419,0.3086,0.351804,0.3086,-2021.83132134,9.89647756,closed,sl,1760130878264,1760130878264
2,sell,248364.02108147935,0.3086,76645.13690574453,0.319401,0.27619699999999997,0.27619699999999997,8035.45185669,12.28751841,closed,tp,1760130878264,1760130878264
2,buy,331152.02810863906,0.319401,105770.28892992742,0.3086,0.351804,0.319401,-17.89633288,17.89633288,canceled,,,
3,sell,199086.6776657332,0.2763,55007.64903904208,0.2859705,0.2472885,0.2472885,5766.98448783,8.81866127,closed,tp,1760131018958,1760131018958
3,buy,265448.9035543109,0.2859705,75910.55567387807,0.2763,0.314982,0.2859705,-12.84406602,12.84406602,canceled,,,
