seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,98989.48236749844,0.1865,18461.538461538457,0.17904,0.20142,0.20142,1473.67443692,3.24864000,closed,tp,1767225603280,1767225603280
0,sell,148484.22355124765,0.17904,26584.61538461538,0.1865,0.16412000000000002,0.17904,-4.49811692,4.49811692,canceled,,,
0,buy,222726.3353268715,0.1865,41538.46153846153,0.17904,0.20142,0.1865,-7.02830770,7.02830770,canceled,,,
0,sell,334089.5029903072,0.17904,59815.38461538461,0.1865,0.16412000000000002,0.17904,-10.12076308,10.12076308,canceled,,,
1,buy,105122.42278532308,0.2015,21182.168191242603,0.19344,0.21762,0.21762,1690.84607153,3.72738377,closed,tp,1767308342664,1767308342664
1,sell,157683.6341779846,0.19344,30502.322195389344,0.2015,0.17732,0.19344,-5.16099292,5.16099292,canceled,,,
1,buy,236525.45126697695,0.2015,47659.87843029586,0.19344,0.21762,0.2015,-8.06405144,8.06405144,canceled,,,
1,sell,354788.1769004654,0.19344,68630.22493962603,0.2015,0.17732,0.19344,-11.61223406,11.61223406,canceled,,,
2,sell,111587.37451538448,0.2178,24303.73016945074,0.226512,0.200376,0.226512,-976.34364175,4.19443497,closed,sl,1767544674885,1767544674885
2,buy,167381.0617730767,0.226512,37913.81906434315,0.2178,0.243936,0.2178,-1464.51546262,6.29165245,closed,sl,1767544674885,1767544674885
2,sell,251071.59265961507,0.2178,54683.39288126416,0.226512,0.200376,0.200376,4365.78909763,8.88233287,closed,tp,1767544674885,1767544674885
2,buy,376607.38898942264,0.226512,85306.0928947721,0.2178,0.243936,0.226512,-14.43379092,14.43379092,canceled,,,
3,sell,139078.61747426743,0.2003,27857.447080095768,0.208312,0.184276,0.208312,-1119.10563284,4.80774964,closed,sl,1768223637004,1768223637004
3,buy,208617.92621140115,0.208312,43457.6174449494,0.2003,0.224336,0.224336,3335.25781193,7.63583768,closed,tp,1768223637004,1768223637004
3,sell,312926.88931710174,0.2003,62679.255930215484,0.208312,0.184276,0.2003,-10.60533010,10.60533010,canceled,,,
3,buy,469390.3339756526,0.208312,97779.63925113613,0.2003,0.224336,0.208312,-16.54431496,16.54431496,canceled,,,
4,buy,142310.93518566008,0.2245,31948.80494918069,0.21552000000000002,0.24246,0.21552000000000002,-1283.24982101,5.29762304,closed,sl,1768342232783,1768342232783
4,sell,213466.40277849013,0.21552000000000002,46006.2791268202,0.2245,0.19756,0.19756,3826.39667574,7.45991816,closed,tp,1768342232783,1768342232783
4,buy,320199.6041677352,0.2245,71884.81113565655,0.21552000000000002,0.24246,0.2245,-12.16291004,12.16291004,canceled,,,
4,sell,480299.4062516028,0.21552000000000002,103514.12803534545,0.2245,0.19756,0.21552000000000002,-17.51459046,17.51459046,canceled,,,
5,buy,185632.44830994305,0.1974,36643.84529638276,0.189504,0.213192,0.189504,-1471.82994771,6.07613585,closed,sl,1768780895004,1768780895004
5,sell,278448.67246491456,0.189504,52767.13722679117,0.19740000000000002,0.173712,0.19740000000000002,-2207.74492156,9.11420378,closed,sl,1768780895004,1768780895004
5,buy,417673.0086973719,0.19740000000000002,82448.65191686121,0.189504,0.21319200000000002,0.189504,-3311.61738233,13.67130566,closed,sl,1768780895004,1768780895004
5,sell,626509.5130460578,0.189504,118726.05876028014,0.19740000000000002,0.173712,0.173712,9874.58679959,19.25143043,closed,tp,1768780895004,1768780895004
6,sell,241467.40639317984,0.1738,41967.03523113466,0.18075200000000002,0.159896,0.18075200000000002,-1685.92424806,7.24283881,closed,sl,1769179201109,1769179201109
6,buy,362201.10958976974,0.18075200000000002,65468.57496057007,0.1738,0.19465600000000002,0.1738,-2528.88637208,10.86425821,closed,sl,1769179201109,1769179201109
6,sell,543301.6643846546,0.1738,94425.82927005297,0.18075200000000002,0.159896,0.159896,7538.72856530,15.33777630,closed,tp,1769179201109,1769179201109
6,buy,814952.496576982,0.18075200000000002,147304.29366128266,0.1738,0.19465600000000002,0.18075200000000002,-24.92388648,24.92388648,canceled,,,
