seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,51.26798647686697,579.95,29732.868757259002,559.65175,661.143,559.65175,-1045.59316887,4.94276237,closed,sl,1760054400034,1760054400034
0,sell,64.08498309608372,559.65175,35865.27293844367,579.95,478.45875,478.45875,5197.62382346,5.62820906,closed,tp,1760054400034,1760054400034
0,buy,80.10622887010464,579.95,46457.60743321719,559.65175,661.143,579.95,-7.86062718,7.86062718,canceled,,,
0,sell,100.1327860876308,559.65175,56039.48896631823,579.95,478.45875,559.65175,-9.48188154,9.48188154,canceled,,,
1,buy,87.96497754813826,478.35,42078.04701015194,461.60775,545.319,461.60775,-1479.72665782,6.99501246,closed,sl,1760131122541,1760131122541
1,sell,109.95622193517283,461.60775,50756.64420599578,478.35,394.63875,478.35,-1849.65832226,8.74376557,closed,sl,1760131122541,1760131122541
1,buy,137.44527741896604,478.35,65746.9484533624,461.60775,545.319,545.319,9192.66969293,11.90309054,closed,tp,1760131122541,1760131122541
1,sell,171.80659677370755,461.60775,79307.2565718684,478.35,394.63875,461.60775,-13.41878782,13.41878782,canceled,,,
2,sell,109.1269198949589,545.34,59511.27449551689,564.4269,468.99240000000003,545.34,-10.06930764,10.06930764,open,,1760132952344,
2,buy,136.40864986869863,564.4269,76992.71137857498,545.34,640.7745,564.4269,-13.02716676,13.02716676,pending,,,
2,sell,170.51081233587328,545.34,92986.36639924515,564.4269,468.99240000000003,545.34,-15.73329320,15.73329320,pending,,,
2,buy,213.1385154198416,564.4269,120301.11152902342,545.34,640.7745,564.4269,-20.35494808,20.35494808,pending,,,
