seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,24.67419143831259,598.57,14769.230769230768,568.6415000000001,658.427,658.427,1474.29917538,2.62390154,closed,tp,1767225601872,1767225601872
0,sell,37.011287157468885,568.6415000000001,21046.153846153844,598.57,508.78450000000004,568.6415000000001,-3.56100924,3.56100924,canceled,,,
0,buy,55.51693073620333,598.57,33230.76923076923,568.6415000000001,658.427,598.57,-5.62264616,5.62264616,canceled,,,
0,sell,83.27539610430499,568.6415000000001,47353.84615384615,598.57,508.78450000000004,568.6415000000001,-8.01227076,8.01227076,canceled,,,
1,buy,25.73641508898309,658.47,16946.657243642698,625.5465,724.317,625.5465,-850.12855222,2.79569004,closed,sl,1767473039258,1767473039258
1,sell,38.604622633474634,625.5465,24148.986572190843,658.47,559.6995000000001,658.47,-1275.19282833,4.19353506,closed,sl,1767473039258,1767473039258
1,buy,57.90693395021195,658.47,38129.97879819606,625.5465,724.317,625.5465,-1912.78924252,6.29030261,closed,sl,1767473039258,1767473039258
1,sell,86.86040092531793,625.5465,54335.2197874294,658.47,559.6995000000001,559.6995000000001,5710.78716998,8.70964975,closed,tp,1767473039258,1767473039258
2,sell,34.693167231263615,559.68,19417.071835993618,587.664,503.71199999999993,503.71199999999993,1938.58608347,3.12110013,closed,tp,1769699462876,1769699462876
2,buy,52.03975084689542,587.664,30581.88814168995,559.68,643.632,587.664,-5.17445548,5.17445548,canceled,,,
2,sell,78.05962627034313,559.68,43688.41163098564,587.664,503.71199999999993,559.68,-7.39207924,7.39207924,canceled,,,
2,buy,117.0894394055147,587.664,68809.24831880239,559.68,643.632,587.664,-11.64252482,11.64252482,canceled,,,
3,sell,44.234860147854675,503.68,22280.214359271442,528.864,453.312,503.68,-3.76981226,3.76981226,open,,1769879421295,
3,buy,66.35229022178201,528.864,35091.33761585253,503.68,579.2320000000001,528.864,-5.93745432,5.93745432,pending,,,
3,sell,99.52843533267301,503.68,50130.48230836074,528.864,453.312,503.68,-8.48207760,8.48207760,pending,,,
3,buy,149.29265299900953,528.864,78955.50963566819,503.68,579.2320000000001,528.864,-13.35927224,13.35927224,pending,,,
