seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,150.59889415232024,863.76,130081.30081300813,856.84992,891.40032,856.84992,-1062.57212357,21.92171707,closed,sl,1767225601804,1767225601804
0,sell,188.2486176904003,856.84992,161300.81300813006,863.76,829.2096,863.76,-1328.21515447,27.40214634,closed,sl,1767225601804,1767225601804
0,buy,235.31077211300038,863.76,203252.0325203252,856.84992,891.40032,891.40032,6469.12455285,34.94048780,closed,tp,1767225601804,1767225601804
0,sell,294.1384651412505,856.84992,252032.52032520328,863.76,829.2096,856.84992,-42.64390244,42.64390244,canceled,,,
1,buy,205.43945906430838,891.42,183132.84259910576,884.28864,919.94544,884.28864,-1495.92487345,30.86213266,closed,sl,1767374340526,1767374340526
1,sell,256.79932383038545,884.28864,227084.72482289115,891.42,855.7632,891.42,-1869.90609181,38.57766582,closed,sl,1767374340526,1767374340526
1,buy,320.99915478798187,891.42,286145.0665611028,884.28864,919.94544,919.94544,9107.45173277,49.19039719,closed,tp,1767374340526,1767374340526
1,sell,401.2489434849773,884.28864,354819.88253576745,891.42,855.7632,884.28864,-60.03552412,60.03552412,canceled,,,
2,sell,280.2519592376432,919.96,257820.59242026223,927.3196800000001,890.52128,890.52128,8207.33368512,42.92527233,closed,tp,1767708961950,1767708961950
2,buy,350.314949047054,927.3196800000001,324853.9464495304,919.96,956.7584,927.3196800000001,-54.96528774,54.96528774,canceled,,,
2,sell,437.89368630881745,919.96,402844.6756566597,927.3196800000001,890.52128,919.96,-68.16131912,68.16131912,canceled,,,
2,buy,547.3671078860218,927.3196800000001,507584.2913273913,919.96,956.7584,927.3196800000001,-85.88326210,85.88326210,canceled,,,
3,sell,409.40882934152813,890.51,364582.6566169242,897.63408,862.01368,897.63408,-2978.59538798,61.93413504,closed,sl,1767852780660,1767852780660
3,buy,511.7610366769102,897.63408,459374.14733732457,890.51,926.1304,890.51,-3723.24423497,77.41766880,closed,sl,1767852780660,1767852780660
3,sell,639.7012958461377,890.51,569660.400963944,897.63408,862.01368,897.63408,-4654.05529371,96.77208600,closed,sl,1767852780660,1767852780660
3,buy,799.6266198076721,897.63408,717772.1052145696,890.51,926.1304,926.1304,22663.04126756,123.37477100,closed,tp,1767852780660,1767852780660
4,buy,552.4671891138114,926.15,511667.4871977564,918.7407999999999,955.7868,955.7868,16285.40026527,87.95932506,closed,tp,1768327619914,1768327619914
4,sell,690.5839863922643,918.7407999999999,634467.684125218,926.15,889.1039999999999,918.7407999999999,-107.35193216,107.35193216,canceled,,,
4,buy,863.2299829903303,926.15,799480.4487464944,918.7407999999999,955.7868,926.15,-135.27209192,135.27209192,canceled,,,
4,sell,1079.0374787379128,918.7407999999999,991355.7564456529,926.15,889.1039999999999,918.7407999999999,-167.73739400,167.73739400,canceled,,,
5,buy,539.9968950178537,955.8,516129.03225806454,948.1536,986.3856,948.1536,-4216.01197419,86.97971613,closed,sl,1768665237246,1768665237246
5,sell,674.9961187723171,948.1536,640000,955.8,917.568,917.568,20538.61987097,106.54141935,closed,tp,1768665237246,1768665237246
5,buy,843.7451484653965,955.8,806451.6129032259,948.1536,986.3856,955.8,-136.45161290,136.45161290,canceled,,,
5,sell,1054.6814355817455,948.1536,1000000.0000000001,955.8,917.568,948.1536,-169.20000000,169.20000000,canceled,,,
6,sell,553.5851384533731,917.54,507936.507936508,924.88032,888.17872,924.88032,-4149.77869206,86.28662857,closed,sl,1768780923497,1768780923497
6,buy,691.9814230667164,924.88032,640000,917.54,954.2416,917.54,-5187.22336508,107.85828571,closed,sl,1768780923497,1768780923497
6,sell,864.9767788333955,917.54,793650.7936507937,924.88032,888.17872,888.17872,25264.68825398,132.13714285,closed,tp,1768780923497,1768780923497
6,buy,1081.2209735417443,924.88032,1000000,917.54,954.2416,924.88032,-169.20000000,169.20000000,canceled,,,
