seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,6812375.8160658525,0.001626,11076.923076923076,0.0015176,0.0018428000000000001,0.0015176,-740.27328000,1.81174154,closed,sl,1760054402644,1760054402644
0,sell,10218563.72409878,0.0015176,15507.692307692309,0.001626,0.0013008,0.0013008,2212.94813538,2.43648000,closed,tp,1760054402644,1760054402644
0,buy,15327845.586148169,0.001626,24923.076923076922,0.0015176,0.0018428000000000001,0.001626,-4.21698462,4.21698462,canceled,,,
0,sell,22991768.37922225,0.0015176,34892.30769230769,0.001626,0.0013008,0.0015176,-5.90377846,5.90377846,canceled,,,
1,buy,9775533.604586765,0.0013,12708.193685962795,0.0012133333333333332,0.0014733333333333332,0.0012133333333333332,-849.29146456,2.07855216,closed,sl,1760130780835,1760130780835
1,sell,14663300.406880148,0.0012133333333333332,17791.47116034791,0.0013,0.00104,0.00104,2538.84344291,2.79529428,closed,tp,1760130780835,1760130780835
1,buy,21994950.61032022,0.0013,28593.435793416287,0.0012133333333333332,0.0014733333333333332,0.0013,-4.83800934,4.83800934,canceled,,,
1,sell,32992425.91548033,0.0012133333333333332,40030.8101107828,0.0013,0.00104,0.0012133333333333332,-6.77321308,6.77321308,canceled,,,
2,sell,14045951.26766184,0.001038,14579.69741583299,0.0011072,0.0008996000000000001,0.0008996000000000001,1941.65722963,2.30242581,closed,tp,1760130999617,1760130999617
2,buy,21068926.90149276,0.0011072,23327.515865332785,0.001038,0.0012456,0.0011072,-3.94701568,3.94701568,canceled,,,
2,sell,31603390.35223914,0.001038,32804.31918562423,0.0011072,0.0008996000000000001,0.001038,-5.55049080,5.55049080,canceled,,,
2,buy,47405085.52835871,0.0011072,52486.91069699877,0.001038,0.0012456,0.0011072,-8.88078528,8.88078528,canceled,,,
3,sell,18284651.57734882,0.000915,16730.45619327417,0.000976,0.000793,0.000793,2228.08541880,2.64207364,closed,tp,1760131049246,1760131049246
3,buy,27426977.36602323,0.000976,26768.729909238675,0.000915,0.001098,0.000976,-4.52926910,4.52926910,canceled,,,
3,sell,41140466.04903485,0.000915,37643.526434866886,0.000976,0.000793,0.000915,-6.36928468,6.36928468,canceled,,,
3,buy,61710699.07355227,0.000976,60229.642295787016,0.000915,0.001098,0.000976,-10.19085548,10.19085548,canceled,,,
4,buy,23614377.949023996,0.000813,19198.489272556508,0.0007588,0.0009214000000000001,0.0007588,-1283.03938974,3.14010490,closed,sl,1760131090817,1760131090817
4,sell,35421566.923535995,0.0007588,26877.884981579115,0.000813,0.0006504,0.0006504,3835.47495481,4.22289970,closed,tp,1760131090817,1760131090817
4,buy,53132350.38530399,0.000813,43196.60086325215,0.0007588,0.0009214000000000001,0.000813,-7.30886486,7.30886486,canceled,,,
4,sell,79698525.57795599,0.0007588,60475.24120855301,0.000813,0.0006504,0.0007588,-10.23241082,10.23241082,canceled,,,
5,buy,34577397.98095678,0.000637,22025.80251386947,0.0005945333333333333,0.0007219333333333333,0.0005945333333333333,-1471.98937452,3.60254026,closed,sl,1760131109051,1760131109051
5,sell,51866096.97143517,0.0005945333333333333,30836.123519417255,0.000637,0.0005096,0.000637,-2207.98406178,5.40381039,closed,sl,1760131109051,1760131109051
5,buy,77799145.45715275,0.000637,49558.0556562063,0.0005945333333333333,0.0007219333333333333,0.0005945333333333333,-3311.97609266,8.10571558,closed,sl,1760131109051,1760131109051
5,sell,116698718.18572913,0.0005945333333333333,69381.27791868882,0.000637,0.0005096,0.0005096,9900.71034132,10.90078992,closed,tp,1760131109051,1760131109051
6,sell,48460296.52714787,0.000521,25247.81449064404,0.0005557333333333333,0.0004515333333333333,0.0004515333333333333,3362.38813055,3.98713487,closed,tp,1760131174058,1760131174058
6,buy,72690444.7907218,0.0005557333333333333,40396.50318503046,0.000521,0.0006251999999999999,0.0005557333333333333,-6.83508834,6.83508834,canceled,,,
6,sell,109035667.1860827,0.000521,56807.582603949086,0.0005557333333333333,0.0004515333333333333,0.000521,-9.61184298,9.61184298,canceled,,,
6,buy,163553500.77912405,0.0005557333333333333,90892.13216631852,0.000521,0.0006251999999999999,0.0005557333333333333,-15.37894876,15.37894876,canceled,,,
7,sell,62983273.82245502,0.00046,28972.30595832931,0.0004906666666666667,0.0003986666666666667,0.0003986666666666667,3858.39882123,4.57530655,closed,tp,1760131190347,1760131190347
7,buy,94474910.73368253,0.0004906666666666667,46355.6895333269,0.00046,0.0005520000000000001,0.0004906666666666667,-7.84338266,7.84338266,canceled,,,
7,sell,141712366.1005238,0.00046,65187.68840624095,0.0004906666666666667,0.0003986666666666667,0.00046,-11.02975688,11.02975688,canceled,,,
7,buy,212568549.15078568,0.0004906666666666667,104300.30144998552,0.00046,0.0005520000000000001,0.0004906666666666667,-17.64761100,17.64761100,canceled,,,
8,sell,82496835.36628236,0.000403,33246.22465261179,0.00042986666666666663,0.00034926666666666663,0.00034926666666666663,4427.57970988,5.25024380,closed,tp,1760131214686,1760131214686
8,buy,123745253.04942355,0.00042986666666666663,53193.959444178865,0.000403,0.00048359999999999994,0.00042986666666666663,-9.00041794,9.00041794,canceled,,,
8,sell,185617879.5741353,0.000403,74804.00546837652,0.00042986666666666663,0.00034926666666666663,0.000403,-12.65683772,12.65683772,canceled,,,
8,buy,278426819.36120296,0.00042986666666666663,119686.40874940243,0.000403,0.00048359999999999994,0.00042986666666666663,-20.25094036,20.25094036,canceled,,,
9,sell,106269138.27003385,0.000359,38150.62063894215,0.00038293333333333334,0.0003111333333333333,0.00038293333333333334,-2550.04496378,6.67025452,closed,sl,1760131303323,1760131303323
9,buy,159403707.40505078,0.00038293333333333334,61040.99302230745,0.000359,0.0004308,0.0004308,7619.15048327,10.97364452,closed,tp,1760131303323,1760131303323
9,sell,239105561.10757616,0.000359,85838.89643761984,0.00038293333333333334,0.0003111333333333333,0.000359,-14.52394128,14.52394128,canceled,,,
9,buy,358658341.66136426,0.00038293333333333334,137342.23430019175,0.000359,0.0004308,0.00038293333333333334,-23.23830604,23.23830604,canceled,,,
10,sell,100842465.04552302,0.000434,43765.62982975699,0.00046293333333333333,0.00037613333333333333,0.00037613333333333333,5828.50584237,6.91146826,closed,tp,1760131312990,1760131312990
10,buy,151263697.5682845,0.00046293333333333333,70025.00772761117,0.000434,0.0005208,0.00046293333333333333,-11.84823130,11.84823130,canceled,,,
10,sell,226895546.3524268,0.000434,98472.66711695322,0.00046293333333333333,0.00037613333333333333,0.000434,-16.66157528,16.66157528,canceled,,,
10,buy,340343319.5286402,0.00046293333333333333,157556.26738712518,0.000434,0.0005208,0.00046293333333333333,-26.65852044,26.65852044,canceled,,,
11,buy,128773899.78639653,0.00039,50221.82091669465,0.000364,0.000442,0.000364,-3356.33567548,8.21428103,closed,sl,1760131314681,1760131314681
11,sell,193160849.6795948,0.000364,70310.54928337251,0.00039,0.000312,0.00039,-5034.50351321,12.32142154,closed,sl,1760131314681,1760131314681
11,buy,289741274.5193922,0.00039,112999.09706256296,0.000364,0.000442,0.000442,15046.15219797,20.39407704,closed,tp,1760131314681,1760131314681
11,sell,434611911.7790883,0.000364,158198.73588758815,0.00039,0.000312,0.000364,-26.76722612,26.76722612,canceled,,,
12,buy,134565093.32327464,0.000428,57593.859942361545,0.00039946666666666665,0.0004850666666666667,0.0004850666666666667,7668.78678581,10.39453984,closed,tp,1760131368097,1760131368097
12,sell,201847639.98491198,0.00039946666666666665,80631.40391930618,0.000428,0.0003424,0.00039946666666666665,-13.64283354,13.64283354,canceled,,,
12,buy,302771459.97736794,0.000428,129586.18487031347,0.00039946666666666665,0.0004850666666666667,0.000428,-21.92598248,21.92598248,canceled,,,
12,sell,454157189.96605194,0.00039946666666666665,181420.65881843888,0.000428,0.0003424,0.00039946666666666665,-30.69637548,30.69637548,canceled,,,
13,buy,137684408.48819524,0.00048,66088.51607433372,0.000448,0.000544,0.000544,8799.87448786,11.92765538,closed,tp,1760131375940,1760131375940
13,sell,206526612.73229286,0.000448,92523.9225040672,0.00048,0.000384,0.000448,-15.65504768,15.65504768,canceled,,,
13,buy,309789919.0984393,0.00048,148699.16116725086,0.000448,0.000544,0.00048,-25.15989806,25.15989806,canceled,,,
13,sell,464684878.64765894,0.000448,208178.8256341512,0.00048,0.000384,0.000448,-35.22385730,35.22385730,canceled,,,
14,buy,144725323.19312787,0.000524,75836.06935319901,0.0004890666666666668,0.0005938666666666667,0.0004890666666666668,-5068.14170439,12.40374751,closed,sl,1760131377701,1760131377701
14,sell,217087984.7896918,0.0004890666666666668,106170.49709447863,0.0005240000000000002,0.0004192000000000001,0.0005240000000000002,-7602.21255657,18.60562125,closed,sl,1760131377701,1760131377701
14,buy,325631977.1845377,0.0005240000000000002,170631.15604469783,0.0004890666666666668,0.0005938666666666668,0.0005938666666666668,22720.02529492,30.79551104,closed,tp,1760131377701,1760131377701
14,sell,488447965.7768066,0.0004890666666666668,238883.61846257694,0.0005240000000000002,0.0004192000000000001,0.0004890666666666668,-40.41910824,40.41910824,canceled,,,
15,sell,144946687.75392425,0.0006,86968.01265235455,0.0006399999999999999,0.00052,0.0006399999999999999,-5813.07299749,15.20548733,closed,sl,1760131808999,1760131808999
15,buy,217420031.63088638,0.0006399999999999999,139148.82024376726,0.0006,0.0007199999999999999,0.0007199999999999999,17368.58705131,25.01547916,closed,tp,1760131808999,1760131808999
15,sell,326130047.4463296,0.0006,195678.02846779773,0.0006399999999999999,0.00052,0.0006,-33.10872242,33.10872242,canceled,,,
15,buy,489195071.16949433,0.0006399999999999999,313084.8455484763,0.0006,0.0007199999999999999,0.0006399999999999999,-52.97395586,52.97395586,canceled,,,
16,sell,138182779.33685,0.000722,99767.96668120568,0.0007701333333333333,0.0006257333333333333,0.0007701333333333333,-6668.64121004,17.44343129,closed,sl,1760132115126,1760132115126
16,buy,207274169.00527498,0.0007701333333333333,159628.7466899291,0.000722,0.0008663999999999999,0.0008663999999999999,19924.89607830,28.69725794,closed,tp,1760132115126,1760132115126
16,sell,310911253.50791246,0.000722,224477.92503271278,0.0007701333333333333,0.0006257333333333333,0.000722,-37.98166492,37.98166492,canceled,,,
16,buy,466366880.2618687,0.0007701333333333333,359164.68005234044,0.000722,0.0008663999999999999,0.0007701333333333333,-60.77066386,60.77066386,canceled,,,
17,sell,134490973.2404119,0.000851,114451.81822759053,0.0009077333333333334,0.0007375333333333333,0.0009077333333333334,-7650.13197107,20.01075590,closed,sl,1760132740384,1760132740384
17,buy,201736459.86061788,0.0009077333333333334,183122.90916414486,0.000851,0.0010212,0.0010212,22857.44272452,32.92092100,closed,tp,1760132740384,1760132740384
17,sell,302604689.7909268,0.000851,257516.59101207872,0.0009077333333333334,0.0007375333333333333,0.000851,-43.57180720,43.57180720,canceled,,,
17,buy,453907034.68639016,0.0009077333333333334,412026.5456193259,0.000851,0.0010212,0.0009077333333333334,-69.71489152,69.71489152,canceled,,,
18,sell,128596316.71877427,0.001021,131296.83936986854,0.0010890666666666666,0.0008848666666666666,0.001021,-22.21542522,22.21542522,open,,1760138882840,
18,buy,192894475.07816142,0.0010890666666666666,210074.94299178966,0.001021,0.0012251999999999999,0.0010890666666666666,-35.54468036,35.54468036,pending,,,
18,sell,289341712.6172421,0.001021,295417.8885822042,0.0010890666666666666,0.0008848666666666666,0.001021,-49.98470674,49.98470674,pending,,,
18,buy,434012568.92586315,0.0010890666666666666,472668.6217315267,0.001021,0.0012251999999999999,0.0010890666666666666,-79.97553080,79.97553080,pending,,,
