seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,256,87608.3,22427724.8,85856.134,94616.964,94616.964,1787080.58485965,7137.39914035,closed,tp,1767225601807,1767225601807
0,sell,320,85856.134,27473962.880000003,87608.3,78847.47,85856.134,-8407.03264128,8407.03264128,canceled,,,
0,buy,400,87608.3,35043320,85856.134,94616.964,87608.3,-10723.25592000,10723.25592000,canceled,,,
0,sell,500,85856.134,42928067,87608.3,78847.47,85856.134,-13135.98850200,13135.98850200,canceled,,,
1,buy,256,94617.1,24221977.6,92724.758,102186.46800000001,92724.758,-491777.35789414,7337.80589414,closed,sl,1767644890579,1767644890579
1,sell,320,92724.758,29671922.560000002,94617.1,85155.39,94617.1,-614721.69736768,9172.25736768,closed,sl,1767644890579,1767644890579
1,buy,400,94617.1,37846840,92724.758,102186.46800000001,92724.758,-768402.12170960,11465.32170960,closed,sl,1767644890579,1767644890579
1,sell,500,92724.758,46362379,94617.1,85155.39,85155.39,3771076.16867800,13607.83132200,closed,tp,1767644890579,1767644890579
2,sell,256,85155.2,21799731.2,86858.304,78342.784,78342.784,1737574.60696269,6403.88903731,closed,tp,1769700775505,1769700775505
2,buy,320,86858.304,27794657.28,85155.2,93670.72,86858.304,-8505.16512768,8505.16512768,canceled,,,
2,sell,400,85155.2,34062080,86858.304,78342.784,85155.2,-10422.99648000,10422.99648000,canceled,,,
2,buy,500,86858.304,43429152,85155.2,93670.72,86858.304,-13289.32051200,13289.32051200,canceled,,,
3,sell,256,78342.5,20055680,79909.35,72075.1,78342.5,-6137.03808000,6137.03808000,open,,1769879542820,
3,buy,320,79909.35,25570992,78342.5,86176.75,79909.35,-7824.72355200,7824.72355200,pending,,,
3,sell,400,78342.5,31337000,79909.35,72075.1,78342.5,-9589.12200000,9589.12200000,pending,,,
3,buy,500,79909.35,39954675,78342.5,86176.75,79909.35,-12226.13055000,12226.13055000,pending,,,
