seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,87502.33339555723,0.7305,63920.45454545456,0.723195,0.7524150000000001,0.7524150000000001,1906.63606534,10.97757102,closed,tp,1760054400025,1760054400025
0,sell,116669.77786074296,0.723195,84375.00000000001,0.7305,0.70128,0.723195,-14.27625000,14.27625000,canceled,,,
0,buy,155559.70381432396,0.7305,113636.36363636366,0.723195,0.7524150000000001,0.7305,-19.22727272,19.22727272,canceled,,,
0,sell,207412.93841909856,0.723195,150000,0.7305,0.70128,0.723195,-25.38000000,25.38000000,canceled,,,
1,buy,84932.83888580196,0.7526,63920.45454545456,0.745074,0.775178,0.745074,-649.96580965,10.76126420,closed,sl,1760102686701,1760102686701
1,sell,113243.78518106928,0.745074,84375.00000000001,0.7526,0.722496,0.722496,2542.75823864,14.05994318,closed,tp,1760102686701,1760102686701
1,buy,150991.71357475902,0.7526,113636.36363636365,0.745074,0.775178,0.7526,-19.22727272,19.22727272,canceled,,,
1,sell,201322.28476634534,0.745074,150000,0.7526,0.722496,0.745074,-25.38000000,25.38000000,canceled,,,
2,sell,86743.32406243533,0.7223,62654.70297029705,0.729523,0.700631,0.729523,-637.20121132,10.65418162,closed,sl,1760108661163,1760108661163
2,buy,115657.76541658044,0.729523,84375.00000000001,0.7223,0.7511920000000001,0.7223,-849.60161510,14.20557550,closed,sl,1760108661163,1760108661163
2,sell,154210.3538887739,0.7223,111386.1386138614,0.729523,0.700631,0.700631,3323.02032178,18.56383664,closed,tp,1760108661163,1760108661163
2,buy,205613.80518503184,0.729523,150000,0.7223,0.7511920000000001,0.729523,-25.38000000,25.38000000,canceled,,,
3,sell,89442.83079271526,0.7005,62654.70297029705,0.707505,0.679485,0.707505,-637.20121132,10.65418162,closed,sl,1760110252924,1760110252924
3,buy,119257.10772362034,0.707505,84375.00000000001,0.7005,0.7285200000000001,0.7005,-849.60161510,14.20557550,closed,sl,1760110252924,1760110252924
3,sell,159009.47696482713,0.7005,111386.1386138614,0.707505,0.679485,0.707505,-1132.80215347,18.94076733,closed,sl,1760110252924,1760110252924
3,buy,212012.63595310278,0.707505,150000,0.7005,0.7285200000000001,0.7005,-1510.40287129,25.25435644,closed,sl,1760110252924,1760110252924
4,buy,91249.75666731558,0.7005,63920.454545454566,0.693495,0.721515,0.693495,-649.96580965,10.76126420,closed,sl,1760115487128,1760115487128
4,sell,121666.34222308744,0.693495,84375.00000000003,0.7005,0.67248,0.67248,2542.75823864,14.05994318,closed,tp,1760115487128,1760115487128
4,buy,162221.78963078326,0.7005,113636.36363636368,0.693495,0.721515,0.7005,-19.22727272,19.22727272,canceled,,,
4,sell,216295.71950771095,0.693495,150000,0.7005,0.67248,0.693495,-25.38000000,25.38000000,canceled,,,
5,buy,95091.42300722189,0.6722,63920.45454545456,0.665478,0.692366,0.665478,-649.96580965,10.76126420,closed,sl,1760129629615,1760129629615
5,sell,126788.56400962919,0.665478,84375.00000000001,0.6722,0.645312,0.645312,2542.75823864,14.05994318,closed,tp,1760129629615,1760129629615
