seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,106404.55240711565,0.24857,26448.979591836738,0.23987005,0.27466985,0.23987005,-930.11113762,4.39685191,closed,sl,1760054400045,1760054400045
0,sell,141872.73654282087,0.23987005,34031.02040816327,0.24857,0.2137702,0.2137702,3697.41235592,5.44478694,closed,tp,1760054400045,1760054400045
0,buy,189163.64872376114,0.24857,47020.40816326531,0.23987005,0.27466985,0.24857,-7.95585306,7.95585306,canceled,,,
0,sell,252218.19829834814,0.23987005,60499.59183673468,0.24857,0.2137702,0.23987005,-10.23653094,10.23653094,canceled,,,
1,buy,157972.53432141655,0.21376,33768.208936546005,0.2062784,0.2362048,0.2062784,-1187.50090607,5.61359329,closed,sl,1760130749670,1760130749670
1,sell,210630.04576188873,0.2062784,43448.42883168919,0.21376,0.18383359999999999,0.18383359999999999,4720.59772763,6.95152349,closed,tp,1760130749670,1760130749670
1,buy,280840.0610158516,0.21376,60032.371442748445,0.2062784,0.2362048,0.21376,-10.15747724,10.15747724,canceled,,,
1,sell,374453.4146878021,0.2062784,77241.6512563363,0.21376,0.18383359999999999,0.2062784,-13.06928740,13.06928740,canceled,,,
2,sell,234589.66976537884,0.18378,43112.88950948133,0.1902123,0.1644831,0.1644831,4519.94166940,6.91172910,closed,tp,1760130968524,1760130968524
2,buy,312786.22635383846,0.1902123,59495.787523084226,0.18378,0.2095092,0.1902123,-10.06668724,10.06668724,canceled,,,
2,sell,417048.3018051179,0.18378,76645.13690574457,0.1902123,0.1644831,0.18378,-12.96835716,12.96835716,canceled,,,
2,buy,556064.4024068238,0.1902123,105770.2889299275,0.18378,0.2095092,0.1902123,-17.89633288,17.89633288,canceled,,,
3,sell,334839.31659062894,0.16446,55067.67400649483,0.17021609999999998,0.1471917,0.1471917,5773.27748639,8.82828429,closed,tp,1760131048970,1760131048970
3,buy,446452.42212083854,0.17021609999999998,75993.39012896286,0.16446,0.18748439999999997,0.17021609999999998,-12.85808160,12.85808160,canceled,,,
3,sell,595269.896161118,0.16446,97898.08712265747,0.17021609999999998,0.1471917,0.16446,-16.56435634,16.56435634,canceled,,,
3,buy,793693.1948814907,0.17021609999999998,135099.3602292673,0.16446,0.18748439999999997,0.17021609999999998,-22.85881176,22.85881176,canceled,,,
4,buy,476089.1014488557,0.14774,70337.40384805395,0.1425691,0.1632527,0.1425691,-2473.50195436,11.69281968,closed,sl,1760131091774,1760131091774
4,sell,634785.4685984743,0.1425691,90500.79295116274,0.14774,0.1270564,0.1270564,9832.75688078,14.47965795,closed,tp,1760131091774,1760131091774
4,buy,846380.6247979656,0.14774,125044.27350765145,0.1425691,0.1632527,0.14774,-21.15749108,21.15749108,canceled,,,
4,sell,1128507.4997306208,0.1425691,160890.29857984485,0.14774,0.1270564,0.1425691,-27.22263852,27.22263852,canceled,,,
5,buy,707101.4345200246,0.127,89801.88218404312,0.122555,0.140335,0.122555,-3157.99445153,14.92857509,closed,sl,1760131127214,1760131127214
5,sell,942801.9126933661,0.122555,115545.08841013547,0.127,0.10922,0.127,-4210.65926871,19.90476679,closed,sl,1760131127214,1760131127214
5,buy,1257069.216924488,0.127,159647.79054940998,0.122555,0.140335,0.122555,-5614.21235828,26.53968905,closed,sl,1760131127214,1760131127214
5,sell,1676092.2892326505,0.122555,205413.4905069075,0.127,0.10922,0.10922,22317.82558275,32.86509417,closed,tp,1760131127214,1760131127214
6,sell,1049325.4287034073,0.10911,114491.89752582877,0.11292885,0.09765345,0.11292885,-4026.92745297,19.71103957,closed,sl,1760131183084,1760131183084
6,buy,1399100.571604543,0.11292885,157998.8185856437,0.10911,0.1243854,0.10911,-5369.23660396,26.28138609,closed,sl,1760131183084,1760131183084
6,sell,1865467.4288060572,0.10911,203541.1511570289,0.11292885,0.09765345,0.11292885,-7158.98213863,35.04184813,closed,sl,1760131183084,1760131183084
6,buy,2487289.9050747426,0.11292885,280886.78859669983,0.10911,0.1243854,0.1243854,28445.82437595,49.93678603,closed,tp,1760131183084,1760131183084
7,sell,1169215.8947160505,0.12482,145941.52797845742,0.1291887,0.1117139,0.1117139,15300.46352980,23.39690794,closed,tp,1760131185409,1760131185409
7,buy,1558954.5262880672,0.1291887,201399.30861027123,0.12481999999999999,0.1422948,0.1291887,-34.07676302,34.07676302,canceled,,,
7,sell,2078606.0350507563,0.12481999999999999,259451.60529503538,0.1291887,0.11171389999999999,0.12481999999999999,-43.89921162,43.89921162,canceled,,,
7,buy,2771474.713401008,0.1291887,358043.21530714876,0.12481999999999999,0.1422948,0.1291887,-60.58091202,60.58091202,canceled,,,
8,sell,1692172.2289668163,0.11016,186409.69274298448,0.1140156,0.09859319999999999,0.1140156,-6556.43172512,32.09247912,closed,sl,1760131185412,1760131185412
8,buy,2256229.638622422,0.1140156,257245.3759853186,0.11016,0.12558239999999998,0.11016,-8741.90896682,42.78997215,closed,sl,1760131185412,1760131185412
8,sell,3008306.1848298954,0.11016,331395.00932086125,0.1140156,0.09859319999999999,0.1140156,-11655.87862243,57.05329620,closed,sl,1760131185412,1760131185412
8,buy,4011074.9131065267,0.1140156,457325.1128627885,0.11016,0.12558239999999998,0.11016,-15541.17149657,76.07106160,closed,sl,1760131185412,1760131185412
9,sell,681839.8923296933,0.10855,74013.7203123882,0.11234925,0.09715225,0.11234925,-2603.22248703,12.74227610,closed,sl,1760131185561,1760131185561
9,buy,909119.856439591,0.11234925,102138.93403109572,0.10855,0.123747,0.10855,-3470.96331605,16.98970147,closed,sl,1760131185561,1760131185561
9,sell,1212159.8085861213,0.10855,131579.94722202345,0.11234925,0.09715225,0.09715225,13794.79995592,21.09450239,closed,tp,1760131185561,1760131185561
9,buy,1616213.078114828,0.11234925,181580.32716639235,0.10855,0.123747,0.11234925,-30.72339136,30.72339136,canceled,,,
10,sell,972743.6848875288,0.09708,94433.95692888129,0.1004778,0.08688660000000001,0.08688660000000001,9900.42610885,15.13936868,closed,tp,1760131209521,1760131209521
10,buy,1296991.5798500383,0.1004778,130318.86056185619,0.09708,0.1106712,0.1004778,-22.04995120,22.04995120,canceled,,,
10,sell,1729322.1064667178,0.09708,167882.59009578897,0.1004778,0.08688660000000001,0.09708,-28.40573424,28.40573424,canceled,,,
10,buy,2305762.80862229,0.1004778,231677.97433218872,0.09708,0.1106712,0.1004778,-39.19991326,39.19991326,canceled,,,
11,buy,1389146.3058762422,0.08683,120619.57373923413,0.08379095,0.09594715000000001,0.09594715000000001,12643.57494707,21.48029555,closed,tp,1760131250111,1760131250111
11,sell,1852195.0745016562,0.08379095,155197.18487781455,0.08683,0.0746738,0.08379095,-26.25936368,26.25936368,canceled,,,
11,buy,2469593.432668875,0.08683,214434.79775863842,0.08379095,0.09594715000000001,0.08683,-36.28236778,36.28236778,canceled,,,
11,sell,3292791.2435584995,0.08379095,275906.10644944804,0.08683,0.0746738,0.08379095,-46.68331322,46.68331322,canceled,,,
12,buy,1597475.521708049,0.09644,154060.53931352426,0.0930646,0.1065662,0.0930646,-5417.72974597,25.61087000,closed,sl,1760131278014,1760131278014
12,sell,2129967.362277399,0.0930646,198224.5605834012,0.09644,0.0829384,0.09644,-7223.63966129,34.14782666,closed,sl,1760131278014,1760131278014
12,buy,2839956.4830365316,0.09644,273885.4032240431,0.0930646,0.1065662,0.1065662,28709.19300426,48.77433426,closed,tp,1760131278014,1760131278014
12,sell,3786608.644048708,0.0930646,352399.21881493536,0.09644,0.0829384,0.0930646,-59.62594782,59.62594782,canceled,,,
13,buy,1843540.5473058808,0.10662,196558.29315375304,0.1028883,0.1178151,0.1178151,20603.61709062,35.00369052,closed,tp,1760131305660,1760131305660
13,sell,2458054.0630745078,0.1028883,252905.00385782888,0.10662,0.0916932,0.1028883,-42.79152666,42.79152666,canceled,,,
13,buy,3277405.417432677,0.10662,349436.96560667205,0.1028883,0.1178151,0.10662,-59.12473458,59.12473458,canceled,,,
13,sell,4369873.889910235,0.1028883,449608.8957472512,0.10662,0.0916932,0.1028883,-76.07382516,76.07382516,canceled,,,
14,buy,2127385.458423408,0.11801,251052.7579485464,0.11387965,0.13040105,0.13040105,26315.83135631,44.70822829,closed,tp,1760131345900,1760131345900
14,sell,2836513.944564544,0.11387965,323021.2152271297,0.11801,0.1014886,0.11387965,-54.65518962,54.65518962,canceled,,,
14,buy,3782018.5927527254,0.11801,446316.01413074916,0.11387965,0.13040105,0.11801,-75.51666960,75.51666960,canceled,,,
14,sell,5042691.4570036335,0.11387965,574259.9381815639,0.11801,0.1014886,0.11387965,-97.16478154,97.16478154,canceled,,,
15,sell,2458071.648885132,0.13045,320655.4465970655,0.13501575000000002,0.11675275000000002,0.13501575000000002,-11278.14499324,55.20436234,closed,sl,1760131412203,1760131412203
15,buy,3277428.8651801758,0.13501575000000002,442504.5163039504,0.13045,0.148713,0.13045,-15037.52665766,73.60581646,closed,sl,1760131412203,1760131412203
15,sell,4369905.153573567,0.13045,570054.1272836719,0.13501575000000002,0.11675275000000002,0.13501575000000002,-20050.03554354,98.14108861,closed,sl,1760131412203,1760131412203
15,buy,5826540.204764755,0.13501575000000002,786674.6956514671,0.13045,0.148713,0.148713,79667.72074012,139.85707959,closed,tp,1760131412203,1760131412203
16,sell,2747804.196711077,0.14875,408735.87426077266,0.15395625,0.13313125,0.15395625,-14376.12397598,70.36837685,closed,sl,1760131614890,1760131614890
16,buy,3663738.9289481025,0.15395625,564055.5064798662,0.14875,0.16957499999999998,0.14875,-19168.16530131,93.82450247,closed,sl,1760131614890,1760131614890
16,sell,4884985.238597469,0.14875,726641.5542413736,0.15395625,0.13313125,0.15395625,-25557.55373507,125.09933662,closed,sl,1760131614890,1760131614890
16,buy,6513313.651463292,0.15395625,1002765.3448530954,0.14875,0.16957499999999998,0.16957499999999998,101551.54335488,178.27423891,closed,tp,1760131614890,1760131614890
17,sell,3070369.497699874,0.16969,521011.00006469165,0.17562915,0.15187255,0.17562915,-18325.08277705,89.69777479,closed,sl,1760132039593,1760132039593
