seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,789185.2393131166,0.1173,92571.42857142858,0.11612700000000001,0.120819,0.120819,2761.24482514,15.89803200,closed,tp,1767225601803,1767225601803
0,sell,1052246.9857508221,0.11612700000000001,122194.28571428572,0.1173,0.11260800000000001,0.11612700000000001,-20.67527314,20.67527314,canceled,,,
0,buy,1402995.981001096,0.1173,164571.42857142858,0.11612700000000001,0.120819,0.1173,-27.84548572,27.84548572,canceled,,,
0,sell,1870661.3080014612,0.11612700000000001,217234.2857142857,0.1173,0.11260800000000001,0.11612700000000001,-36.75604114,36.75604114,canceled,,,
1,buy,977676.6232005496,0.12083,118132.66638132241,0.11962170000000001,0.12445490000000001,0.12445490000000001,3523.69212358,20.28786786,closed,tp,1767258038583,1767258038583
1,sell,1303568.830934066,0.11962170000000001,155935.11962334558,0.12083,0.11599680000000001,0.11962170000000001,-26.38422224,26.38422224,canceled,,,
1,buy,1738091.7745787548,0.12083,210013.62912235095,0.11962170000000001,0.12445490000000001,0.12083,-35.53430604,35.53430604,canceled,,,
1,sell,2317455.699438339,0.11962170000000001,277217.9904415032,0.12083,0.11599680000000001,0.11962170000000001,-46.90528398,46.90528398,canceled,,,
2,sell,1211151.1830472283,0.12447,150751.9877538885,0.12571469999999998,0.1207359,0.12571469999999998,-1533.15465005,25.63477251,closed,sl,1767282384184,1767282384184
2,buy,1614868.2440629709,0.12571469999999998,203012.67684190313,0.12446999999999998,0.12944879999999997,0.12446999999999998,-2044.20620007,34.17969668,closed,sl,1767282384184,1767282384184
2,sell,2153157.658750628,0.12446999999999998,268003.53378469066,0.12571469999999998,0.12073589999999998,0.12571469999999998,-2725.60826676,45.57292891,closed,sl,1767282384184,1767282384184
2,buy,2870876.87833417,0.12571469999999998,360911.4254967167,0.12446999999999998,0.12944879999999997,0.12944879999999997,10658.16821423,61.97313716,closed,tp,1767282384184,1767282384184
3,sell,1475889.7572178165,0.12946,191068.6879694185,0.1307546,0.1255762,0.1307546,-1943.17734580,32.49046611,closed,sl,1767347095265,1767347095265
3,buy,1967853.0096237552,0.1307546,257305.83313215026,0.12946,0.1346384,0.12946,-2590.90312774,43.32062148,closed,sl,1767347095265,1767347095265
3,sell,2623804.0128316735,0.12946,339677.6675011884,0.1307546,0.1255762,0.1307546,-3454.53750366,57.76082865,closed,sl,1767347095265,1767347095265
3,buy,3498405.350442231,0.1307546,457432.59223493375,0.12946,0.1346384,0.12946,-4606.05000487,77.01443819,closed,sl,1767347095265,1767347095265
4,buy,575297.7539088787,0.12946,74478.04722104342,0.12816539999999998,0.13334379999999998,0.13334379999999998,2221.55070576,12.79071087,closed,tp,1767364385714,1767364385714
4,sell,767063.6718785048,0.12816539999999998,98311.0223317773,0.12946,0.12428159999999999,0.12816539999999998,-16.63422498,16.63422498,canceled,,,
4,buy,1022751.5625046731,0.12946,132405.41728185499,0.12816539999999998,0.13334379999999998,0.12946,-22.40299660,22.40299660,canceled,,,
4,sell,1363668.7500062305,0.12816539999999998,174775.15081204852,0.12946,0.12428159999999999,0.12816539999999998,-29.57195552,29.57195552,canceled,,,
5,buy,712681.9096330405,0.13336,95043.25946866229,0.13202640000000002,0.1373608,0.1373608,2834.97524477,16.32253929,closed,tp,1767364753199,1767364753199
5,sell,950242.5461773874,0.13202640000000002,125457.10249863422,0.13336,0.12802560000000002,0.13202640000000002,-21.22734174,21.22734174,canceled,,,
5,buy,1266990.0615698497,0.13336,168965.79461095517,0.13202640000000002,0.1373608,0.13336,-28.58901244,28.58901244,canceled,,,
5,sell,1689320.0820931327,0.13202640000000002,223034.8488864608,0.13336,0.12802560000000002,0.13202640000000002,-37.73749644,37.73749644,canceled,,,
6,sell,882857.9873777878,0.13738,121287.03030596049,0.1387538,0.1332586,0.1387538,-1233.49467741,20.62437435,closed,sl,1767370955856,1767370955856
6,buy,1177143.9831703836,0.1387538,163333.2008120268,0.13738,0.1428752,0.13738,-1644.65956989,27.49916581,closed,sl,1767370955856,1767370955856
6,sell,1569525.310893845,0.13738,215621.38721059644,0.1387538,0.1332586,0.1387538,-2192.87942652,36.66555441,closed,sl,1767370955856,1767370955856
6,buy,2092700.414525126,0.1387538,290370.13477693644,0.13738,0.1428752,0.1428752,8574.99519884,49.86028958,closed,tp,1767370955856,1767370955856
7,sell,1075818.4807130245,0.14289,153723.70270908406,0.1443189,0.13860329999999998,0.1443189,-1563.37712784,26.14010075,closed,sl,1767391509031,1767391509031
7,buy,1434424.6409506993,0.1443189,207014.58631489988,0.14289,0.1486056,0.14289,-2084.50283712,34.85346767,closed,sl,1767391509031,1767391509031
7,sell,1912566.1879342657,0.14289,273286.5825939272,0.1443189,0.13860329999999998,0.1443189,-2779.33711617,46.47129023,closed,sl,1767391509031,1767391509031
7,buy,2550088.2505790205,0.1443189,368025.9312264886,0.14289,0.1486056,0.14289,-3705.78282155,61.96172030,closed,sl,1767391509031,1767391509031
8,sell,419380.4244015661,0.14288,59921.075038495765,0.14430880000000001,0.1385936,0.14430880000000001,-609.40008951,10.18933913,closed,sl,1767395370813,1767395370813
8,buy,559173.8992020881,0.14430880000000001,80693.7143851743,0.14288,0.1485952,0.14288,-812.53345268,13.58578550,closed,sl,1767395370813,1767395370813
8,sell,745565.1989361175,0.14288,106526.35562399247,0.14430880000000001,0.1385936,0.1385936,3178.03677323,17.75389549,closed,tp,1767395370813,1767395370813
