seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,1024000,1.789,1831936,1.7263849999999998,2.03946,2.03946,255871.22751488,599.81248512,closed,tp,1767225601448,1767225601448
0,sell,1280000,1.7263849999999998,2209772.8,1.789,1.475925,1.7263849999999998,-676.19047680,676.19047680,canceled,,,
0,buy,1600000,1.789,2862400,1.7263849999999998,2.03946,1.789,-875.89440000,875.89440000,canceled,,,
0,sell,2000000,1.7263849999999998,3452769.9999999995,1.789,1.475925,1.7263849999999998,-1056.54762000,1056.54762000,canceled,,,
1,buy,1024000,2.041,2089984,1.969565,2.32674,2.32674,291913.45743872,684.30256128,closed,tp,1767371511193,1767371511193
1,sell,1280000,1.969565,2521043.2,2.041,1.6838250000000001,1.969565,-771.43921920,771.43921920,canceled,,,
1,buy,1600000,2.041,3265600,1.969565,2.32674,2.041,-999.27360000,999.27360000,canceled,,,
1,sell,2000000,1.969565,3939130,2.041,1.6838250000000001,1.969565,-1205.37378000,1205.37378000,canceled,,,
2,sell,850706.7761619333,2.326,1978743.961352657,2.40741,2.00036,2.00036,276461.04363285,563.11095652,closed,tp,1768321895065,1768321895065
2,buy,1063383.4702024166,2.40741,2560000,2.326,2.73305,2.40741,-783.36000000,783.36000000,canceled,,,
2,sell,1329229.3377530207,2.326,3091787.439613526,2.40741,2.00036,2.326,-946.08695652,946.08695652,canceled,,,
2,buy,1661536.672191276,2.40741,4000000,2.326,2.73305,2.40741,-1224.00000000,1224.00000000,canceled,,,
3,sell,987397.186303721,2.004,1978743.961352657,2.07414,1.72344,1.72344,276461.04363285,563.11095652,closed,tp,1768780856327,1768780856327
3,buy,1234246.4828796512,2.07414,2559999.9999999995,2.004,2.3547,2.07414,-783.36000000,783.36000000,canceled,,,
3,sell,1542808.1035995642,2.004,3091787.4396135267,2.07414,1.72344,2.004,-946.08695652,946.08695652,canceled,,,
3,buy,1928510.1294994552,2.07414,4000000,2.004,2.3547,2.07414,-1224.00000000,1224.00000000,canceled,,,
4,buy,1024000,1.724,1765376,1.66366,1.96536,1.66366,-62318.91146752,530.75146752,closed,sl,1769699536780,1769699536780
4,sell,1280000,1.66366,2129484.8,1.724,1.4223,1.4223,308336.44559360,604.35440640,closed,tp,1769699536780,1769699536780
4,buy,1600000,1.724,2758400,1.66366,1.96536,1.724,-844.07040000,844.07040000,canceled,,,
4,sell,2000000,1.66366,3327320,1.724,1.4223,1.66366,-1018.15992000,1018.15992000,canceled,,,
5,buy,1024000,1.425,1459200,1.3751250000000002,1.6245,1.425,-446.51520000,446.51520000,open,,1769885019270,
5,sell,1280000,1.3751250000000002,1760160.0000000002,1.425,1.1756250000000001,1.3751250000000002,-538.60896000,538.60896000,pending,,,
5,buy,1600000,1.425,2280000,1.3751250000000002,1.6245,1.425,-697.68000000,697.68000000,pending,,,
5,sell,2000000,1.3751250000000002,2750250.0000000005,1.425,1.1756250000000001,1.3751250000000002,-841.57650000,841.57650000,pending,,,
