seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,45000.70313598649,0.547,24615.384615384613,0.5415300000000001,0.55794,0.55794,488.10112000,4.20657231,closed,tp,1760054408532,1760054408532
0,sell,67501.05470397974,0.5415300000000001,36553.84615384615,0.547,0.5305900000000001,0.5415300000000001,-6.18491076,6.18491076,canceled,,,
0,buy,101251.5820559696,0.547,55384.615384615376,0.5415300000000001,0.55794,0.547,-9.37107692,9.37107692,canceled,,,
0,sell,151877.37308395442,0.5415300000000001,82246.15384615384,0.547,0.5305900000000001,0.5415300000000001,-13.91604924,13.91604924,canceled,,,
1,buy,46266.78189136008,0.558,25816.864295378928,0.55242,0.56916,0.55242,-262.51501532,4.34637237,closed,sl,1760061692817,1760061692817
1,sell,69400.17283704013,0.55242,38338.04347863771,0.558,0.5412600000000001,0.558,-393.77252299,6.51955856,closed,sl,1760061692817,1760061692817
1,buy,104100.25925556017,0.558,58087.94466460258,0.55242,0.56916,0.56916,1151.83212825,9.92676504,closed,tp,1760061692817,1760061692817
1,sell,156150.38888334026,0.55242,86260.59782693483,0.558,0.5412600000000001,0.55242,-14.59529316,14.59529316,canceled,,,
2,sell,47507.76025815772,0.5691,27036.666362917564,0.574791,0.557718,0.557718,536.20446936,4.52885790,closed,tp,1760067440287,1760067440287
2,buy,71261.64038723658,0.574791,40960.5495398201,0.5691,0.586173,0.574791,-6.93052498,6.93052498,canceled,,,
2,sell,106892.46058085488,0.5691,60832.49931656452,0.574791,0.557718,0.5691,-10.29285888,10.29285888,canceled,,,
2,buy,160338.6908712823,0.574791,92161.23646459523,0.5691,0.586173,0.574791,-15.59368120,15.59368120,canceled,,,
3,sell,50845.53395641379,0.5577,28356.55428749197,0.563277,0.546546,0.546546,562.38113606,4.74994969,closed,tp,1760070471784,1760070471784
3,buy,76268.30093462068,0.563277,42960.17974555033,0.5577,0.574431,0.563277,-7.26886242,7.26886242,canceled,,,
3,sell,114402.45140193103,0.5577,63802.247146856935,0.563277,0.546546,0.5577,-10.79534022,10.79534022,canceled,,,
3,buy,171603.67710289653,0.563277,96660.40442748825,0.5577,0.574431,0.563277,-16.35494042,16.35494042,canceled,,,
4,buy,54430.59495597905,0.5464,29740.877083946954,0.540936,0.557328,0.557328,589.73506371,5.08247797,closed,tp,1760085784827,1760085784827
4,sell,81645.89243396858,0.540936,44165.20246966122,0.5464,0.5300079999999999,0.540936,-7.47275226,7.47275226,canceled,,,
4,buy,122468.83865095286,0.5464,66916.97343888064,0.540936,0.557328,0.5464,-11.32235190,11.32235190,canceled,,,
4,sell,183703.2579764293,0.540936,99371.70555673775,0.5464,0.5300079999999999,0.540936,-16.81369258,16.81369258,canceled,,,
5,buy,55970.810381095194,0.5573,31192.532625384352,0.551727,0.568446,0.551727,-317.17671389,5.25138764,closed,sl,1760097352518,1760097352518
5,sell,83956.2155716428,0.551727,46320.91094869576,0.5573,0.540581,0.540581,928.01764727,7.75833149,closed,tp,1760097352518,1760097352518
5,buy,125934.32335746419,0.5573,70183.1984071148,0.551727,0.568446,0.5573,-11.87499718,11.87499718,canceled,,,
5,sell,188901.48503619627,0.551727,104222.04963456545,0.5573,0.540581,0.551727,-17.63437080,17.63437080,canceled,,,
6,sell,60492.397921878954,0.5405,32696.141076775573,0.545905,0.52969,0.52969,648.44595634,5.47686520,closed,tp,1760110018024,1760110018024
6,buy,90738.59688281843,0.545905,49534.65373131499,0.5405,0.556715,0.545905,-8.38126342,8.38126342,canceled,,,
6,sell,136107.89532422763,0.5405,73566.31742274504,0.545905,0.52969,0.5405,-12.44742090,12.44742090,canceled,,,
6,buy,204161.84298634148,0.545905,111452.97089545874,0.5405,0.556715,0.545905,-18.85784268,18.85784268,canceled,,,
7,sell,64751.35147002365,0.5296,34292.31573852452,0.5348959999999999,0.5190079999999999,0.5190079999999999,680.10207755,5.74423722,closed,tp,1760110287540,1760110287540
7,buy,97127.02720503547,0.5348959999999999,51952.858343864646,0.5296,0.545488,0.5348959999999999,-8.79042364,8.79042364,canceled,,,
7,sell,145690.54080755322,0.5296,77157.71041168018,0.5348959999999999,0.5190079999999999,0.5296,-13.05508460,13.05508460,canceled,,,
7,buy,218535.81121132983,0.5348959999999999,116893.93127369546,0.5296,0.545488,0.5348959999999999,-19.77845318,19.77845318,canceled,,,
8,sell,69312.80239003137,0.5189,35966.41316018728,0.524089,0.508522,0.508522,713.30360127,6.02466193,closed,tp,1760115450198,1760115450198
8,buy,103969.20358504706,0.524089,54489.11593768373,0.5189,0.534467,0.524089,-9.21955842,9.21955842,canceled,,,
8,sell,155953.8053775706,0.5189,80924.42961042139,0.524089,0.508522,0.5189,-13.69241350,13.69241350,canceled,,,
8,buy,233930.70806635587,0.524089,122600.5108597884,0.5189,0.534467,0.524089,-20.74400644,20.74400644,canceled,,,
9,sell,74168.77194155818,0.5086,37722.2374094765,0.5136860000000001,0.49842800000000004,0.49842800000000004,748.12597165,6.31877654,closed,tp,1760124530727,1760124530727
9,buy,111253.15791233728,0.5136860000000001,57149.189675356894,0.5086,0.523858,0.5136860000000001,-9.66964290,9.66964290,canceled,,,
9,sell,166879.73686850592,0.5086,84875.03417132211,0.5136860000000001,0.49842800000000004,0.5086,-14.36085578,14.36085578,canceled,,,
9,buy,250319.60530275886,0.5136860000000001,128585.67676955301,0.5086,0.523858,0.5136860000000001,-21.75669650,21.75669650,canceled,,,
10,sell,79349.73578573536,0.4986,39563.77826276765,0.503586,0.488628,0.488628,784.64831589,6.62724937,closed,tp,1760129569068,1760129569068
10,buy,119024.60367860305,0.503586,59939.12406809299,0.4986,0.513558,0.503586,-10.14169980,10.14169980,canceled,,,
