seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,30304.321680374633,0.6868,20813.008130081296,0.6524599999999999,0.82416,0.82416,4158.72790894,3.87371708,closed,tp,1767225601811,1767225601811
0,sell,37880.40210046829,0.6524599999999999,24715.447154471534,0.6868,0.5150999999999999,0.6524599999999999,-4.18185366,4.18185366,canceled,,,
0,buy,47350.502625585366,0.6868,32520.32520325203,0.6524599999999999,0.82416,0.6868,-5.50243902,5.50243902,canceled,,,
0,sell,59188.128281981706,0.6524599999999999,38617.88617886178,0.6868,0.5150999999999999,0.6524599999999999,-6.53414634,6.53414634,canceled,,,
1,buy,35741.14239906602,0.8245,29468.57190802993,0.783275,0.9894000000000001,0.783275,-1478.29002570,4.86143030,closed,sl,1767708985165,1767708985165
1,sell,44676.42799883252,0.783275,34993.92914078555,0.8245,0.618375,0.618375,7361.84526449,5.29771252,closed,tp,1767708985165,1767708985165
1,buy,55845.53499854066,0.8245,46044.64360629677,0.783275,0.9894000000000001,0.8245,-7.79075370,7.79075370,canceled,,,
1,sell,69806.91874817581,0.783275,54678.014282477416,0.8245,0.618375,0.783275,-9.25152002,9.25152002,canceled,,,
2,sell,67706.57394886133,0.6161,41714.02020989347,0.646905,0.49288,0.646905,-2092.93547302,7.23446253,closed,sl,1768780916447,1768780916447
2,buy,84633.21743607667,0.646905,54749.65152548517,0.6161,0.770125,0.6161,-2616.16934128,9.04307816,closed,sl,1768780916447,1768780916447
2,sell,105791.52179509583,0.6161,65178.15657795854,0.646905,0.49288,0.49288,13025.70598590,9.92532969,closed,tp,1768780916447,1768780916447
2,buy,132239.4022438698,0.646905,85546.33050857058,0.6161,0.770125,0.646905,-14.47443912,14.47443912,canceled,,,
3,sell,119820.07509095859,0.4926,59023.3689898062,0.51723,0.39408,0.4926,-9.98675404,9.98675404,open,,1769869608126,
3,buy,149775.09386369825,0.51723,77468.17179912064,0.4926,0.61575,0.51723,-13.10761466,13.10761466,pending,,,
3,sell,187218.8673296228,0.4926,92224.01404657218,0.51723,0.39408,0.4926,-15.60430318,15.60430318,pending,,,
3,buy,234023.5841620285,0.51723,121044.018436126,0.4926,0.61575,0.51723,-20.48064792,20.48064792,pending,,,
