seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,652.5088058739659,102.09,66614.62399167319,101.27328,105.35688,101.27328,-544.14310153,11.22610960,closed,sl,1544037671959,1544037671959
0,sell,815.6360073424573,101.27328,82602.13374967474,102.09,98.0064,102.09,-680.17887693,14.03263701,closed,sl,1544037671959,1544037671959
0,buy,1019.5450091780717,102.09,104085.34998698934,101.27328,105.35688,101.27328,-850.22359615,17.54079625,closed,sl,1544037671959,1544037671959
0,sell,1274.4312614725898,101.27328,129065.83398386679,102.09,98.0064,98.0064,4141.92828519,21.48571429,closed,tp,1544037671959,1544037671959
0,buy,1593.0390768407372,102.09,162633.35935467086,101.27328,105.35688,102.09,-27.51756440,27.51756440,canceled,,,
0,sell,1991.2988460509214,101.27328,201665.36559979187,102.09,98.0064,101.27328,-34.12177986,34.12177986,canceled,,,
1,buy,820.2695528868774,98,80386.41618291398,97.216,101.136,97.216,-656.63830555,13.54697609,closed,sl,1544072474005,1544072474005
1,sell,1025.3369411085966,97.216,99679.15606681333,98,94.08,98,-820.79788194,16.93372011,closed,sl,1544072474005,1544072474005
1,buy,1281.6711763857459,98,125603.7752858031,97.216,101.136,101.136,3997.72861583,21.59219332,closed,tp,1544072474005,1544072474005
1,sell,1602.0889704821823,97.216,155748.6813543958,98,94.08,97.216,-26.35267688,26.35267688,canceled,,,
1,buy,2002.611213102728,98,196255.89888406734,97.216,101.136,98,-33.20649810,33.20649810,canceled,,,
1,sell,2503.26401637841,97.216,243357.31461624347,98,94.08,97.216,-41.17605764,41.17605764,canceled,,,
2,sell,959.4712621362745,101.28,97175.24942916188,102.09024,98.03904,102.09024,-793.90981584,16.50782041,closed,sl,1544073349513,1544073349513
2,buy,1199.3390776703432,102.09024,122440.81428074397,101.28,105.3312,101.28,-992.38726981,20.63477552,closed,sl,1544073349513,1544073349513
2,sell,1499.1738470879288,101.28,151836.32723306544,102.09024,98.03904,102.09024,-1240.48408725,25.79346939,closed,sl,1544073349513,1544073349513
2,buy,1873.967308859911,102.09024,191313.77231366243,101.28,105.3312,101.28,-1550.60510907,32.24183674,closed,sl,1544073349513,1544073349513
2,sell,2342.459136074889,101.28,237244.26130166478,102.09024,98.03904,98.03904,7552.31690030,39.49946135,closed,tp,1544073349513,1544073349513
2,buy,2928.0739200936114,102.09024,298927.7692400976,101.28,105.3312,102.09024,-50.57857856,50.57857856,canceled,,,
3,sell,1194.777756160678,97.92,116992.6378832536,98.70336,94.78656000000001,98.70336,-955.81543801,19.87433494,closed,sl,1544101994018,1544101994018
3,buy,1493.4721952008476,98.70336,147410.72373289955,97.92,101.83680000000001,101.83680000000001,4654.36771779,25.33779754,closed,tp,1544101994018,1544101994018
3,sell,1866.8402440010595,97.92,182800.99669258375,98.70336,94.78656000000001,97.92,-30.92992864,30.92992864,canceled,,,
3,buy,2333.5503050013244,98.70336,230329.25583265553,97.92,101.83680000000001,98.70336,-38.97171008,38.97171008,canceled,,,
3,sell,2916.9378812516557,97.92,285626.5573321621,98.70336,94.78656000000001,97.92,-48.32801350,48.32801350,canceled,,,
3,buy,3646.1723515645695,98.70336,359889.4622385243,97.92,101.83680000000001,98.70336,-60.89329702,60.89329702,canceled,,,
4,buy,1201.2312620435948,103.12,123870.9677419355,102.29504,106.41984000000001,102.29504,-1011.84287381,20.87513187,closed,sl,1544111268583,1544111268583
4,sell,1501.5390775544936,102.29504,153600.00000000003,103.12,98.9952,98.9952,4929.26876903,25.56994065,closed,tp,1544111268583,1544111268583
4,buy,1876.9238469431168,103.12,193548.3870967742,102.29504,106.41984000000001,103.12,-32.74838710,32.74838710,canceled,,,
4,sell,2346.154808678896,102.29504,240000.00000000003,103.12,98.9952,102.29504,-40.60800000,40.60800000,canceled,,,
4,buy,2932.69351084862,103.12,302419.3548387097,102.29504,106.41984000000001,103.12,-51.16935484,51.16935484,canceled,,,
4,sell,3665.8668885607754,102.29504,375000.00000000006,103.12,98.9952,102.29504,-63.45000000,63.45000000,canceled,,,
5,buy,1276.3623672533279,97.05,123870.96774193547,96.2736,100.15559999999999,96.2736,-1011.84287381,20.87513187,closed,sl,1544111268591,1544111268591
5,sell,1595.4529590666598,96.2736,153599.99999999997,97.05,93.168,93.168,4929.26876903,25.56994065,closed,tp,1544111268591,1544111268591
5,buy,1994.3161988333247,97.05,193548.38709677415,96.2736,100.15559999999999,97.05,-32.74838710,32.74838710,canceled,,,
5,sell,2492.895248541656,96.2736,240000,97.05,93.168,96.2736,-40.60800000,40.60800000,canceled,,,
5,buy,3116.11906067707,97.05,302419.35483870964,96.2736,100.15559999999999,97.05,-51.16935484,51.16935484,canceled,,,
5,sell,3895.1488258463373,96.2736,374999.99999999994,97.05,93.168,96.2736,-63.45000000,63.45000000,canceled,,,
6,sell,1310.662959947983,93.01,121904.7619047619,93.75408,90.03368,93.75408,-995.94688610,20.70879086,closed,sl,1544135986958,1544135986958
6,buy,1638.3286999349787,93.75408,153600,93.01,96.7304,93.01,-1244.93360762,25.88598857,closed,sl,1544135986958,1544135986958
6,sell,2047.9108749187233,93.01,190476.19047619047,93.75408,90.03368,93.75408,-1556.16700952,32.35748571,closed,sl,1544135986958,1544135986958
6,buy,2559.8885936484044,93.75408,240000,93.01,96.7304,93.01,-1945.20876190,40.44685714,closed,sl,1544135986958,1544135986958
6,sell,3199.8607420605053,93.01,297619.04761904763,93.75408,90.03368,90.03368,9474.25809524,49.55142857,closed,tp,1544135986958,1544135986958
6,buy,3999.8259275756313,93.75408,374999.99999999994,93.01,96.7304,93.75408,-63.45000000,63.45000000,canceled,,,
7,sell,1354.1964219591412,90.02,121904.76190476188,90.74016,87.13936,90.74016,-995.94688610,20.70879086,closed,sl,1544140077301,1544140077301
7,buy,1692.7455274489264,90.74016,153599.99999999997,90.02,93.6208,90.02,-1244.93360762,25.88598857,closed,sl,1544140077301,1544140077301
7,sell,2115.931909311158,90.02,190476.19047619044,90.74016,87.13936,87.13936,6063.52518096,31.71291428,closed,tp,1544140077301,1544140077301
