seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,12.106624612338129,4369.34,52897.95918367348,4292.87655,4598.73035,4292.87655,-934.58630498,8.87201927,closed,sl,1760054400022,1760054400022
0,sell,16.14216614978417,4292.87655,69296.32653061225,4369.34,4063.4862,4063.4862,3691.44546613,11.41167673,closed,tp,1760054400022,1760054400022
0,buy,21.522888199712227,4369.34,94040.81632653062,4292.87655,4598.73035,4369.34,-15.91170612,15.91170612,canceled,,,
0,sell,28.697184266282964,4292.87655,123193.46938775509,4369.34,4063.4862,4292.87655,-20.84433502,20.84433502,canceled,,,
1,buy,16.60695066035359,4063.43,67481.18152180058,3992.319975,4276.760075,3992.319975,-1192.23858666,11.31791003,closed,sl,1760121616343,1760121616343
1,sell,22.142600880471452,3992.319975,88400.34779355876,4063.43,3778.9899,3778.9899,4709.12499124,14.55771529,closed,tp,1760121616343,1760121616343
1,buy,29.5234678406286,4063.43,119966.54492764547,3992.319975,4276.760075,4063.43,-20.29833940,20.29833940,canceled,,,
1,sell,39.3646237875048,3992.319975,157156.17385521554,4063.43,3778.9899,3992.319975,-26.59082462,26.59082462,canceled,,,
2,sell,22.78074564418725,3778.84,86084.79287008055,3844.9697,3580.4509000000003,3580.4509000000003,4505.26842433,14.18320135,closed,tp,1760130780365,1760130780365
2,buy,30.374327525583,3844.9697,116788.36899374261,3778.84,4043.3588,3844.9697,-19.76059204,19.76059204,canceled,,,
2,sell,40.49910336744399,3778.84,153039.63176903207,3844.9697,3580.4509000000003,3778.84,-25.89430570,25.89430570,canceled,,,
2,buy,53.99880448992532,3844.9697,207623.7670999868,3778.84,4043.3588,3844.9697,-35.12994140,35.12994140,canceled,,,
3,sell,30.700942783792865,3580.24,109916.74339224656,3642.8941999999997,3392.2774,3642.8941999999997,-1942.30365408,18.76064472,closed,sl,1760131012494,1760131012494
3,buy,40.93459037839048,3642.8941999999997,149120.38186881447,3580.24,3830.8567999999996,3580.24,-2589.73820545,25.01419296,closed,sl,1760131012494,1760131012494
3,sell,54.579453837853976,3580.24,195407.5438084383,3642.8941999999997,3392.2774,3392.2774,10226.70099613,32.19505381,closed,tp,1760131012494,1760131012494
3,buy,72.77260511713862,3642.8941999999997,265102.90110011457,3580.24,3830.8567999999996,3642.8941999999997,-44.85541086,44.85541086,canceled,,,
4,buy,41.28547407120935,3392,140040.32804954212,3332.64,3570.08,3570.08,7327.80040998,24.31681262,closed,tp,1760131218901,1760131218901
4,sell,55.04729876161247,3332.64,183452.82974490017,3392,3154.56,3332.64,-31.04021880,31.04021880,canceled,,,
4,buy,73.39639834881662,3392,248960.58319918596,3332.64,3570.08,3392,-42.12413068,42.12413068,canceled,,,
4,sell,97.8618644650888,3332.64,326138.3639909335,3392,3154.56,3332.64,-55.18261118,55.18261118,canceled,,,
5,buy,50.08007549669499,3570.34,178802.89674887,3507.85905,3757.78285,3507.85905,-3159.03942555,29.98873244,closed,sl,1760131267722,1760131267722
5,sell,66.77343399559331,3507.85905,234231.79474101964,3570.34,3320.4162,3570.34,-4212.05256740,39.98497659,closed,sl,1760131267722,1760131267722
5,buy,89.03124532745775,3570.34,317871.81644243555,3507.85905,3757.78285,3757.78285,16633.07462422,55.19573901,closed,tp,1760131267722,1760131267722
5,sell,118.70832710327699,3507.85905,416412.07953959046,3570.34,3320.4162,3507.85905,-70.45692386,70.45692386,canceled,,,
6,sell,60.618297679756786,3757.89,227796.89466778122,3823.6530749999997,3560.600775,3823.6530749999997,-4025.32614457,38.88048788,closed,sl,1760131948264,1760131948264
6,buy,80.82439690634237,3823.6530749999997,309044.45376595645,3757.89,4020.9422999999997,3823.6530749999997,-52.29032158,52.29032158,open,,1760131948264,
6,sell,107.76586254178983,3757.89,404972.25718716654,3823.6530749999997,3560.600775,3757.89,-68.52130592,68.52130592,pending,,,
6,buy,143.68781672238643,3823.6530749999997,549412.3622505893,3757.89,4020.9422999999997,3823.6530749999997,-92.96057170,92.96057170,pending,,,
