seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,752.8612420924984,4142.74,3118908.382066277,3935.6029999999996,4557.014,4557.014,310888.73294347,1002.10526316,closed,tp,1759276800027,1759276800027
0,sell,1129.2918631387477,3935.6029999999996,4444444.444444444,4142.74,3521.3289999999997,3935.6029999999996,-1360.00000000,1360.00000000,canceled,,,
0,buy,1693.9377947081214,4142.74,7017543.859649123,3935.6029999999996,4557.014,4142.74,-2147.36842106,2147.36842106,canceled,,,
0,sell,2540.906692062182,3935.6029999999996,10000000,4142.74,3521.3289999999997,3935.6029999999996,-3060.00000000,3060.00000000,canceled,,,
1,buy,684.4169079567781,4557.03,3118908.3820662764,4329.1785,5012.733,4329.1785,-156875.94541910,930.52631579,closed,sl,1759460851584,1759460851584
1,sell,1026.6253619351671,4329.1785,4444444.444444444,4557.03,3873.4755,3873.4755,466547.83625731,1288.42105263,closed,tp,1759460851584,1759460851584
1,buy,1539.9380429027508,4557.03,7017543.859649122,4329.1785,5012.733,4557.03,-2147.36842106,2147.36842106,canceled,,,
1,sell,2309.9070643541263,4329.1785,10000000,4557.03,3873.4755,4329.1785,-3060.00000000,3060.00000000,canceled,,,
2,sell,728.5139096663333,3873.46,2821869.488536156,4067.133,3486.114,3486.114,281366.63139330,820.31746032,closed,tp,1760129785410,1760129785410
2,buy,1092.7708644995,4067.133,4444444.444444445,3873.46,4454.478999999999,4067.133,-1360.00000000,1360.00000000,canceled,,,
2,sell,1639.15629674925,3873.46,6349206.34920635,4067.133,3486.114,3873.46,-1942.85714286,1942.85714286,canceled,,,
2,buy,2458.734445123875,4067.133,10000000,3873.46,4454.478999999999,4067.133,-3060.00000000,3060.00000000,canceled,,,
3,sell,809.4724383791889,3486.06,2821869.4885361553,3660.363,3137.4539999999997,3660.363,-141978.55379189,885.07936508,closed,sl,1760131148543,1760131148543
3,buy,1214.2086575687833,3660.363,4444444.444444444,3486.06,4008.969,4008.969,421855.66137566,1424.76190476,closed,tp,1760131148543,1760131148543
3,sell,1821.3129863531751,3486.06,6349206.34920635,3660.363,3137.4539999999997,3486.06,-1942.85714286,1942.85714286,canceled,,,
3,buy,2731.969479529763,3660.363,10000000,3486.06,4008.969,3660.363,-3060.00000000,3060.00000000,canceled,,,
4,buy,777.9805292284514,4008.98,3118908.382066277,3808.531,4409.878,3808.531,-156875.94541910,930.52631579,closed,sl,1760280930054,1760280930054
4,sell,1166.970793842677,3808.531,4444444.444444445,4008.98,3407.633,4008.98,-235313.91812865,1395.78947368,closed,sl,1760280930054,1760280930054
4,buy,1750.4561907640154,4008.98,7017543.859649123,3808.531,4409.878,3808.531,-352970.87719299,2093.68421053,closed,sl,1760280930054,1760280930054
4,sell,2625.684286146023,3808.531,10000000,4008.98,3407.633,3808.531,-3060.00000000,3060.00000000,open,,1760280930054,
