seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,40283.47631480791,2.298,92571.42857142858,2.27502,2.36694,2.36694,2761.24482514,15.89803200,closed,tp,1760054402172,1760054402172
0,sell,53711.301753077205,2.27502,122194.28571428571,2.298,2.20608,2.27502,-20.67527314,20.67527314,canceled,,,
0,buy,71615.06900410294,2.298,164571.42857142858,2.27502,2.36694,2.298,-27.84548572,27.84548572,canceled,,,
0,sell,95486.75867213724,2.27502,217234.28571428565,2.298,2.20608,2.27502,-36.75604114,36.75604114,canceled,,,
1,buy,49908.181825653766,2.367,118132.66638132246,2.34333,2.43801,2.43801,3523.69212358,20.28786786,closed,tp,1760074926051,1760074926051
1,sell,66544.24243420502,2.34333,155935.11962334564,2.367,2.27232,2.34333,-26.38422224,26.38422224,canceled,,,
1,buy,88725.65657894002,2.367,210013.62912235103,2.34333,2.43801,2.367,-35.53430604,35.53430604,canceled,,,
1,sell,118300.87543858668,2.34333,277217.9904415033,2.367,2.27232,2.34333,-46.90528398,46.90528398,canceled,,,
2,sell,61783.60153847889,2.44,150751.9877538885,2.4644,2.3668,2.3668,4497.43500484,25.12462778,closed,tp,1760102803690,1760102803690
2,buy,82378.13538463852,2.4644,203012.67684190316,2.44,2.5376,2.4644,-34.34974492,34.34974492,canceled,,,
2,sell,109837.5138461847,2.44,268003.53378469066,2.4644,2.3668,2.44,-45.34619792,45.34619792,canceled,,,
2,buy,146450.01846157957,2.4644,360911.4254967167,2.44,2.5376,2.4644,-61.06621320,61.06621320,canceled,,,
3,sell,81312.50468485898,2.366,192385.38608437637,2.38966,2.29502,2.29502,5739.49824932,32.06333321,closed,tp,1760108280007,1760108280007
3,buy,108416.6729131453,2.38966,259078.98659362682,2.366,2.46064,2.38966,-43.83616454,43.83616454,canceled,,,
3,sell,144555.56388419375,2.366,342018.4641500024,2.38966,2.29502,2.366,-57.86952414,57.86952414,canceled,,,
3,buy,192740.7518455916,2.38966,460584.8650553365,2.366,2.46064,2.38966,-77.93095916,77.93095916,canceled,,,
4,buy,106932.37861788542,2.296,245516.74130666492,2.27304,2.36488,2.27304,-2496.50113853,41.33372546,closed,sl,1760110242733,1760110242733
4,sell,142576.5048238472,2.27304,324082.09852479765,2.296,2.20416,2.296,-3328.66818472,55.11163396,closed,sl,1760110242733,1760110242733
4,buy,190102.0064317963,2.296,436474.2067674043,2.27304,2.36488,2.27304,-4438.22424627,73.48217860,closed,sl,1760110242733,1760110242733
4,sell,253469.34190906168,2.27304,576145.9529329735,2.296,2.20416,2.20416,17362.96140418,96.00686652,closed,tp,1760110242733,1760110242733
5,buy,116008.08447450917,2.204,255681.81818181823,2.18196,2.2701200000000004,2.18196,-2599.86323864,43.04505682,closed,sl,1760124533507,1760124533507
5,sell,154677.44596601222,2.18196,337500.00000000006,2.204,2.11584,2.11584,10171.03295454,56.23977273,closed,tp,1760124533507,1760124533507
5,buy,206236.59462134962,2.204,454545.4545454546,2.18196,2.2701200000000004,2.204,-76.90909090,76.90909090,canceled,,,
5,sell,274982.1261617995,2.18196,600000,2.204,2.11584,2.18196,-101.52000000,101.52000000,canceled,,,
6,sell,118495.89214240573,2.115,250618.81188118816,2.13615,2.05155,2.05155,7476.79572401,41.76863243,closed,tp,1760129966798,1760129966798
6,buy,157994.52285654098,2.13615,337500.00000000006,2.115,2.1996,2.13615,-57.10500000,57.10500000,canceled,,,
6,sell,210659.3638087213,2.115,445544.5544554456,2.13615,2.05155,2.115,-75.38613862,75.38613862,canceled,,,
