seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,34653.286647655485,0.2131,7384.615384615384,0.19179000000000002,0.25572,0.19179000000000002,-739.64854154,1.18700308,closed,sl,1760054408521,1760054408521
0,sell,51979.92997148323,0.19179000000000002,9969.23076923077,0.2131,0.14917000000000002,0.14917000000000002,2213.88524308,1.49937230,closed,tp,1760054408521,1760054408521
0,buy,77969.89495722484,0.2131,16615.384615384613,0.19179000000000002,0.25572,0.2131,-2.81132308,2.81132308,canceled,,,
0,sell,116954.84243583726,0.19179000000000002,22430.76923076923,0.2131,0.14917000000000002,0.19179000000000002,-3.79528616,3.79528616,canceled,,,
1,buy,56902.0380585142,0.14891,8473.282487293349,0.134019,0.178692,0.134019,-848.69024416,1.36199543,closed,sl,1760131052260,1760131052260
1,sell,85353.0570877713,0.134019,11438.931357846022,0.14891,0.104237,0.104237,2540.26433092,1.72041527,closed,tp,1760131052260,1760131052260
1,buy,128029.58563165694,0.14891,19064.885596410033,0.134019,0.178692,0.14891,-3.22577864,3.22577864,canceled,,,
1,sell,192044.37844748542,0.134019,25737.595555153548,0.14891,0.104237,0.134019,-4.35480116,4.35480116,canceled,,,
2,sell,93413.19071697569,0.10408,9722.444889822831,0.114488,0.083264,0.083264,1943.00844405,1.48053391,closed,tp,1760131182531,1760131182531
2,buy,140119.78607546352,0.114488,16042.034068207668,0.10408,0.135304,0.114488,-2.71431216,2.71431216,canceled,,,
2,sell,210179.6791131953,0.10408,21875.50100210137,0.114488,0.083264,0.10408,-3.70133476,3.70133476,canceled,,,
2,buy,315269.518669793,0.114488,36094.57665346726,0.10408,0.135304,0.114488,-6.10720236,6.10720236,canceled,,,
3,sell,126772.88824750738,0.08801,11157.281894663125,0.09681100000000001,0.070408,0.09681100000000001,-1117.71039217,1.98220270,closed,sl,1760131238359,1760131238359
3,buy,190159.33237126106,0.09681100000000001,18409.515126194157,0.08801,0.11441300000000001,0.08801,-1676.56558825,2.97330405,closed,sl,1760131238359,1760131238359
3,sell,285238.9985568916,0.08801,25103.88426299203,0.09681100000000001,0.070408,0.09681100000000001,-2514.84838238,4.45995608,closed,sl,1760131238359,1760131238359
3,buy,427858.4978353374,0.09681100000000001,41421.409033936856,0.08801,0.11441300000000001,0.11441300000000001,7523.51963991,7.64563899,closed,tp,1760131238359,1760131238359
4,buy,114321.06914889794,0.1119,12792.52763776168,0.10071,0.13428,0.13428,2556.12458230,2.38094525,closed,tp,1760131633593,1760131633593
4,sell,171481.6037233469,0.10071,17269.912310978263,0.1119,0.07833,0.10071,-2.92206916,2.92206916,canceled,,,
4,buy,257222.40558502034,0.1119,28783.187184963776,0.10071,0.13428,0.1119,-4.87011528,4.87011528,canceled,,,
4,sell,385833.60837753053,0.10071,38857.3026997011,0.1119,0.07833,0.10071,-6.57465562,6.57465562,canceled,,,
5,buy,108903.02173077165,0.1348,14680.12732930802,0.12132,0.16176000000000001,0.16176000000000001,2933.29320056,2.73226530,closed,tp,1760132510402,1760132510402
5,sell,163354.53259615749,0.12132,19818.171894565825,0.1348,0.09436,0.12132,-3.35323468,3.35323468,canceled,,,
5,buy,245031.7988942362,0.1348,33030.28649094304,0.12132,0.16176000000000001,0.1348,-5.58872448,5.58872448,canceled,,,
5,sell,367547.6983413543,0.12132,44590.8867627731,0.1348,0.09436,0.12132,-7.54477804,7.54477804,canceled,,,
6,sell,104079.15197672995,0.16186,16846.25153895351,0.178046,0.129488,0.16186,-2.85038576,2.85038576,open,,1760133167543,
6,buy,156118.7279650949,0.178046,27796.31503927329,0.16186,0.21041800000000002,0.178046,-4.70313650,4.70313650,pending,,,
6,sell,234178.0919476424,0.16186,37904.0659626454,0.178046,0.129488,0.16186,-6.41336796,6.41336796,pending,,,
6,buy,351267.1379214636,0.178046,62541.70883836491,0.16186,0.21041800000000002,0.178046,-10.58205714,10.58205714,pending,,,
