seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,41132.42713454802,0.506,20813.0081300813,0.4807,0.6072,0.6072,4158.72790894,3.87371708,closed,tp,1767225606403,1767225606403
0,sell,51415.53391818503,0.4807,24715.447154471545,0.506,0.3795,0.4807,-4.18185366,4.18185366,canceled,,,
0,buy,64269.41739773129,0.506,32520.325203252032,0.4807,0.6072,0.506,-5.50243902,5.50243902,canceled,,,
0,sell,80336.77174716411,0.4807,38617.88617886179,0.506,0.3795,0.4807,-6.53414634,6.53414634,canceled,,,
1,buy,48539.897723653325,0.6071,29468.57190802993,0.576745,0.72852,0.576745,-1478.29002570,4.86143030,closed,sl,1767964655162,1767964655162
1,sell,60674.872154566656,0.576745,34993.92914078554,0.6071,0.455325,0.6071,-1847.86253214,6.07678789,closed,sl,1767964655162,1767964655162
1,buy,75843.59019320832,0.6071,46044.64360629677,0.576745,0.72852,0.72852,9200.35889219,8.56982907,closed,tp,1767964655162,1767964655162
1,sell,94804.4877415104,0.576745,54678.01428247741,0.6071,0.455325,0.576745,-9.25152002,9.25152002,canceled,,,
2,sell,57162.82194609505,0.7294,41694.56232748173,0.76587,0.58352,0.58352,8332.56321755,6.34924795,closed,tp,1768331926846,1768331926846
2,buy,71453.52743261881,0.76587,54724.11305481977,0.7294,0.9117500000000001,0.76587,-9.25931992,9.25931992,canceled,,,
2,sell,89316.90929077352,0.7294,65147.753636690206,0.76587,0.58352,0.7294,-11.02299992,11.02299992,canceled,,,
2,buy,111646.1366134669,0.76587,85506.4266481559,0.7294,0.9117500000000001,0.76587,-14.46768738,14.46768738,canceled,,,
3,sell,101212.2971482986,0.5833,59037.13292660258,0.612465,0.46664000000000005,0.46664000000000005,11798.43641071,8.99017461,closed,tp,1768492026751,1768492026751
3,buy,126515.37143537325,0.612465,77486.23696616589,0.5833,0.729125,0.612465,-13.11067130,13.11067130,canceled,,,
3,sell,158144.21429421657,0.5833,92245.52019781653,0.612465,0.46664000000000005,0.5833,-15.60794202,15.60794202,canceled,,,
3,buy,197680.26786777072,0.612465,121072.2452596342,0.5833,0.729125,0.612465,-20.48542390,20.48542390,canceled,,,
4,buy,179115.55221863955,0.4667,83593.22822043908,0.443365,0.56004,0.443365,-4193.45178588,13.79037486,closed,sl,1768870396376,1768870396376
4,sell,223894.44027329943,0.443365,99266.9585117714,0.4667,0.35002500000000003,0.35002500000000003,20883.27908251,15.02797260,closed,tp,1768870396376,1768870396376
4,buy,279868.0503416243,0.4667,130614.41909443606,0.443365,0.56004,0.4667,-22.09995972,22.09995972,canceled,,,
4,sell,349835.0629270304,0.443365,155104.62267464283,0.4667,0.35002500000000003,0.443365,-26.24370216,26.24370216,canceled,,,
5,buy,338181.7071788392,0.3499,118329.77934187582,0.332405,0.41988,0.332405,-5936.00983079,19.52086370,closed,sl,1769869610293,1769869610293
5,sell,422727.133973549,0.332405,140516.61296847757,0.3499,0.262425,0.3499,-7420.01228850,24.40107963,closed,sl,1769869610293,1769869610293
5,buy,528408.9174669363,0.3499,184890.280221681,0.332405,0.41988,0.3499,-31.28343542,31.28343542,open,,1769869610293,
5,sell,660511.1468336703,0.332405,219557.2077632462,0.3499,0.262425,0.332405,-37.14907956,37.14907956,pending,,,
