seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,963.800179292535,21.996,21199.7487437186,21.88602,22.32594,22.32594,314.38233120,3.61389996,closed,tp,1760054400038,1760054400038
0,sell,1285.06690572338,21.88602,28125.000000000007,21.996,21.556079999999998,21.88602,-4.75875000,4.75875000,canceled,,,
0,buy,1713.4225409645064,21.996,37688.442211055284,21.88602,22.32594,21.996,-6.37688442,6.37688442,canceled,,,
0,sell,2284.563387952675,21.88602,50000,21.996,21.556079999999998,21.88602,-8.46000000,8.46000000,canceled,,,
1,buy,949.5117455868947,22.327,21199.7487437186,22.215365000000002,22.661905,22.661905,314.38233120,3.61389996,closed,tp,1760066880707,1760066880707
1,sell,1266.015660782526,22.215365000000002,28125.000000000004,22.327,21.880460000000003,22.215365000000002,-4.75875000,4.75875000,canceled,,,
1,buy,1688.0208810433683,22.327,37688.442211055284,22.215365000000002,22.661905,22.327,-6.37688442,6.37688442,canceled,,,
1,sell,2250.694508057824,22.215365000000002,50000,22.327,21.880460000000003,22.215365000000002,-8.46000000,8.46000000,canceled,,,
2,sell,926.2082860486853,22.661,20988.80597014926,22.774305000000002,22.321085,22.774305000000002,-108.50421409,3.56018424,closed,sl,1760088462034,1760088462034
2,buy,1234.944381398247,22.774305000000002,28125.000000000007,22.661,23.114220000000003,22.661,-144.67228544,4.74691231,closed,sl,1760088462034,1760088462034
2,sell,1646.592508530996,22.661,37313.4328358209,22.774305000000002,22.321085,22.774305000000002,-192.89638060,6.32921642,closed,sl,1760088462034,1760088462034
2,buy,2195.4566780413275,22.774305000000002,50000,22.661,23.114220000000003,22.661,-257.19517413,8.43895522,closed,sl,1760088462034,1760088462034
3,sell,926.2491602007617,22.66,20988.80597014926,22.7733,22.3201,22.3201,311.30741837,3.52467118,closed,tp,1760104173798,1760104173798
3,buy,1234.9988802676821,22.7733,28125.000000000004,22.66,23.1132,22.7733,-4.75875000,4.75875000,canceled,,,
3,sell,1646.665173690243,22.66,37313.4328358209,22.7733,22.3201,22.66,-6.31343284,6.31343284,canceled,,,
3,buy,2195.5535649203234,22.7733,50000,22.66,23.1132,22.7733,-8.46000000,8.46000000,canceled,,,
4,buy,949.809531528611,22.32,21199.7487437186,22.2084,22.6548,22.2084,-109.57677371,3.57802999,closed,sl,1760108297482,1760108297482
4,sell,1266.4127087048146,22.2084,28125.000000000004,22.32,21.8736,21.8736,419.27209484,4.72288003,closed,tp,1760108297482,1760108297482
4,buy,1688.5502782730862,22.32,37688.442211055284,22.2084,22.6548,22.32,-6.37688442,6.37688442,canceled,,,
4,sell,2251.400371030781,22.2084,50000,22.32,21.8736,22.2084,-8.46000000,8.46000000,canceled,,,
5,buy,969.2199855400996,21.873,21199.7487437186,21.763635,22.201095000000002,21.763635,-109.57677371,3.57802999,closed,sl,1760109705805,1760109705805
5,sell,1292.293314053466,21.763635,28125.000000000007,21.873,21.43554,21.43554,419.27209484,4.72288003,closed,tp,1760109705805,1760109705805
5,buy,1723.0577520712882,21.873,37688.44221105529,21.763635,22.201095000000002,21.873,-6.37688442,6.37688442,canceled,,,
5,sell,2297.4103360950503,21.763635,50000,21.873,21.43554,21.763635,-8.46000000,8.46000000,canceled,,,
6,sell,979.2295404567162,21.434,20988.805970149257,21.54117,21.11249,21.54117,-108.50421409,3.56018424,closed,sl,1760110250925,1760110250925
6,buy,1305.6393872756216,21.54117,28125.000000000004,21.434,21.86268,21.434,-144.67228544,4.74691231,closed,sl,1760110250925,1760110250925
6,sell,1740.8525163674954,21.434,37313.432835820895,21.54117,21.11249,21.54117,-192.89638060,6.32921642,closed,sl,1760110250925,1760110250925
