seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,9027.154810063019,2.882,26016.260162601622,2.7667200000000003,3.3431200000000003,2.7667200000000003,-1044.96431870,4.31391220,closed,sl,1760054403565,1760054403565
0,sell,11283.943512578773,2.7667200000000003,31219.512195121948,2.882,2.3056,2.3056,5198.40988618,4.84214634,closed,tp,1760054403565,1760054403565
0,buy,14104.929390723468,2.882,40650.40650406504,2.7667200000000003,3.3431200000000003,2.882,-6.87804878,6.87804878,canceled,,,
0,sell,17631.161738404335,2.7667200000000003,48780.487804878045,2.882,2.3056,2.7667200000000003,-8.25365854,8.25365854,canceled,,,
1,buy,15960.97624970452,2.307,36821.97220806833,2.21472,2.67612,2.21472,-1478.98456046,6.10567214,closed,sl,1760131045313,1760131045313
1,sell,19951.22031213065,2.21472,44186.366649681986,2.307,1.8455999999999997,1.8455999999999997,7357.54113614,6.85330547,closed,tp,1760131045313,1760131045313
1,buy,24939.02539016331,2.307,57534.33157510676,2.21472,2.67612,2.307,-9.73480890,9.73480890,canceled,,,
1,sell,31173.78173770414,2.21472,69041.19789012811,2.307,1.8455999999999997,2.21472,-11.68177068,11.68177068,canceled,,,
2,sell,27929.141443417517,1.866,52115.77793341709,1.9406400000000001,1.56744,1.56744,8330.41191890,8.11255045,closed,tp,1760131153570,1760131153570
2,buy,34911.4268042719,1.9406400000000001,67750.51131344221,1.866,2.2392000000000003,1.9406400000000001,-11.46338652,11.46338652,canceled,,,
2,sell,43639.28350533987,1.866,81430.9030209642,1.9406400000000001,1.56744,1.866,-13.77810880,13.77810880,canceled,,,
2,buy,54549.104381674835,1.9406400000000001,105860.17392725346,1.866,2.2392000000000003,1.9406400000000001,-17.91154142,17.91154142,canceled,,,
3,sell,47482.87921993732,1.554,73788.3943077826,1.61616,1.30536,1.61616,-2964.27046855,12.73469624,closed,sl,1760131190235,1760131190235
3,buy,59353.59902492165,1.61616,95924.91260011737,1.554,1.8648,1.8648,14740.19986671,17.47899485,closed,tp,1760131190235,1760131190235
3,sell,74191.99878115207,1.554,115294.36610591032,1.61616,1.30536,1.554,-19.50780674,19.50780674,canceled,,,
3,buy,92739.99847644007,1.61616,149882.67593768338,1.554,1.8648,1.61616,-25.36014876,25.36014876,canceled,,,
4,buy,55604.34430014168,1.878,104424.95859566607,1.8028799999999998,2.17848,2.17848,16688.91117607,19.08219924,closed,tp,1760131322522,1760131322522
4,sell,69505.43037517711,1.8028799999999998,125309.9503147993,1.878,1.5023999999999997,1.8028799999999998,-21.20244360,21.20244360,canceled,,,
4,buy,86881.78796897137,1.878,163163.99780572823,1.8028799999999998,2.17848,1.878,-27.60734842,27.60734842,canceled,,,
4,sell,108602.23496121423,1.8028799999999998,195796.79736687389,1.878,1.5023999999999997,1.8028799999999998,-33.12881812,33.12881812,canceled,,,
5,buy,67786.9161368069,2.181,147843.26409437586,2.09376,2.52996,2.52996,23627.90596839,27.01628671,closed,tp,1760131426453,1760131426453
5,sell,84733.64517100863,2.09376,177411.916913251,2.181,1.7448000000000001,2.09376,-30.01809634,30.01809634,canceled,,,
5,buy,105917.05646376079,2.181,231005.10014746228,2.09376,2.52996,2.181,-39.08606294,39.08606294,canceled,,,
5,sell,132396.320579701,2.09376,277206.1201769547,2.181,1.7448000000000001,2.09376,-46.90327554,46.90327554,canceled,,,
6,sell,82667.5509366068,2.532,209314.23897148843,2.63328,2.12688,2.12688,33457.69554374,32.58269170,closed,tp,1760131997253,1760131997253
6,buy,103334.4386707585,2.63328,272108.510662935,2.532,3.0384,2.63328,-46.04076000,46.04076000,canceled,,,
6,sell,129168.04833844812,2.532,327053.4983929506,2.63328,2.12688,2.532,-55.33745192,55.33745192,canceled,,,
6,buy,161460.06042306015,2.63328,425169.5479108358,2.532,3.0384,2.63328,-71.93868750,71.93868750,canceled,,,
7,sell,134769.73630840803,2.199,296358.65014218923,2.2869599999999997,1.84716,2.2869599999999997,-11905.49276696,51.14676127,closed,sl,1760133877038,1760133877038
7,buy,168462.17038551002,2.2869599999999997,385266.24518484593,2.199,2.6388,2.2869599999999997,-65.18704868,65.18704868,open,,1760133877038,
7,sell,210577.71298188754,2.199,463060.39084717067,2.2869599999999997,1.84716,2.199,-78.34981814,78.34981814,pending,,,
7,buy,263222.1412273594,2.2869599999999997,601978.5081013218,2.199,2.6388,2.2869599999999997,-101.85476358,101.85476358,pending,,,
