seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,5120000,1.513,7746559.999999999,1.43735,1.8155999999999999,1.8155999999999999,1546704.50790400,2607.49209600,closed,tp,1767225601707,1767225601707
0,sell,6400000,1.43735,9199040,1.513,1.13475,1.43735,-2814.90624000,2814.90624000,canceled,,,
0,buy,8000000,1.513,12104000,1.43735,1.8155999999999999,1.513,-3703.82400000,3703.82400000,canceled,,,
0,sell,10000000,1.43735,14373499.999999998,1.513,1.13475,1.43735,-4398.29100000,4398.29100000,canceled,,,
1,buy,5120000,1.815,9292800,1.72425,2.178,1.72425,-467412.50688000,2772.50688000,closed,sl,1767700168941,1767700168941
1,sell,6400000,1.72425,11035200,1.815,1.36125,1.815,-584265.63360000,3465.63360000,closed,sl,1767700168941,1767700168941
1,buy,8000000,1.815,14520000,1.72425,2.178,1.72425,-730332.04200000,4332.04200000,closed,sl,1767700168941,1767700168941
1,sell,10000000,1.72425,17242500,1.815,1.36125,1.36125,3625279.18500000,4720.81500000,closed,tp,1767700168941,1767700168941
2,sell,5120000,1.362,6973440.000000001,1.4301000000000001,1.0896000000000001,1.362,-2133.87264000,2133.87264000,open,,1769699526728,
2,buy,6400000,1.4301000000000001,9152640.000000002,1.362,1.7025000000000001,1.4301000000000001,-2800.70784000,2800.70784000,pending,,,
2,sell,8000000,1.362,10896000,1.4301000000000001,1.0896000000000001,1.362,-3334.17600000,3334.17600000,pending,,,
2,buy,10000000,1.4301000000000001,14301000.000000002,1.362,1.7025000000000001,1.4301000000000001,-4376.10600000,4376.10600000,pending,,,
