seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,4273.367306603421,6.088,26016.260162601626,5.84448,7.06208,5.84448,-1044.96431870,4.31391220,closed,sl,1760054401777,1760054401777
0,sell,5341.709133254276,5.84448,31219.51219512195,6.088,4.8704,4.8704,5198.40988618,4.84214634,closed,tp,1760054401777,1760054401777
0,buy,6677.136416567845,6.088,40650.40650406504,5.84448,7.06208,6.088,-6.87804878,6.87804878,canceled,,,
0,sell,8346.420520709806,5.84448,48780.487804878045,6.088,4.8704,5.84448,-8.25365854,8.25365854,canceled,,,
1,buy,7565.640478337438,4.867,36821.97220806831,4.67232,5.64572,4.67232,-1478.98456046,6.10567214,closed,sl,1760130976927,1760130976927
1,sell,9457.050597921798,4.67232,44186.36664968197,4.867,3.8936,4.867,-1848.73070058,7.63209018,closed,sl,1760130976927,1760130976927
1,buy,11821.313247402248,4.867,57534.33157510674,4.67232,5.64572,4.67232,-2310.91337572,9.54011272,closed,sl,1760130976927,1760130976927
1,sell,14776.641559252808,4.67232,69041.19789012808,4.867,3.8936,3.8936,11496.15802523,10.70828979,closed,tp,1760130976927,1760130976927
2,sell,13160.028578386436,3.956,52061.07305609674,4.11424,3.3230399999999998,3.3230399999999998,8321.66765410,8.10403488,closed,tp,1760131129262,1760131129262
2,buy,16450.035722983044,4.11424,67679.39497292576,3.9559999999999995,4.747199999999999,4.11424,-11.45135362,11.45135362,canceled,,,
2,sell,20562.544653728808,3.9559999999999995,81345.42665015116,4.11424,3.3230399999999998,3.9559999999999995,-13.76364618,13.76364618,canceled,,,
2,buy,25703.18081716101,4.11424,105749.0546451965,3.9559999999999995,4.747199999999999,4.11424,-17.89274004,17.89274004,canceled,,,
3,sell,22445.475068106643,3.284,73710.9401236622,3.4153599999999997,2.7585599999999997,2.7585599999999997,11782.27628001,11.47413978,closed,tp,1760131177666,1760131177666
3,buy,28056.843835133302,3.4153599999999997,95824.22216076087,3.284,3.9408,3.4153599999999997,-16.21345838,16.21345838,canceled,,,
3,sell,35071.05479391663,3.284,115173.3439432222,3.4153599999999997,2.7585599999999997,3.284,-19.48732980,19.48732980,canceled,,,
3,buy,43838.81849239579,3.4153599999999997,149725.34712618886,3.284,3.9408,3.4153599999999997,-25.33352874,25.33352874,canceled,,,
4,buy,36567.63021180473,2.854,104364.0166244907,2.73984,3.3106400000000002,2.73984,-4191.86588876,17.30522378,closed,sl,1760131217508,1760131217508
4,sell,45709.537764755914,2.73984,125236.81994938885,2.854,2.2832,2.854,-5239.83236095,21.63152973,closed,sl,1760131217508,1760131217508
4,buy,57136.922205944895,2.854,163068.77597576674,2.73984,3.3106400000000002,3.3106400000000002,26061.20562027,29.79853585,closed,tp,1760131217508,1760131217508
4,sell,71421.15275743112,2.73984,195682.5311709201,2.854,2.2832,2.73984,-33.10948428,33.10948428,canceled,,,
5,buy,39670.732916790635,3.361,133333.33333333334,3.22656,3.8987600000000002,3.8987600000000002,21308.96853333,24.36480000,closed,tp,1760131655667,1760131655667
5,sell,49588.416145988296,3.22656,160000,3.361,2.6888,3.22656,-27.07200000,27.07200000,canceled,,,
5,buy,61985.520182485365,3.361,208333.3333333333,3.22656,3.8987600000000002,3.361,-35.25000000,35.25000000,canceled,,,
5,sell,77481.90022810671,3.22656,250000,3.361,2.6888,3.22656,-42.30000000,42.30000000,canceled,,,
6,sell,31992.961548459345,3.847,123076.92307692309,4.0008799999999995,3.23148,4.0008799999999995,-4944.31803077,21.24110769,closed,sl,1760132568104,1760132568104
6,buy,39991.20193557418,4.0008799999999995,160000,3.8469999999999995,4.6164,3.8469999999999995,-6180.39753847,26.55138462,closed,sl,1760132568104,1760132568104
6,sell,49989.002419467724,3.8469999999999995,192307.6923076923,4.0008799999999995,3.2314799999999995,4.0008799999999995,-7725.49692308,33.18923077,closed,sl,1760132568104,1760132568104
6,buy,62486.253024334655,4.0008799999999995,250000,3.8469999999999995,4.6164,4.0008799999999995,-42.30000000,42.30000000,open,,1760132568104,
