seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,2634.557991149532,7.9,20813.008130081304,7.505000000000001,9.48,7.505000000000001,-1044.08392845,3.43352195,closed,sl,1760054400026,1760054400026
0,sell,3293.197488936915,7.505000000000001,24715.44715447155,7.9,5.925000000000001,5.925000000000001,5199.51037398,3.74165854,closed,tp,1760054400026,1760054400026
0,buy,4116.496861171144,7.9,32520.325203252036,7.505000000000001,9.48,7.9,-5.50243902,5.50243902,canceled,,,
0,sell,5145.62107646393,7.505000000000001,38617.8861788618,7.9,5.925000000000001,7.505000000000001,-6.53414634,6.53414634,canceled,,,
1,buy,4975.798103285018,5.921,29461.700569550594,5.62495,7.1052,5.62495,-1477.94532522,4.86029674,closed,sl,1760130813847,1760130813847
1,sell,6219.747629106273,5.62495,34985.76942634133,5.921,4.4407499999999995,5.921,-1847.43165653,6.07537093,closed,sl,1760130813847,1760130813847
1,buy,7774.6845363828415,5.921,46033.907139922805,5.62495,7.1052,5.62495,-2309.28957066,7.59421366,closed,sl,1760130813847,1760130813847
1,sell,9718.355670478551,5.62495,54665.26472865833,5.921,4.4407499999999995,4.4407499999999995,11500.20103932,8.27574566,closed,tp,1760130813847,1760130813847
2,sell,9404.116963643573,4.431,41669.64226590467,4.65255,3.5448,4.65255,-2090.70887936,7.22676606,closed,sl,1760131051466,1760131051466
2,buy,11755.146204554467,4.65255,54691.40547399988,4.431,5.53875,4.431,-2613.38609919,9.03345757,closed,sl,1760131051466,1760131051466
2,sell,14693.932755693084,4.431,65108.81604047606,4.65255,3.5448,3.5448,13011.84843759,9.91477051,closed,tp,1760131051466,1760131051466
2,buy,18367.415944616354,4.65255,85455.32105312482,4.431,5.53875,4.65255,-14.45904032,14.45904032,canceled,,,
3,sell,16655.530026688615,3.54,58960.5762944777,3.717,2.832,2.832,11783.13674235,8.97851655,closed,tp,1760131110493,1760131110493
3,buy,20819.41253336077,3.717,77385.75638650198,3.54,4.425,3.717,-13.09366998,13.09366998,canceled,,,
3,sell,26024.26566670096,3.54,92125.90046012141,3.717,2.832,3.54,-15.58770236,15.58770236,canceled,,,
3,buy,32530.3320833762,3.717,120915.24435390934,3.54,4.425,3.717,-20.45885934,20.45885934,canceled,,,
4,buy,27781.97283730697,3.005,83484.82837610744,2.85475,3.606,2.85475,-4188.01391095,13.77249214,closed,sl,1760131131106,1760131131106
4,sell,34727.466046633715,2.85475,99138.2336966276,3.005,2.25375,3.005,-5235.01738868,17.21561517,closed,sl,1760131131106,1760131131106
4,buy,43409.33255829214,3.005,130445.04433766787,2.85475,3.606,2.85475,-6543.77173584,21.51951896,closed,sl,1760131131106,1760131131106
4,sell,54261.66569786517,2.85475,154903.49015098062,3.005,2.25375,2.25375,32587.81032657,23.45075785,closed,tp,1760131131106,1760131131106
5,buy,52479.175272929366,2.25,118078.14436409107,2.1375,2.7,2.1375,-5923.38656967,19.47935147,closed,sl,1760131153595,1760131153595
5,sell,65598.9690911617,2.1375,140217.79643235815,2.25,1.6875000000000002,1.6875000000000002,29498.30859262,21.22749840,closed,tp,1760131153595,1760131153595
5,buy,81998.71136395214,2.25,184497.10056889232,2.1375,2.7,2.25,-31.21690942,31.21690942,canceled,,,
5,sell,102498.38920494016,2.1375,219090.30692555962,2.25,1.6875000000000002,2.1375,-37.07007994,37.07007994,canceled,,,
6,sell,101361.2181546734,1.649,167144.64873705644,1.73145,1.3192,1.73145,-8386.22033328,28.98789643,closed,sl,1760131176752,1760131176752
6,buy,126701.52269334176,1.73145,219377.3514673866,1.649,2.06125,1.649,-10482.77541660,36.23487053,closed,sl,1760131176752,1760131176752
6,sell,158376.9033666772,1.649,261163.51365165072,1.73145,1.3192,1.3192,52192.93275048,39.76997985,closed,tp,1760131176752,1760131176752
6,buy,197971.1292083465,1.73145,342777.11166779156,1.649,2.06125,1.73145,-57.99788730,57.99788730,canceled,,,
