seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,8890.69995739873,4.153,36923.07692307692,4.06994,4.31912,4.31912,1470.55074461,6.37233231,closed,tp,1767225601796,1767225601796
0,sell,13336.049936098096,4.06994,54276.923076923085,4.153,3.90382,4.06994,-9.18365538,9.18365538,canceled,,,
0,buy,20004.074904147143,4.153,83076.92307692308,4.06994,4.31912,4.153,-14.05661538,14.05661538,canceled,,,
0,sell,30006.112356220714,4.06994,122123.07692307694,4.153,3.90382,4.06994,-20.66322462,20.66322462,canceled,,,
1,buy,8748.35530920187,4.32,37792.89493575208,4.2336,4.4928,4.4928,1505.19334845,6.52244898,closed,tp,1767260060483,1767260060483
1,sell,13122.532963802805,4.2336,55555.555555555555,4.32,4.0608,4.2336,-9.40000000,9.40000000,canceled,,,
1,buy,19683.799445704208,4.32,85034.01360544219,4.2336,4.4928,4.32,-14.38775510,14.38775510,canceled,,,
1,sell,29525.69916855631,4.2336,125000,4.32,4.0608,4.2336,-21.15000000,21.15000000,canceled,,,
2,sell,8079.844375733448,4.494,36310.82062454611,4.58388,4.31424,4.58388,-732.42164124,6.20522875,closed,sl,1767283207451,1767283207451
2,buy,12119.766563600173,4.58388,55555.555555555555,4.494,4.76364,4.494,-1098.63246188,9.30784314,closed,sl,1767283207451,1767283207451
2,sell,18179.649845400258,4.494,81699.34640522876,4.58388,4.31424,4.58388,-1647.94869281,13.96176471,closed,sl,1767283207451,1767283207451
2,buy,27269.474768100386,4.58388,124999.99999999999,4.494,4.76364,4.494,-2471.92303922,20.94264706,closed,sl,1767283207451,1767283207451
3,sell,5766.51633854178,4.498,25937.790490760926,4.58796,4.31808,4.58796,-523.18837072,4.43256090,closed,sl,1767424816288,1767424816288
3,buy,8649.77450781267,4.58796,39684.81945086422,4.498,4.76788,4.76788,1549.42109777,6.84633168,closed,tp,1767424816288,1767424816288
3,sell,12974.661761719006,4.498,58360.02860421209,4.58796,4.31808,4.498,-9.87451684,9.87451684,canceled,,,
3,buy,19461.99264257851,4.58796,89290.8437644445,4.498,4.76788,4.58796,-15.10801076,15.10801076,canceled,,,
4,buy,6234.680680148315,4.768,29726.957482947168,4.6726399999999995,4.95872,4.95872,1183.94790209,5.13039723,closed,tp,1767529474189,1767529474189
4,sell,9352.021020222473,4.6726399999999995,43698.627499932336,4.768,4.48192,4.6726399999999995,-7.39380778,7.39380778,canceled,,,
4,buy,14028.03153033371,4.768,66885.65433663112,4.6726399999999995,4.95872,4.768,-11.31705272,11.31705272,canceled,,,
4,sell,21042.047295500564,4.6726399999999995,98321.91187484775,4.768,4.48192,4.6726399999999995,-16.63606748,16.63606748,canceled,,,
5,buy,6874.6889978060135,4.96,34098.45742911783,4.8608,5.1584,4.8608,-687.68091299,5.71176441,closed,sl,1767544562955,1767544562955
5,sell,10312.03349670902,4.8608,50124.73242080321,4.96,4.6624,4.6624,2037.59942480,8.30802095,closed,tp,1767544562955,1767544562955
5,buy,15468.05024506353,4.96,76721.52921551511,4.8608,5.1584,4.96,-12.98128274,12.98128274,canceled,,,
