seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,706951.7297129362,0.030139,21306.818181818184,0.02983761,0.03104317,0.03104317,635.54535511,3.65919034,closed,tp,1760054400034,1760054400034
0,sell,942602.306283915,0.02983761,28125.000000000004,0.030139,0.02893344,0.02983761,-4.75875000,4.75875000,canceled,,,
0,buy,1256803.0750452199,0.030139,37878.78787878788,0.02983761,0.03104317,0.030139,-6.40909090,6.40909090,canceled,,,
0,sell,1675737.4333936262,0.02983761,50000,0.030139,0.02893344,0.02983761,-8.46000000,8.46000000,canceled,,,
1,buy,686320.4439303653,0.031045,21306.81818181819,0.03073455,0.03197635,0.03073455,-216.65526989,3.58708807,closed,sl,1760093412386,1760093412386
1,sell,915093.925240487,0.03073455,28125.000000000007,0.031045,0.0298032,0.0298032,847.58607954,4.68664773,closed,tp,1760093412386,1760093412386
1,buy,1220125.2336539826,0.031045,37878.78787878789,0.03073455,0.03197635,0.031045,-6.40909090,6.40909090,canceled,,,
1,sell,1626833.6448719765,0.03073455,50000,0.031045,0.0298032,0.03073455,-8.46000000,8.46000000,canceled,,,
2,sell,700741.5444268895,0.029804,20884.900990099017,0.03010204,0.02890988,0.02890988,623.06631033,3.48071937,closed,tp,1760109719324,1760109719324
2,buy,934322.0592358527,0.03010204,28125.000000000007,0.029804,0.030996160000000002,0.03010204,-4.75875000,4.75875000,canceled,,,
2,sell,1245762.7456478034,0.029804,37128.712871287134,0.03010204,0.02890988,0.029804,-6.28217822,6.28217822,canceled,,,
2,buy,1661016.994197071,0.03010204,50000,0.029804,0.030996160000000002,0.03010204,-8.46000000,8.46000000,canceled,,,
3,sell,721961.4556864981,0.028928,20884.900990099017,0.029217279999999998,0.02806016,0.029217279999999998,-212.40040377,3.55139387,closed,sl,1760110305107,1760110305107
3,buy,962615.274248664,0.029217279999999998,28125.000000000004,0.028928,0.03008512,0.028928,-283.20053836,4.73519183,closed,sl,1760110305107,1760110305107
3,sell,1283487.0323315521,0.028928,37128.71287128714,0.029217279999999998,0.02806016,0.02806016,1107.67344059,6.18794555,closed,tp,1760110305107,1760110305107
3,buy,1711316.0431087357,0.029217279999999998,50000,0.028928,0.03008512,0.029217279999999998,-8.46000000,8.46000000,canceled,,,
4,buy,759330.6550897429,0.02806,21306.818181818187,0.027779400000000003,0.028901800000000002,0.027779400000000003,-216.65526989,3.58708807,closed,sl,1760123540367,1760123540367
4,sell,1012440.8734529904,0.027779400000000003,28125.000000000004,0.02806,0.026937600000000003,0.02806,-288.87369318,4.78278409,closed,sl,1760123540367,1760123540367
4,buy,1349921.1646039872,0.02806,37878.78787878789,0.027779400000000003,0.028901800000000002,0.027779400000000003,-385.16492424,6.37704545,closed,sl,1760123540367,1760123540367
4,sell,1799894.8861386492,0.027779400000000003,49999.99999999999,0.02806,0.026937600000000003,0.026937600000000003,1506.81969697,8.33181818,closed,tp,1760123540367,1760123540367
5,buy,791016.4160164162,0.026936,21306.818181818187,0.026666640000000002,0.02774408,0.026666640000000002,-216.65526989,3.58708807,closed,sl,1760129769077,1760129769077
5,sell,1054688.5546885547,0.026666640000000002,28125.000000000004,0.026936,0.025858560000000003,0.025858560000000003,847.58607954,4.68664773,closed,tp,1760129769077,1760129769077
