seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,2137908.2810953483,0.00866,18514.285714285714,0.008227,0.009958999999999999,0.009958999999999999,2773.77529371,3.36756343,closed,tp,1767225601804,1767225601804
0,sell,2850544.3747937977,0.008227,23451.428571428572,0.00866,0.006928,0.008227,-3.96798172,3.96798172,canceled,,,
0,buy,3800725.833058397,0.00866,32914.28571428572,0.008227,0.009958999999999999,0.00866,-5.56909714,5.56909714,canceled,,,
0,sell,5067634.4440778615,0.008227,41691.428571428565,0.00866,0.006928,0.008227,-7.05418972,7.05418972,canceled,,,
1,buy,2373756.152141762,0.009963,23649.732543788374,0.00946485,0.01145745,0.01145745,3543.15823172,4.30164985,closed,tp,1767347098475,1767347098475
1,sell,3165008.2028556825,0.00946485,29956.32788879861,0.009963,0.0079704,0.00946485,-5.06861068,5.06861068,canceled,,,
1,buy,4220010.93714091,0.009963,42043.96896673489,0.00946485,0.01145745,0.009963,-7.11383954,7.11383954,canceled,,,
1,sell,5626681.249521212,0.00946485,53255.69402453084,0.009963,0.0079704,0.00946485,-9.01086342,9.01086342,canceled,,,
2,sell,2636784.230346852,0.011457,30209.636927083884,0.01202985,0.00973845,0.01202985,-1515.72110368,5.23925733,closed,sl,1767484644894,1767484644894
2,buy,3515712.307129136,0.01202985,42293.49169791744,0.011457,0.013748400000000001,0.013748400000000001,6034.26017957,7.66720585,closed,tp,1767484644894,1767484644894
2,sell,4687616.409505514,0.011457,53706.02120370468,0.01202985,0.00973845,0.011457,-9.08705878,9.08705878,canceled,,,
2,buy,6250155.212674018,0.01202985,75188.42968518654,0.011457,0.013748400000000001,0.01202985,-12.72188230,12.72188230,canceled,,,
3,sell,2805482.8562392257,0.01375,38575.38927328935,0.0144375,0.0116875,0.0116875,5780.27095682,6.03743417,closed,tp,1767670751283,1767670751283
3,buy,3740643.8083189675,0.0144375,54005.5449826051,0.01375,0.0165,0.0144375,-9.13773822,9.13773822,canceled,,,
3,sell,4987525.077758623,0.01375,68578.46981918107,0.0144375,0.0116875,0.01375,-11.60347710,11.60347710,canceled,,,
3,buy,6650033.437011496,0.0144375,96009.85774685348,0.01375,0.0165,0.0144375,-16.24486794,16.24486794,canceled,,,
4,buy,4215685.522572587,0.011689,49277.148073350974,0.01110455,0.01344235,0.01344235,7382.60919053,8.96302047,closed,tp,1767866563330,1767866563330
4,sell,5620914.030096782,0.01110455,62417.720892911224,0.011689,0.009351199999999999,0.01110455,-10.56107838,10.56107838,canceled,,,
4,buy,7494552.040129043,0.011689,87603.81879706838,0.01110455,0.01344235,0.011689,-14.82256614,14.82256614,canceled,,,
4,sell,9992736.053505389,0.01110455,110964.83714295326,0.011689,0.009351199999999999,0.01110455,-18.77525044,18.77525044,canceled,,,
5,buy,4681356.660746265,0.013446,62945.52166039428,0.012773699999999999,0.0154629,0.012773699999999999,-3157.66020573,10.38412271,closed,sl,1768342239803,1768342239803
5,sell,6241808.88099502,0.012773699999999999,79730.99410316609,0.013446,0.010756799999999999,0.013446,-4210.21360763,13.84549694,closed,sl,1768342239803,1768342239803
5,buy,8322411.841326693,0.013446,111903.14961847871,0.012773699999999999,0.0154629,0.012773699999999999,-5613.61814351,18.46066259,closed,sl,1768342239803,1768342239803
5,sell,11096549.121768922,0.012773699999999999,141743.98951673968,0.013446,0.010756799999999999,0.010756799999999999,22358.54024197,22.08968173,closed,tp,1768342239803,1768342239803
6,sell,7467589.433798919,0.010754,80306.45677107357,0.0112917,0.0091409,0.0091409,12033.39975211,12.56876355,closed,tp,1768780063555,1768780063555
6,buy,9956785.911731891,0.0112917,112429.039479503,0.010754,0.012904800000000001,0.0112917,-19.02299348,19.02299348,canceled,,,
6,sell,13275714.548975855,0.010754,142767.03425968633,0.0112917,0.0091409,0.010754,-24.15618220,24.15618220,canceled,,,
6,buy,17700952.731967803,0.0112917,199873.84796356084,0.010754,0.012904800000000001,0.0112917,-33.81865508,33.81865508,canceled,,,
7,sell,11222561.7419925,0.009141,102585.43688355344,0.00959805,0.00776985,0.00959805,-5147.06323650,17.79139232,closed,sl,1769368805895,1769368805895
7,buy,14963415.655989999,0.00959805,143619.61163697482,0.009141,0.0109692,0.009141,-6862.75098199,23.72185642,closed,sl,1769368805895,1769368805895
7,sell,19951220.874653332,0.009141,182374.1100152061,0.00959805,0.00776985,0.00776985,27327.57313032,28.54337196,closed,tp,1769368805895,1769368805895
7,buy,26601627.832871106,0.00959805,255323.75402128854,0.009141,0.0109692,0.00959805,-43.20077918,43.20077918,canceled,,,
8,sell,16856999.66312766,0.007768,130945.17338317566,0.0081564,0.0066028,0.007768,-22.15592334,22.15592334,open,,1769870318413,
8,buy,22475999.55083688,0.0081564,183323.2427364459,0.007768,0.0093216,0.0081564,-31.01829268,31.01829268,pending,,,
8,sell,29967999.40111584,0.007768,232791.41934786784,0.0081564,0.0066028,0.007768,-39.38830816,39.38830816,pending,,,
8,buy,39957332.534821115,0.0081564,325907.98708701495,0.007768,0.0093216,0.0081564,-55.14363142,55.14363142,pending,,,
