seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,66.83817155826931,220.97,14769.23076923077,209.9215,243.067,209.9215,-740.89801846,2.43648000,closed,sl,1760054400024,1760054400024
0,sell,100.25725733740396,209.9215,21046.153846153844,220.97,187.8245,187.8245,2212.01102768,3.37358770,closed,tp,1760054400024,1760054400024
0,buy,150.38588600610595,220.97,33230.769230769234,209.9215,243.067,220.97,-5.62264616,5.62264616,canceled,,,
0,sell,225.5788290091589,209.9215,47353.846153846156,220.97,187.8245,209.9215,-8.01227076,8.01227076,canceled,,,
1,buy,90.20793100108664,187.81,16941.95152131408,178.4195,206.591,178.4195,-849.89248981,2.79491374,closed,sl,1760130759440,1760130759440
1,sell,135.31189650162995,178.4195,24142.280917872566,187.81,159.6385,159.6385,2537.42284763,3.86988057,closed,tp,1760130759440,1760130759440
1,buy,202.96784475244493,187.81,38119.390922956685,178.4195,206.591,187.81,-6.44980094,6.44980094,canceled,,,
1,sell,304.45176712866737,178.4195,54320.13206521327,187.81,159.6385,178.4195,-9.19096634,9.19096634,canceled,,,
2,sell,121.75356502812163,159.62,19434.304049788774,167.601,143.65800000000002,143.65800000000002,1940.30653495,3.12387003,closed,tp,1760131121282,1760131121282
2,buy,182.63034754218245,167.601,30609.02887841732,159.62,183.563,167.601,-5.17904768,5.17904768,canceled,,,
2,sell,273.9455213132737,159.62,43727.18411202475,167.601,143.65800000000002,159.62,-7.39863956,7.39863956,canceled,,,
2,buy,410.9182819699105,167.601,68870.31497643897,159.62,183.563,167.601,-11.65285730,11.65285730,canceled,,,
3,sell,155.25995646842182,143.63,22299.987547559424,150.8115,129.267,150.8115,-1118.86686422,3.86748684,closed,sl,1760131190231,1760131190231
3,buy,232.88993470263273,150.8115,35122.480387406096,143.63,165.1745,143.63,-1678.30029633,5.80123026,closed,sl,1760131190231,1760131190231
3,sell,349.3349020539491,143.63,50174.97198200871,150.8115,129.267,150.8115,-2517.45044449,8.70184539,closed,sl,1760131190231,1760131190231
3,buy,524.0023530809236,150.8115,79025.58087166371,143.63,165.1745,165.1745,7512.23794862,14.00784868,closed,tp,1760131190231,1760131190231
4,buy,155.5767585098485,164.2,25545.703747317122,155.98999999999998,180.61999999999998,180.61999999999998,2550.03192500,4.53844973,closed,tp,1760131341382,1760131341382
4,sell,233.36513776477275,155.98999999999998,36402.6278399269,164.2,139.57,155.98999999999998,-6.15932464,6.15932464,canceled,,,
4,buy,350.04770664715915,164.2,57477.83343146353,155.98999999999998,180.61999999999998,164.2,-9.72524942,9.72524942,canceled,,,
4,sell,525.0715599707387,155.98999999999998,81905.91263983551,164.2,139.57,155.98999999999998,-13.85848042,13.85848042,canceled,,,
5,buy,162.27594942281306,180.63,29311.90474424272,171.5985,198.69299999999998,198.69299999999998,2925.98292142,5.20755300,closed,tp,1760131850194,1760131850194
5,sell,243.4139241342196,171.5985,41769.46426054588,180.63,153.5355,171.5985,-7.06739336,7.06739336,canceled,,,
5,buy,365.12088620132937,180.63,65951.78567454612,171.5985,198.69299999999998,180.63,-11.15904214,11.15904214,canceled,,,
5,sell,547.6813293019941,171.5985,93981.29458622824,180.63,153.5355,171.5985,-15.90163504,15.90163504,canceled,,,
6,sell,169.2584995399176,198.71,33633.35644357703,208.6455,178.839,198.71,-5.69076392,5.69076392,open,,1760132674051,
6,buy,253.88774930987643,208.6455,52972.53639863382,198.71,228.5165,208.6455,-8.96295316,8.96295316,pending,,,
6,sell,380.83162396481464,198.71,75675.05199804832,208.6455,178.839,198.71,-12.80421880,12.80421880,pending,,,
6,buy,571.2474359472219,208.6455,119188.20689692609,198.71,228.5165,208.6455,-20.16664460,20.16664460,pending,,,
