seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,477.63644589974297,124.5,59465.737514518,122.32125,133.215,133.215,4152.18786714,10.41375888,closed,tp,1767225601692,1767225601692
0,sell,597.0455573746788,122.32125,73031.35888501743,124.5,113.60625,122.32125,-12.35690592,12.35690592,canceled,,,
0,buy,746.3069467183484,124.5,92915.21486643437,122.32125,133.215,124.5,-15.72125436,15.72125436,canceled,,,
0,sell,932.8836833979354,122.32125,114111.49825783972,124.5,113.60625,122.32125,-19.30766550,19.30766550,canceled,,,
1,buy,631.6672588480608,133.23,84157.02889632713,130.898475,142.5561,142.5561,5876.25427553,14.73774721,closed,tp,1767479800987,1767479800987
1,sell,789.5840735600759,130.898475,103355.35111330175,133.23,121.572375,130.898475,-17.48772540,17.48772540,canceled,,,
1,buy,986.980091950095,133.23,131495.35765051114,130.898475,142.5561,133.23,-22.24901452,22.24901452,canceled,,,
1,sell,1233.7251149376186,130.898475,161492.736114534,133.23,121.572375,130.898475,-27.32457096,27.32457096,canceled,,,
2,sell,835.3833788880373,142.57,119100.60832806748,145.064975,132.5901,132.5901,8317.59607384,19.44650912,closed,tp,1767709164801,1767709164801
2,buy,1044.2292236100466,145.064975,151481.08621726083,142.57,155.044875,145.064975,-25.63059978,25.63059978,canceled,,,
2,sell,1305.2865295125582,142.57,186094.70051260543,145.064975,132.5901,142.57,-31.48722332,31.48722332,canceled,,,
2,buy,1631.6081618906978,145.064975,236689.19721447004,142.57,155.044875,145.064975,-40.04781216,40.04781216,canceled,,,
3,sell,1271.3969438525494,132.58,168561.806815971,134.90015000000002,123.29940000000002,134.90015000000002,-2978.60183275,28.77021347,closed,sl,1767883504124,1767883504124
3,buy,1589.2461798156867,134.90015000000002,214389.54804406315,132.58,144.18075000000002,144.18075000000002,14711.63560610,37.52249030,closed,tp,1767883504124,1767883504124
3,sell,1986.5577247696085,132.58,263377.8231499547,134.90015000000002,123.29940000000002,132.58,-44.56352768,44.56352768,canceled,,,
3,buy,2483.1971559620106,134.90015000000002,334983.6688188487,132.58,144.18075000000002,134.90015000000002,-56.67923676,56.67923676,canceled,,,
4,buy,1652.795821618997,144.2,238333.15747745935,141.67649999999998,154.29399999999998,141.67649999999998,-4210.80337386,39.97311800,closed,sl,1768322302073,1768322302073
4,sell,2065.9947770237463,141.67649999999998,292702.90902700473,144.2,131.58249999999998,144.2,-5263.50421732,49.96639750,closed,sl,1768322302073,1768322302073
4,buy,2582.493471279683,144.2,372395.5585585303,141.67649999999998,154.29399999999998,141.67649999999998,-6579.38027165,62.45799688,closed,sl,1768322302073,1768322302073
4,sell,3228.1168390996036,141.67649999999998,457348.2953546949,144.2,131.58249999999998,131.58249999999998,32509.98470042,74.62667345,closed,tp,1768322302073,1768322302073
5,buy,2555.2309819714487,131.57,336191.7402979835,129.267525,140.7799,129.267525,-5939.74136580,56.38591059,closed,sl,1768780917660,1768780917660
5,sell,3194.038727464311,129.267525,412885.48105346103,131.57,120.057625,131.57,-7424.67670726,70.48238824,closed,sl,1768780917660,1768780917660
5,buy,3992.5484093303885,131.57,525299.5942155992,129.267525,140.7799,129.267525,-9280.84588406,88.10298529,closed,sl,1768780917660,1768780917660
5,sell,4990.685511662986,129.267525,645133.5641460328,131.57,120.057625,120.057625,45858.44642505,105.26806881,closed,tp,1768780917660,1768780917660
6,sell,3950.6051470295843,120.04,474230.6418494313,122.14070000000001,111.6372,122.14070000000001,-8379.97815544,80.94192307,closed,sl,1769369181929,1769369181929
6,buy,4938.256433786981,122.14070000000001,603162.0976022455,120.04,130.5435,120.04,-10474.97269430,101.17740384,closed,sl,1769369181929,1769369181929
6,sell,6172.820542233725,120.04,740985.3778897364,122.14070000000001,111.6372,111.6372,51747.98984175,120.98661053,closed,tp,1769369181929,1769369181929
6,buy,7716.025677792157,122.14070000000001,942440.7775035086,120.04,130.5435,122.14070000000001,-159.46097956,159.46097956,canceled,,,
7,sell,5984.378845035816,111.93,669831.5241248589,113.88877500000001,104.09490000000001,113.88877500000001,-11836.37885164,114.32717945,closed,sl,1769737385660,1769737385660
7,buy,7480.47355629477,113.88877500000001,851941.9697463049,111.93,121.723875,111.93,-14795.47356455,142.90897432,closed,sl,1769737385660,1769737385660
7,sell,9350.591945368462,111.93,1046611.756445092,113.88877500000001,104.09490000000001,104.09490000000001,73091.93427679,170.88867437,closed,tp,1769737385660,1769737385660
7,buy,11688.23993171058,113.88877500000001,1331159.3277286016,111.93,121.723875,113.88877500000001,-225.23215826,225.23215826,canceled,,,
8,sell,9086.725195998895,104.12,946109.827407405,105.94210000000001,96.83160000000001,96.83160000000001,66073.20899812,154.47892040,closed,tp,1769879440595,1769879440595
8,buy,11358.406494998619,105.94210000000001,1203333.4367337932,104.12,113.2305,105.94210000000001,-203.60401750,203.60401750,canceled,,,
8,sell,14198.008118748274,104.12,1478296.6053240704,105.94210000000001,96.83160000000001,104.12,-250.12778562,250.12778562,canceled,,,
8,buy,17747.510148435344,105.94210000000001,1880208.4948965523,104.12,113.2305,105.94210000000001,-318.13127734,318.13127734,canceled,,,
9,sell,10383.700024641008,96.92,1006388.2063882065,98.6161,90.1356,98.6161,-17783.56445405,171.77084226,closed,sl,1769885036958,1769885036958
9,buy,12979.62503080126,98.6161,1280000.0000000002,96.92,105.40050000000001,96.92,-22229.45556757,214.71355283,closed,sl,1769885036958,1769885036958
9,sell,16224.531288501576,96.92,1572481.5724815726,98.6161,90.1356,98.6161,-27786.81945946,268.39194103,closed,sl,1769885036958,1769885036958
9,buy,20280.664110626967,98.6161,2000000,96.92,105.40050000000001,105.40050000000001,137242.09729730,350.04029484,closed,tp,1769885036958,1769885036958
10,sell,9546.463729730662,105.42,1006388.2063882063,107.26485,98.0406,105.42,-170.28088452,170.28088452,open,,1769901787856,
10,buy,11933.079662163327,107.26485,1280000,105.42,114.64425,107.26485,-216.57600000,216.57600000,pending,,,
10,sell,14916.349577704159,105.42,1572481.5724815724,107.26485,98.0406,105.42,-266.06388206,266.06388206,pending,,,
10,buy,18645.4369721302,107.26485,2000000,105.42,114.64425,107.26485,-338.40000000,338.40000000,pending,,,
