seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,168526.19721010502,208.61,35156250.00000001,200.2656,233.6432,233.6432,4207346.71875000,11403.28125000,closed,tp,1759276801190,1759276801190
0,sell,224701.59628014002,200.2656,45000000.00000001,208.61,175.2324,200.2656,-13770.00000000,13770.00000000,canceled,,,
0,buy,299602.12837352004,208.61,62500000.00000002,200.2656,233.6432,208.61,-19125.00000000,19125.00000000,canceled,,,
0,sell,399469.5044980266,200.2656,80000000,208.61,175.2324,200.2656,-24480.00000000,24480.00000000,canceled,,,
1,buy,150459.0002567834,233.66,35156250.00000001,224.3136,261.6992,224.3136,-1416792.65625000,10542.65625000,closed,sl,1759439611443,1759439611443
1,sell,200612.00034237784,224.3136,45000000.00000001,233.66,196.2744,233.66,-1889056.87500000,14056.87500000,closed,sl,1759439611443,1759439611443
1,buy,267482.66712317045,233.66,62500000.00000001,224.3136,261.6992,224.3136,-2518742.50000000,18742.50000000,closed,sl,1759439611443,1759439611443
1,sell,356643.5561642272,224.3136,80000000,233.66,196.2744,196.2744,9977050.00000000,22950.00000000,closed,tp,1759439611443,1759439611443
2,sell,165351.69202549214,196.26,32451923.076923087,204.1104,172.7088,172.7088,3884896.29807692,9334.47115385,closed,tp,1760129973940,1760129973940
2,buy,220468.92270065617,204.1104,45000000.00000001,196.26,227.6616,204.1104,-13770.00000000,13770.00000000,canceled,,,
2,sell,293958.5636008749,196.26,57692307.69230771,204.1104,172.7088,196.26,-17653.84615384,17653.84615384,canceled,,,
2,buy,391944.7514678331,204.1104,80000000,196.26,227.6616,204.1104,-24480.00000000,24480.00000000,canceled,,,
3,sell,187920.10583660365,172.69,32451923.076923084,179.5976,151.9672,151.9672,3884896.29807692,9334.47115385,closed,tp,1760131012946,1760131012946
3,buy,250560.14111547152,179.5976,45000000.00000001,172.69,200.3204,179.5976,-13770.00000000,13770.00000000,canceled,,,
3,sell,334080.188153962,172.69,57692307.6923077,179.5976,151.9672,172.69,-17653.84615384,17653.84615384,canceled,,,
3,buy,445440.25087194925,179.5976,79999999.99999999,172.69,200.3204,179.5976,-24480.00000000,24480.00000000,canceled,,,
4,buy,231367.22606120442,151.95,35156250.00000001,145.87199999999999,170.184,145.87199999999999,-1416792.65625000,10542.65625000,closed,sl,1760131157829,1760131157829
4,sell,308489.63474827254,145.87199999999999,45000000.00000001,151.95,127.63799999999999,151.95,-1889056.87500000,14056.87500000,closed,sl,1760131157829,1760131157829
4,buy,411319.5129976967,151.95,62500000.00000001,145.87199999999999,170.184,145.87199999999999,-2518742.50000000,18742.50000000,closed,sl,1760131157829,1760131157829
4,sell,548426.0173302622,145.87199999999999,80000000,151.95,127.63799999999999,151.95,-3358323.33333334,24990.00000000,closed,sl,1760131157829,1760131157829
5,buy,231321.5554678248,151.98,35156250.00000001,145.9008,170.2176,145.9008,-1416792.65625000,10542.65625000,closed,sl,1760131229740,1760131229740
5,sell,308428.7406237664,145.9008,45000000.000000015,151.98000000000002,127.6632,151.98000000000002,-1889056.87500001,14056.87500000,closed,sl,1760131229740,1760131229740
