seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,14442.258047045654,3.4088,49230.76923076923,3.3747119999999997,3.4769759999999996,3.4769759999999996,976.20224000,8.41314462,closed,tp,1760054403406,1760054403406
0,sell,21663.387070568482,3.3747119999999997,73107.6923076923,3.4088,3.306536,3.3747119999999997,-12.36982154,12.36982154,canceled,,,
0,buy,32495.080605852723,3.4088,110769.23076923075,3.3747119999999997,3.4769759999999996,3.4088,-18.74215384,18.74215384,canceled,,,
0,sell,48742.620908779085,3.3747119999999997,164492.30769230766,3.4088,3.306536,3.3747119999999997,-27.83209846,27.83209846,canceled,,,
1,buy,15541.628447969886,3.4769,54036.6879507465,3.4421310000000003,3.546438,3.4421310000000003,-549.46417207,9.09729256,closed,sl,1760076384985,1760076384985
1,sell,23312.44267195483,3.4421310000000003,80244.48160685855,3.4769,3.372593,3.4769,-824.19625810,13.64593884,closed,sl,1760076384985,1760076384985
1,buy,34968.664007932246,3.4769,121582.54788917962,3.4421310000000003,3.546438,3.4421310000000003,-1236.29438716,20.46890827,closed,sl,1760076384985,1760076384985
1,sell,52452.996011898365,3.4421310000000003,180550.08361543174,3.4769,3.372593,3.372593,3617.23593904,30.24049764,closed,tp,1760076384985,1760076384985
2,sell,17493.657453464348,3.3724,58995.610396063166,3.4061239999999997,3.3049519999999997,3.3049519999999997,1170.02997121,9.88223671,closed,tp,1760109731250,1760109731250
2,buy,26240.486180196523,3.4061239999999997,89378.34975003569,3.3724,3.473572,3.4061239999999997,-15.12281678,15.12281678,canceled,,,
2,sell,39360.72927029478,3.3724,132740.12339114211,3.4061239999999997,3.3049519999999997,3.3724,-22.45962888,22.45962888,canceled,,,
2,buy,59041.093905442176,3.4061239999999997,201101.2869375803,3.3724,3.473572,3.4061239999999997,-34.02633774,34.02633774,canceled,,,
3,sell,19594.930265390627,3.30472,64755.757946641716,3.3377672,3.2386256,3.3377672,-658.56903708,11.01145761,closed,sl,1760110288955,1760110288955
3,buy,29392.39539808594,3.3377672,98104.9732891622,3.30472,3.4038616,3.30472,-987.85355562,16.51718642,closed,sl,1760110288955,1760110288955
3,sell,44088.59309712891,3.30472,145700.45537994386,3.3377672,3.2386256,3.2386256,2889.60311572,24.40599188,closed,tp,1760110288955,1760110288955
3,buy,66132.88964569337,3.3377672,220736.18990061496,3.30472,3.4038616,3.3377672,-37.34856334,37.34856334,canceled,,,
4,buy,21885.450452602778,3.2385,70876.0312907541,3.206115,3.3032700000000004,3.206115,-720.69257628,11.93226337,closed,sl,1760123510581,1760123510581
4,sell,32828.17567890417,3.206115,105250.90646676984,3.2385,3.141345,3.2385,-1081.03886442,17.89839506,closed,sl,1760123510581,1760123510581
4,buy,49242.26351835625,3.2385,159471.07040419674,3.206115,3.3032700000000004,3.206115,-1621.55829663,26.84759259,closed,sl,1760123510581,1760123510581
4,sell,73863.39527753438,3.206115,236814.53955023215,3.2385,3.141345,3.141345,4744.46782961,39.66428252,closed,tp,1760123510581,1760123510581
5,buy,24633.36368235508,3.14128,77380.29266810836,3.1098672,3.2041056,3.1098672,-786.83020847,13.02728179,closed,sl,1760129782594,1760129782594
5,sell,36950.04552353262,3.1098672,114909.73461214094,3.14128,3.0470416,3.14128,-1180.24531271,19.54092269,closed,sl,1760129782594,1760129782594
5,buy,55425.068285298934,3.14128,174105.65850324385,3.1098672,3.2041056,3.1098672,-1770.36796906,29.31138403,closed,sl,1760129782594,1760129782594
5,sell,83137.6024279484,3.1098672,258546.9028773171,3.14128,3.0470416,3.0470416,5179.86549930,43.30425580,closed,tp,1760129782594,1760129782594
6,sell,27729.746988187275,3.0466,84481.44717421135,3.0770660000000003,2.985668,3.0770660000000003,-859.18020391,14.36573217,closed,sl,1760129982693,1760129982693
6,buy,41594.62048228091,3.0770660000000003,127989.3924689302,3.0466,3.1379980000000005,3.0466,-1288.77030586,21.54859825,closed,sl,1760129982693,1760129982693
6,sell,62391.93072342137,3.0466,190083.25614197555,3.0770660000000003,2.985668,3.0770660000000003,-1933.15545879,32.32289737,closed,sl,1760129982693,1760129982693
6,buy,93587.89608513206,3.0770660000000003,287976.133055093,3.0466,3.1379980000000005,3.0466,-2899.73318819,48.48434606,closed,sl,1760129982693,1760129982693
7,sell,16449.77482943724,3.0465,50114.23901788055,3.076965,2.98557,2.98557,993.89024441,8.39453595,closed,tp,1760130718100,1760130718100
7,buy,24674.662244155857,3.076965,75923.07211208902,3.0465,3.137895,3.076965,-12.84618380,12.84618380,canceled,,,
7,sell,37011.993366233786,3.0465,112757.03779023123,3.076965,2.98557,3.0465,-19.07849080,19.07849080,canceled,,,
7,buy,55517.99004935069,3.076965,170826.91225220033,3.0465,3.137895,3.076965,-28.90391356,28.90391356,canceled,,,
8,sell,18424.798909460707,2.9855,55007.23714419494,3.015355,2.92579,2.92579,1090.93059060,9.21415228,closed,tp,1760130771050,1760130771050
8,buy,27637.198364191063,3.015355,83335.96427345535,2.9855,3.075065,3.015355,-14.10044516,14.10044516,canceled,,,
8,sell,41455.797546286594,2.9855,123766.28357443862,3.015355,2.92579,2.9855,-20.94125518,20.94125518,canceled,,,
8,buy,62183.69631942989,3.015355,187505.9196152745,2.9855,3.075065,3.015355,-31.72600160,31.72600160,canceled,,,
9,sell,20637.808435697178,2.9256,60377.972359475665,2.9548560000000004,2.8670880000000003,2.8670880000000003,1197.44565380,10.11379339,closed,tp,1760130790939,1760130790939
9,buy,30956.712653545765,2.9548560000000004,91472.62812460563,2.9256,3.0133680000000003,2.9548560000000004,-15.47716868,15.47716868,canceled,,,
9,sell,46435.06898031865,2.9256,135850.43780882025,2.9548560000000004,2.8670880000000003,2.9256,-22.98589408,22.98589408,canceled,,,
9,buy,69652.60347047797,2.9548560000000004,205813.4132803627,2.9256,3.0133680000000003,2.9548560000000004,-34.82362952,34.82362952,canceled,,,
10,sell,23116.96051580293,2.86686,66273.08942433479,2.8955286,2.8095228,2.8955286,-674.00036801,11.26947377,closed,sl,1760130796412,1760130796412
10,buy,34675.440773704395,2.8955286,100403.7304778672,2.86686,2.9528658,2.86686,-1011.00055202,16.90421065,closed,sl,1760130796412,1760130796412
10,sell,52013.16116055659,2.86686,149114.45120475328,2.8955286,2.8095228,2.8955286,-1516.50082802,25.35631597,closed,sl,1760130796412,1760130796412
10,buy,78019.74174083488,2.8955286,225908.3935752012,2.86686,2.9528658,2.86686,-2274.75124203,38.03447396,closed,sl,1760130796412,1760130796412
11,buy,13715.139095714027,2.8664,39313.074703954684,2.837736,2.923728,2.837736,-399.74926042,6.61851338,closed,sl,1760130797981,1760130797981
11,sell,20572.70864357104,2.837736,58379.91593537271,2.8664,2.780408,2.8664,-599.62389063,9.92777007,closed,sl,1760130797981,1760130797981
11,buy,30859.06296535656,2.8664,88454.41808389804,2.837736,2.923728,2.837736,-899.43583594,14.89165510,closed,sl,1760130797981,1760130797981
11,sell,46288.59444803484,2.837736,131354.8108545886,2.8664,2.780408,2.780408,2631.63180583,22.00073669,closed,tp,1760130797981,1760130797981
12,buy,15439.143097872526,2.78,42920.81781208562,2.7521999999999998,2.8356,2.8356,851.08153184,7.33482440,closed,tp,1760130816176,1760130816176
12,sell,23158.71464680879,2.7521999999999998,63737.414450947144,2.78,2.6965999999999997,2.7521999999999998,-10.78437052,10.78437052,canceled,,,
12,buy,34738.07197021318,2.78,96571.84007719264,2.7521999999999998,2.8356,2.78,-16.33995534,16.33995534,canceled,,,
12,sell,52107.10795531978,2.7521999999999998,143409.18251463107,2.78,2.6965999999999997,2.7521999999999998,-24.26483368,24.26483368,canceled,,,
13,buy,16591.800261024342,2.8394,47110.757661152515,2.811006,2.896188,2.811006,-479.03886111,7.93128450,closed,sl,1760130817336,1760130817336
13,sell,24887.700391536513,2.811006,69959.47512681148,2.8394,2.754218,2.8394,-718.55829167,11.89692675,closed,sl,1760130817336,1760130817336
13,buy,37331.550587304766,2.8394,105999.20473759314,2.811006,2.896188,2.811006,-1077.83743749,17.84539011,closed,sl,1760130817336,1760130817336
13,sell,55997.325880957156,2.811006,157408.81903532584,2.8394,2.754218,2.754218,3153.61159593,26.36454620,closed,tp,1760130817336,1760130817336
14,buy,18676.140382029447,2.754,51434.090612109096,2.72646,2.80908,2.72646,-523.00004102,8.65913490,closed,sl,1760130865273,1760130865273
14,sell,28014.21057304417,2.72646,76379.624558982,2.754,2.67138,2.67138,1530.22982560,12.79289276,closed,tp,1760130865273,1760130865273
14,buy,42021.31585956625,2.754,115726.70387724547,2.72646,2.80908,2.754,-19.58095830,19.58095830,canceled,,,
14,sell,63031.97378934939,2.72646,171854.15525770953,2.754,2.67138,2.72646,-29.07772306,29.07772306,canceled,,,
15,sell,21112.18611089863,2.6711,56392.76032082133,2.697811,2.617678,2.697811,-573.51696653,9.58936332,closed,sl,1760130877895,1760130877895
15,buy,31668.279166347944,2.697811,85435.03188604432,2.6711,2.751233,2.6711,-860.27544979,14.38404498,closed,sl,1760130877895,1760130877895
15,sell,47502.418749521916,2.6711,126883.710721848,2.697811,2.617678,2.697811,-1290.41317470,21.57606748,closed,sl,1760130877895,1760130877895
15,buy,71253.62812428288,2.697811,192228.82174359975,2.6711,2.751233,2.6711,-1935.61976204,32.36410121,closed,sl,1760130877895,1760130877895
16,sell,12568.930057831825,2.66149,33452.08165961882,2.6881049000000004,2.6082602,2.6881049000000004,-340.20920928,5.68839268,closed,sl,1760130880164,1760130880164
16,buy,18853.39508674774,2.6881049000000004,50679.90371432253,2.66149,2.7413347000000003,2.66149,-510.31381390,8.53258901,closed,sl,1760130880164,1760130880164
16,sell,28280.092630121606,2.66149,75267.18373414235,2.6881049000000004,2.6082602,2.6881049000000004,-765.47072086,12.79888352,closed,sl,1760130880164,1760130880164
16,buy,42420.13894518241,2.6881049000000004,114029.78335722568,2.66149,2.7413347000000003,2.66149,-1148.20608130,19.19832529,closed,sl,1760130880164,1760130880164
17,sell,7456.958884932645,2.6611,19843.71328869426,2.6877109999999997,2.607878,2.6877109999999997,-201.81147696,3.37434407,closed,sl,1760130887236,1760130887236
17,buy,11185.438327398966,2.6877109999999997,30063.2256323718,2.6611,2.7409329999999996,2.7409329999999996,590.17433754,5.13706112,closed,tp,1760130887236,1760130887236
17,sell,16778.15749109845,2.6611,44648.35489956208,2.6877109999999997,2.607878,2.6611,-7.55450164,7.55450164,canceled,,,
17,buy,25167.236236647677,2.6877109999999997,67642.25767283655,2.6611,2.7409329999999996,2.6877109999999997,-11.44507000,11.44507000,canceled,,,
18,sell,7936.543676278608,2.7412,21755.65352541492,2.768612,2.686376,2.686376,431.46882450,3.64424601,closed,tp,1760130898035,1760130898035
