seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,4134046.4563470534,3.2592,13473684.210526315,3.09624,3.91104,3.09624,-677704.08421053,4019.87368421,closed,sl,1759276801190,1759276801190
0,sell,5167558.070433817,3.09624,16000000,3.2592,2.4444,2.4444,3364040.42105263,4380.63157895,closed,tp,1759276801190,1759276801190
0,buy,6459447.588042271,3.2592,21052631.57894737,3.09624,3.91104,3.2592,-6442.10526316,6442.10526316,canceled,,,
0,sell,8074309.485052839,3.09624,25000000,3.2592,2.4444,3.09624,-7650.00000000,7650.00000000,canceled,,,
1,buy,5120000,2.4443,12514816,2.322085,2.93316,2.322085,-629474.59535360,3733.79535360,closed,sl,1760130976629,1760130976629
1,sell,6400000,2.322085,14861344,2.4443,1.8332249999999999,1.8332249999999999,3124635.12044800,4068.87955200,closed,tp,1760130976629,1760130976629
1,buy,8000000,2.4443,19554400,2.322085,2.93316,2.4443,-5983.64640000,5983.64640000,canceled,,,
1,sell,10000000,2.322085,23220850,2.4443,1.8332249999999999,2.322085,-7105.58010000,7105.58010000,canceled,,,
2,sell,5120000,1.833,9384960,1.92465,1.4664,1.4664,1874407.38201600,2584.61798400,closed,tp,1760131124348,1760131124348
2,buy,6400000,1.92465,12317760,1.833,2.29125,1.92465,-3769.23456000,3769.23456000,canceled,,,
2,sell,8000000,1.833,14664000,1.92465,1.4664,1.833,-4487.18400000,4487.18400000,canceled,,,
2,buy,10000000,1.92465,19246500,1.833,2.29125,1.92465,-5889.42900000,5889.42900000,canceled,,,
3,sell,5120000,1.4656,7503872,1.53888,1.17248,1.17248,1498707.83365120,2066.56634880,closed,tp,1760131148999,1760131148999
3,buy,6400000,1.53888,9848832,1.4656,1.832,1.53888,-3013.74259200,3013.74259200,canceled,,,
3,sell,8000000,1.4656,11724800,1.53888,1.17248,1.4656,-3587.78880000,3587.78880000,canceled,,,
3,buy,10000000,1.53888,15388800,1.4656,1.832,1.53888,-4708.97280000,4708.97280000,canceled,,,
4,buy,5120000,1.1705,5992960.000000001,1.1119750000000002,1.4046,1.1119750000000002,-301435.99961600,1787.99961600,closed,sl,1760131176455,1760131176455
4,sell,6400000,1.1119750000000002,7116640.000000001,1.1705,0.8778750000000002,0.8778750000000002,1496291.53888000,1948.46112000,closed,tp,1760131176455,1760131176455
4,buy,8000000,1.1705,9364000,1.1119750000000002,1.4046,1.1705,-2865.38400000,2865.38400000,canceled,,,
4,sell,10000000,1.1119750000000002,11119750.000000002,1.1705,0.8778750000000002,1.1119750000000002,-3402.64350000,3402.64350000,canceled,,,
5,buy,5120000,0.8767,4488704,0.8328650000000001,1.05204,0.8328650000000001,-225774.40483840,1339.20483840,closed,sl,1760131233241,1760131233241
5,sell,6400000,0.8328650000000001,5330336.000000001,0.8767,0.657525,0.657525,1120716.61011200,1459.38988800,closed,tp,1760131233241,1760131233241
5,buy,8000000,0.8767,7013600,0.8328650000000001,1.05204,0.8767,-2146.16160000,2146.16160000,canceled,,,
5,sell,10000000,0.8328650000000001,8328650.000000001,0.8767,0.657525,0.8328650000000001,-2548.56690000,2548.56690000,canceled,,,
6,sell,5120000,0.6572,3364864,0.69006,0.52576,0.69006,-169298.58959360,1055.38959360,closed,sl,1760131265924,1760131265924
6,buy,6400000,0.69006,4416384,0.6572,0.8215,0.8215,839735.88044800,1480.11955200,closed,tp,1760131265924,1760131265924
6,sell,8000000,0.6572,5257600,0.69006,0.52576,0.6572,-1608.82560000,1608.82560000,canceled,,,
6,buy,10000000,0.69006,6900600,0.6572,0.8215,0.69006,-2111.58360000,2111.58360000,canceled,,,
7,sell,5120000,0.8229,4213248,0.864045,0.65832,0.864045,-211983.88523520,1321.48523520,closed,sl,1760131288852,1760131288852
7,buy,6400000,0.864045,5529888,0.8229,1.028625,1.028625,1051458.69753600,1853.30246400,closed,tp,1760131288852,1760131288852
7,sell,8000000,0.8229,6583200,0.864045,0.65832,0.8229,-2014.45920000,2014.45920000,canceled,,,
7,buy,10000000,0.864045,8640450,0.8229,1.028625,0.864045,-2643.97770000,2643.97770000,canceled,,,
8,sell,5120000,1.0243,5244416,1.075515,0.81944,1.075515,-263865.71107840,1644.91107840,closed,sl,1760131294924,1760131294924
8,buy,6400000,1.075515,6883296,1.0243,1.280375,1.0243,-329832.13884800,2056.13884800,closed,sl,1760131294924,1760131294924
8,sell,8000000,1.0243,8194400,1.075515,0.81944,1.075515,-412290.17356000,2570.17356000,closed,sl,1760131294924,1760131294924
8,buy,10000000,1.075515,10755150,1.0243,1.280375,1.280375,2044995.48830000,3604.51170000,closed,tp,1760131294924,1760131294924
