seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,51392.688319405555,1.4369,73846.15384615384,1.422531,1.465638,1.422531,-750.89383385,12.43229539,closed,sl,1760054400040,1760054400040
0,sell,77089.03247910834,1.422531,109661.53846153847,1.4369,1.393793,1.4369,-1126.34075076,18.64844307,closed,sl,1760054400040,1760054400040
0,buy,115633.5487186625,1.4369,166153.84615384616,1.422531,1.465638,1.465638,3294.68256001,28.39436307,closed,tp,1760054400040,1760054400040
0,sell,173450.32307799376,1.422531,246738.46153846153,1.4369,1.393793,1.422531,-41.74814770,41.74814770,canceled,,,
1,buy,57508.67060373328,1.4661,84313.46197213336,1.451439,1.495422,1.451439,-857.32912829,14.19450857,closed,sl,1760093465871,1760093465871
1,sell,86263.00590559992,1.451439,125205.49102861802,1.4661,1.4221169999999999,1.4221169999999999,2508.43307765,20.97078151,closed,tp,1760093465871,1760093465871
1,buy,129394.50885839987,1.4661,189705.28943730006,1.451439,1.495422,1.4661,-32.09813498,32.09813498,canceled,,,
1,sell,194091.7632875998,1.451439,281712.3548143906,1.4661,1.4221169999999999,1.451439,-47.66573044,47.66573044,canceled,,,
2,sell,67866.54683417451,1.422,96506.22959819615,1.4362199999999998,1.39356,1.39356,1913.95902646,16.16556550,closed,tp,1760109702910,1760109702910
2,buy,101799.82025126177,1.4362199999999998,146206.93784126715,1.422,1.4646599999999999,1.4362199999999998,-24.73821388,24.73821388,canceled,,,
2,sell,152699.73037689266,1.422,217139.01659594136,1.4362199999999998,1.39356,1.422,-36.73992160,36.73992160,canceled,,,
2,buy,229049.595565339,1.4362199999999998,328965.61014285113,1.422,1.4646599999999999,1.4362199999999998,-55.66098124,55.66098124,canceled,,,
3,sell,79402.9574210888,1.3934,110640.08087054512,1.4073339999999999,1.365532,1.365532,2194.26851875,18.53309866,closed,tp,1760110232062,1760110232062
3,buy,119104.43613163319,1.4073339999999999,167619.72251887585,1.3934,1.4352019999999999,1.4073339999999999,-28.36125706,28.36125706,canceled,,,
3,sell,178656.6541974498,1.3934,248940.18195872655,1.4073339999999999,1.365532,1.3934,-42.12067878,42.12067878,canceled,,,
3,buy,267984.9812961747,1.4073339999999999,377144.3756674707,1.3934,1.4352019999999999,1.4073339999999999,-63.81282836,63.81282836,canceled,,,
4,buy,92905.5225460267,1.3653,126843.90993209025,1.351647,1.392606,1.351647,-1289.79377893,21.35467961,closed,sl,1760115891610,1760115891610
4,sell,139358.28381904005,1.351647,188363.20624915403,1.3653,1.324341,1.3653,-1934.69066840,32.03201942,closed,sl,1760115891610,1760115891610
4,buy,209037.42572856008,1.3653,285398.7973472031,1.351647,1.392606,1.351647,-2902.03600260,48.04802913,closed,sl,1760115891610,1760115891610
4,sell,313556.1385928401,1.351647,423817.2140605966,1.3653,1.324341,1.324341,8490.97838995,70.98553047,closed,tp,1760115891610,1760115891610
5,buy,108974.86966634785,1.3242,144304.52241217782,1.310958,1.350684,1.310958,-1467.33946769,24.29424357,closed,sl,1760124580799,1760124580799
5,sell,163462.30449952176,1.310958,214292.21578208407,1.3242,1.2844740000000001,1.3242,-2201.00920153,36.44136535,closed,sl,1760124580799,1760124580799
5,buy,245193.45674928266,1.3242,324685.1754274001,1.310958,1.350684,1.310958,-3301.51380229,54.66204802,closed,sl,1760124580799,1760124580799
5,sell,367790.185123924,1.310958,482157.4855096892,1.3242,1.2844740000000001,1.2844740000000001,9659.79826725,80.75699557,closed,tp,1760124580799,1760124580799
6,sell,127827.34849566258,1.2843,164168.66367297946,1.297143,1.258614,1.258614,3255.87370894,27.49956452,closed,tp,1760129638667,1760129638667
6,buy,191741.02274349387,1.297143,248715.52546456386,1.2843,1.322829,1.297143,-42.08266690,42.08266690,canceled,,,
6,sell,287611.5341152408,1.2843,369379.4932642038,1.297143,1.258614,1.2843,-62.49901026,62.49901026,canceled,,,
6,buy,431417.3011728612,1.297143,559609.9322952686,1.2843,1.322829,1.297143,-94.68600054,94.68600054,canceled,,,
7,sell,139896.36127815608,1.2582,176017.60176017598,1.270782,1.233036,1.233036,3490.86767876,29.48435644,closed,tp,1760129777752,1760129777752
7,buy,209844.54191723414,1.270782,266666.6666666666,1.2582,1.295946,1.270782,-45.12000000,45.12000000,canceled,,,
7,sell,314766.8128758512,1.2582,396039.60396039597,1.270782,1.233036,1.2582,-67.00990100,67.00990100,canceled,,,
7,buy,472150.21931377676,1.270782,599999.9999999999,1.2582,1.295946,1.270782,-101.52000000,101.52000000,canceled,,,
8,sell,142813.46998797244,1.2325,176017.601760176,1.2448249999999998,1.2078499999999999,1.2448249999999998,-1790.10710671,29.93108911,closed,sl,1760129785452,1760129785452
8,buy,214220.20498195867,1.2448249999999998,266666.6666666667,1.2325,1.269475,1.2325,-2685.16066006,44.89663366,closed,sl,1760129785452,1760129785452
8,sell,321330.307472938,1.2325,396039.603960396,1.2448249999999998,1.2078499999999999,1.2078499999999999,7854.45227722,66.33980199,closed,tp,1760129785452,1760129785452
8,buy,481995.46120940696,1.2448249999999998,600000,1.2325,1.269475,1.2448249999999998,-101.52000000,101.52000000,canceled,,,
9,sell,145758.19953641604,1.2076,176017.601760176,1.219676,1.183448,1.183448,3490.86767876,29.48435644,closed,tp,1760129976029,1760129976029
9,buy,218637.29930462406,1.219676,266666.6666666666,1.2076,1.243828,1.219676,-45.12000000,45.12000000,canceled,,,
9,sell,327955.9489569361,1.2076,396039.603960396,1.219676,1.183448,1.2076,-67.00990100,67.00990100,canceled,,,
9,buy,491933.92343540414,1.219676,600000,1.2076,1.243828,1.219676,-101.52000000,101.52000000,canceled,,,
10,sell,148839.5076612346,1.1826,176017.60176017604,1.194426,1.158948,1.194426,-1790.10710671,29.93108911,closed,sl,1760129980436,1760129980436
10,buy,223259.26149185188,1.194426,266666.6666666667,1.1826,1.218078,1.1826,-2685.16066006,44.89663366,closed,sl,1760129980436,1760129980436
10,sell,334888.8922377778,1.1826,396039.6039603961,1.194426,1.158948,1.194426,-4027.74099010,67.34495050,closed,sl,1760129980436,1760129980436
10,buy,502333.33835666673,1.194426,600000,1.1826,1.218078,1.1826,-6041.61148515,101.01742574,closed,sl,1760129980436,1760129980436
11,buy,133116.44999790358,1.1818,157317.02060752243,1.1699819999999999,1.205436,1.1699819999999999,-1599.65515576,26.48494968,closed,sl,1760130054636,1760130054636
11,sell,199674.67499685538,1.1699819999999999,233615.77560217082,1.1818,1.1463459999999999,1.1818,-2399.48273365,39.72742454,closed,sl,1760130054636,1760130054636
11,buy,299512.01249528304,1.1818,353963.29636692547,1.1699819999999999,1.205436,1.1699819999999999,-3599.22410046,59.59113679,closed,sl,1760130054636,1760130054636
11,sell,449268.01874292456,1.1699819999999999,525635.4951048843,1.1818,1.1463459999999999,1.1818,-5398.83615070,89.38670520,closed,sl,1760130054636,1760130054636
12,buy,51414.678341798026,1.193,61337.71126176505,1.18107,1.21686,1.21686,1216.27210109,10.48212415,closed,tp,1760130057198,1760130057198
12,sell,77122.01751269704,1.18107,91086.5012237211,1.193,1.15721,1.18107,-15.41183600,15.41183600,canceled,,,
12,buy,115683.02626904556,1.193,138009.85033897136,1.18107,1.21686,1.193,-23.35126668,23.35126668,canceled,,,
12,sell,173524.53940356834,1.18107,204944.62775337248,1.193,1.15721,1.18107,-34.67663102,34.67663102,canceled,,,
13,buy,57780.94735523257,1.217,70319.41293131805,1.20483,1.24134,1.20483,-715.03268375,11.83855444,closed,sl,1760130117348,1760130117348
13,sell,86671.42103284886,1.20483,104424.32820300729,1.217,1.18049,1.18049,2092.09226227,17.49012567,closed,tp,1760130117348,1760130117348
13,buy,130007.13154927328,1.217,158218.6790954656,1.20483,1.24134,1.217,-26.77060050,26.77060050,canceled,,,
13,sell,195010.69732390993,1.20483,234954.7384567664,1.217,1.18049,1.20483,-39.75434174,39.75434174,canceled,,,
14,buy,68210.56633928978,1.18,80488.46828036194,1.1682,1.2036,1.1682,-818.43523839,13.55055559,closed,sl,1760130760497,1760130760497
14,sell,102315.84950893468,1.1682,119525.37539633749,1.18,1.1445999999999998,1.1445999999999998,2394.63463462,20.01941379,closed,tp,1760130760497,1760130760497
14,buy,153473.774263402,1.18,181099.05363081436,1.1682,1.2036,1.18,-30.64195988,30.64195988,canceled,,,
14,sell,230210.66139510303,1.1682,268932.09464175935,1.18,1.1445999999999998,1.1682,-45.50331042,45.50331042,canceled,,,
15,sell,80223.0012112183,1.1484,92128.09459096311,1.1598840000000001,1.125432,1.125432,1827.12969895,15.43219287,closed,tp,1760130794736,1760130794736
15,buy,120334.50181682745,1.1598840000000001,139574.0633053091,1.1484,1.1828520000000002,1.1598840000000001,-23.61593152,23.61593152,canceled,,,
15,sell,180501.75272524118,1.1484,207288.212829667,1.1598840000000001,1.125432,1.1484,-35.07316562,35.07316562,canceled,,,
15,buy,270752.62908786174,1.1598840000000001,314041.64243694546,1.1484,1.1828520000000002,1.1598840000000001,-53.13584590,53.13584590,canceled,,,
16,sell,93876.76177718565,1.1251,105620.74467551157,1.1363509999999999,1.102598,1.102598,2094.72257381,17.69231970,closed,tp,1760130799932,1760130799932
16,buy,140815.14266577846,1.1363509999999999,160015.4281834,1.1251,1.158853,1.1363509999999999,-27.07461044,27.07461044,canceled,,,
16,sell,211222.7139986677,1.1251,237646.675519901,1.1363509999999999,1.102598,1.1251,-40.20981750,40.20981750,canceled,,,
16,buy,316834.07099800155,1.1363509999999999,360034.71341265005,1.1251,1.158853,1.1363509999999999,-60.91787350,60.91787350,canceled,,,
17,sell,109861.60880109938,1.1022,121089.46522057174,1.1132220000000002,1.0801560000000001,1.0801560000000001,2401.50585027,20.28345414,closed,tp,1760130810974,1760130810974
17,buy,164792.4132016491,1.1132220000000002,183450.53980916622,1.1022,1.135266,1.1132220000000002,-31.03983134,31.03983134,canceled,,,
17,sell,247188.6198024736,1.1022,272451.29674628645,1.1132220000000002,1.0801560000000001,1.1022,-46.09875940,46.09875940,canceled,,,
17,buy,370782.9297037104,1.1132220000000002,412763.714570624,1.1022,1.135266,1.1132220000000002,-69.83962050,69.83962050,canceled,,,
18,sell,128647.63438859234,1.0791,138823.66226873,1.089891,1.057518,1.089891,-1411.84303117,23.60640848,closed,sl,1760130814766,1760130814766
18,buy,192971.45158288852,1.089891,210317.84833712594,1.0791,1.111473,1.111473,4128.77175367,35.93811439,closed,tp,1760130814766,1760130814766
18,sell,289457.1773743328,1.0791,312353.2401046425,1.089891,1.057518,1.0791,-52.85016822,52.85016822,canceled,,,
18,buy,434185.76606149913,1.089891,473215.1587585333,1.0791,1.111473,1.089891,-80.06800486,80.06800486,canceled,,,
19,buy,143335.2601820847,1.1085,158887.1359118409,1.097415,1.13067,1.13067,3150.59017781,27.15254043,closed,tp,1760130817305,1760130817305
19,sell,215002.89027312704,1.097415,235947.3968290837,1.1085,1.075245,1.097415,-39.92229954,39.92229954,canceled,,,
19,buy,322504.33540969057,1.1085,357496.055801642,1.097415,1.13067,1.1085,-60.48833264,60.48833264,canceled,,,
19,sell,483756.5031145358,1.097415,530881.6428654384,1.1085,1.075245,1.097415,-89.82517398,89.82517398,canceled,,,
20,buy,158802.18686491533,1.1308,179573.51290684627,1.119492,1.153416,1.119492,-1825.96704826,30.23191919,closed,sl,1760130821543,1760130821543
20,sell,238203.280297373,1.119492,266666.6666666667,1.1308,1.096876,1.1308,-2738.95057239,45.34787879,closed,sl,1760130821543,1760130821543
20,buy,357304.9204460595,1.1308,404040.4040404041,1.119492,1.153416,1.119492,-4108.42585858,68.02181818,closed,sl,1760130821543,1760130821543
20,sell,535957.3806690893,1.119492,600000,1.1308,1.096876,1.096876,12020.71757576,100.49454545,closed,tp,1760130821543,1760130821543
21,buy,163889.30629446587,1.0957,179573.51290684624,1.0847429999999998,1.1176139999999999,1.1176139999999999,3560.78258137,30.68767677,closed,tp,1760130859362,1760130859362
