seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,11037.401961139374,7.857,86720.86720867206,7.794144,8.108424,8.108424,2760.15980921,14.90794147,closed,tp,1760054400029,1760054400029
0,sell,13796.752451424218,7.794144,107533.87533875337,7.857,7.54272,7.794144,-18.19473170,18.19473170,canceled,,,
0,buy,17245.940564280274,7.857,135501.3550135501,7.794144,8.108424,7.857,-22.92682926,22.92682926,canceled,,,
0,sell,21557.42570535034,7.794144,168021.6802168021,7.857,7.54272,7.794144,-28.42926830,28.42926830,canceled,,,
1,buy,13642.856915000839,8.111,110657.21243757181,8.046112,8.370552,8.370552,3522.00802645,19.02277155,closed,tp,1760067025749,1760067025749
1,sell,17053.571143751047,8.046112,137214.94342258904,8.111,7.786560000000001,8.046112,-23.21676842,23.21676842,canceled,,,
1,buy,21316.96392968881,8.111,172901.89443370595,8.046112,8.370552,8.111,-29.25500054,29.25500054,canceled,,,
1,sell,26646.204912111014,8.046112,214398.3490977954,8.111,7.786560000000001,8.046112,-36.27620066,36.27620066,canceled,,,
2,sell,16865.7873237645,8.372,141200.3714745564,8.438976,8.104096,8.438976,-1153.58963907,23.98666727,closed,sl,1760067200119,1760067200119
2,buy,21082.234154705624,8.438976,177912.46805794106,8.372,8.70688,8.372,-1441.98704883,29.98333408,closed,sl,1760067200119,1760067200119
2,sell,26352.79269338203,8.372,220625.58042899435,8.438976,8.104096,8.438976,-1802.48381103,37.47916760,closed,sl,1760067200119,1760067200119
2,buy,32940.99086672754,8.438976,277988.2313405329,8.372,8.70688,8.372,-2253.10476379,46.84895950,closed,sl,1760067200119,1760067200119
3,sell,9977.408854555191,8.371,83520.88952148151,8.437968,8.103128,8.437968,-682.35537761,14.18826144,closed,sl,1760067272800,1760067272800
3,buy,12471.76106819399,8.437968,105236.3207970667,8.371,8.70584,8.371,-852.94422202,17.73532681,closed,sl,1760067272800,1760067272800
3,sell,15589.701335242486,8.371,130501.38987731485,8.437968,8.103128,8.437968,-1066.18027752,22.16915850,closed,sl,1760067272800,1760067272800
3,buy,19487.12666905311,8.437968,164431.7512454167,8.371,8.70584,8.371,-1332.72534691,27.71144814,closed,sl,1760067272800,1760067272800
4,buy,5898.175816699198,8.376,49403.120640672474,8.308992,8.644032,8.308992,-403.55053711,8.32557198,closed,sl,1760069786959,1760069786959
4,sell,7372.719770873997,8.308992,61259.86959443387,8.376,8.04096,8.04096,1965.92683585,10.19798978,closed,tp,1760069786959,1760069786959
4,buy,9215.899713592496,8.376,77192.37600105074,8.308992,8.644032,8.376,-13.06095002,13.06095002,canceled,,,
4,sell,11519.87464199062,8.308992,95718.54624130293,8.376,8.04096,8.308992,-16.19557802,16.19557802,canceled,,,
5,buy,7830.8475424787275,8.039,62952.18339398649,7.9746879999999996,8.296248,7.9746879999999996,-514.22637055,10.60890340,closed,sl,1760108279910,1760108279910
5,sell,9788.55942809841,7.9746879999999996,78060.70740854324,8.039,7.71744,7.71744,2505.09249425,12.99484151,closed,tp,1760108279910,1760108279910
5,buy,12235.699285123012,8.039,98362.78655310388,7.9746879999999996,8.296248,8.039,-16.64298348,16.64298348,canceled,,,
5,sell,15294.624106403764,7.9746879999999996,121969.85532584881,8.039,7.71744,7.9746879999999996,-20.63729952,20.63729952,canceled,,,
6,sell,10396.208795791666,7.716,80217.1470683285,7.777728,7.469088,7.777728,-655.36420880,13.62703225,closed,sl,1760110306334,1760110306334
6,buy,12995.260994739583,7.777728,101073.6053060939,7.715999999999999,8.02464,7.715999999999999,-819.20526099,17.03379031,closed,sl,1760110306334,1760110306334
6,sell,16244.076243424479,7.715999999999999,125339.29229426327,7.777728,7.469087999999999,7.469087999999999,3989.98926369,20.86808973,closed,tp,1760110306334,1760110306334
6,buy,20305.0953042806,7.777728,157927.50829077174,7.715999999999999,8.02464,7.777728,-26.72133440,26.72133440,canceled,,,
7,sell,13660.608603612924,7.469,102031.08566038492,7.528752,7.229992,7.229992,3248.00729999,16.98744114,closed,tp,1760124532379,1760124532379
7,buy,17075.760754516155,7.528752,128559.16793208501,7.469,7.76776,7.528752,-21.75221122,21.75221122,canceled,,,
7,sell,21344.70094314519,7.469,159423.57134435145,7.528752,7.229992,7.469,-26.97446828,26.97446828,canceled,,,
7,buy,26680.876178931492,7.528752,200873.69989388282,7.469,7.76776,7.528752,-33.98783002,33.98783002,canceled,,,
8,sell,18015.509427968464,7.227,130198.08663592809,7.284816,6.995736,7.284816,-1063.70232741,22.11763432,closed,sl,1760129578227,1760129578227
8,buy,22519.38678496058,7.284816,164049.5891612694,7.227,7.5160800000000005,7.227,-1329.62790926,27.64704290,closed,sl,1760129578227,1760129578227
8,sell,28149.233481200725,7.227,203434.51036863765,7.284816,6.995736,6.995736,6476.03395055,33.87038125,closed,tp,1760129578227,1760129578227
8,buy,35186.54185150091,7.284816,256327.48306448344,7.227,7.5160800000000005,7.284816,-43.37061014,43.37061014,canceled,,,
9,sell,23691.508912489215,6.99,165603.64729829962,7.045920000000001,6.76632,6.76632,5271.74489862,27.57181493,closed,tp,1760129973887,1760129973887
9,buy,29614.386140611517,7.045920000000001,208660.59559585754,6.99,7.2696000000000005,7.045920000000001,-35.30537278,35.30537278,canceled,,,
