seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,9612.55622949816,5.631,54128.30412830414,5.585952,5.766144000000001,5.766144000000001,1289.81088791,9.26841117,closed,tp,1767225601807,1767225601807
0,sell,12816.741639330878,5.585952,71593.7035937036,5.631,5.450807999999999,5.585952,-12.11365464,12.11365464,canceled,,,
0,buy,17088.988852441173,5.631,96228.09622809624,5.585952,5.766144000000001,5.631,-16.28179388,16.28179388,canceled,,,
0,sell,22785.318469921556,5.585952,127277.69527769525,5.631,5.450807999999999,5.585952,-21.53538604,21.53538604,canceled,,,
0,buy,30380.42462656208,5.631,171072.17107217107,5.585952,5.766144000000001,5.631,-28.94541134,28.94541134,canceled,,,
0,sell,40507.2328354161,5.585952,226271.45827145822,5.631,5.450807999999999,5.585952,-38.28513074,38.28513074,canceled,,,
1,buy,10598.305884353003,5.766,61109.831729179416,5.719872,5.904384,5.719872,-499.17707822,10.29842439,closed,sl,1767289270622,1767289270622
1,sell,14131.07451247067,5.719872,80827.93743379464,5.766,5.581487999999999,5.766,-665.56943764,13.73123253,closed,sl,1767289270622,1767289270622
1,buy,18841.432683294228,5.766,108639.70085187451,5.719872,5.904384,5.904384,2588.75040101,18.60241943,closed,tp,1767289270622,1767289270622
1,sell,25121.910244392297,5.719872,143694.11099341264,5.766,5.581487999999999,5.719872,-24.31304358,24.31304358,canceled,,,
1,buy,33495.8803258564,5.766,193137.245958888,5.719872,5.904384,5.766,-32.67882202,32.67882202,canceled,,,
1,sell,44661.17376780853,5.719872,255456.1973216225,5.766,5.581487999999999,5.719872,-43.22318858,43.22318858,canceled,,,
2,sell,11652.171227008068,5.906,68817.72326670964,5.953247999999999,5.764256,5.953247999999999,-562.23232074,11.69053461,closed,sl,1767368826102,1767368826102
2,buy,15536.228302677424,5.953247999999999,92491.02007045776,5.906,6.0949919999999995,5.906,-749.64309432,15.58737948,closed,sl,1767368826102,1767368826102
2,sell,20714.971070236563,5.906,122342.61914081713,5.953247999999999,5.764256,5.953247999999999,-999.52412577,20.78317264,closed,sl,1767368826102,1767368826102
2,buy,27619.96142698208,5.953247999999999,164428.4801252582,5.906,6.0949919999999995,5.906,-1332.69883436,27.71089686,closed,sl,1767368826102,1767368826102
2,sell,36826.61523597611,5.906,217497.9895836749,5.953247999999999,5.764256,5.953247999999999,-1776.93177915,36.94786248,closed,sl,1767368826102,1767368826102
2,buy,49102.15364796814,5.953247999999999,292317.298000459,5.906,6.0949919999999995,6.0949919999999995,6909.88676930,50.04889738,closed,tp,1767368826102,1767368826102
3,sell,12617.208539711224,6.093,76876.65163246049,6.141744,5.946768,5.946768,1832.18820008,12.85143910,closed,tp,1767401643306,1767401643306
3,buy,16822.944719614963,6.141744,103322.21979402688,6.093,6.2879760000000005,6.141744,-17.48211958,17.48211958,canceled,,,
3,sell,22430.59295948662,6.093,136669.602902152,6.141744,5.946768,6.093,-23.12449682,23.12449682,canceled,,,
3,buy,29907.457279315488,6.141744,183683.9463004922,6.093,6.2879760000000005,6.141744,-31.07932372,31.07932372,canceled,,,
3,sell,39876.60970575398,6.093,242968.182937159,6.141744,5.946768,6.093,-41.11021656,41.11021656,canceled,,,
3,buy,53168.81294100531,6.141744,326549.2378675417,6.093,6.2879760000000005,6.141744,-55.25213104,55.25213104,canceled,,,
4,buy,14599.491277355328,5.945,86793.97564387743,5.8974400000000005,6.087680000000001,5.8974400000000005,-708.97860367,14.62679852,closed,sl,1767422693034,1767422693034
4,sell,19465.988369807103,5.8974400000000005,114799.49845163521,5.945,5.75476,5.75476,2758.21811411,19.18910649,closed,tp,1767422693034,1767422693034
