seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,96535.28817291882,0.2695,26016.260162601626,0.25872,0.31262,0.31262,4157.84751870,4.75410732,closed,tp,1767225602641,1767225602641
0,sell,120669.11021614853,0.25872,31219.512195121948,0.2695,0.2156,0.25872,-5.28234146,5.28234146,canceled,,,
0,buy,150836.38777018565,0.2695,40650.40650406504,0.25872,0.31262,0.2695,-6.87804878,6.87804878,canceled,,,
0,sell,188545.48471273208,0.25872,48780.487804878045,0.2695,0.2156,0.25872,-8.25365854,8.25365854,canceled,,,
1,buy,117753.91444656193,0.3128,36833.42443888458,0.300288,0.362848,0.362848,5886.61711757,6.73079265,closed,tp,1767369652214,1767369652214
1,sell,147192.3930582024,0.300288,44200.109326661484,0.3128,0.25024,0.300288,-7.47865850,7.47865850,canceled,,,
1,buy,183990.49132275302,0.3128,57552.22568575715,0.300288,0.362848,0.3128,-9.73783658,9.73783658,canceled,,,
1,sell,229988.11415344127,0.300288,69062.67082290858,0.3128,0.25024,0.300288,-11.68540390,11.68540390,canceled,,,
2,sell,143698.54141559952,0.3629,52148.20067972107,0.377416,0.304836,0.377416,-2094.92797226,8.99994507,closed,sl,1767498350140,1767498350140
2,buy,179623.1767694994,0.377416,67792.66088363738,0.3629,0.43548,0.43548,10417.28727016,12.35286578,closed,tp,1767498350140,1767498350140
2,sell,224528.97096187426,0.3629,81481.56356206417,0.377416,0.304836,0.3629,-13.78668056,13.78668056,canceled,,,
2,buy,280661.2137023428,0.377416,105926.03263068342,0.3629,0.43548,0.377416,-17.92268472,17.92268472,canceled,,,
3,sell,169537.9442816824,0.4353,73799.86714581636,0.452712,0.36565200000000003,0.452712,-2964.73136210,12.73667627,closed,sl,1767697698016,1767697698016
3,buy,211922.430352103,0.452712,95939.82728956125,0.4353,0.52236,0.4353,-3705.91420263,15.92084534,closed,sl,1767697698016,1767697698016
3,sell,264903.03794012876,0.4353,115312.29241533806,0.452712,0.36565200000000003,0.36565200000000003,18432.01681376,17.94997269,closed,tp,1767697698016,1767697698016
3,buy,331128.79742516094,0.452712,149905.98013993946,0.4353,0.52236,0.452712,-25.36409184,25.36409184,canceled,,,
4,buy,285632.1657296544,0.3655,104398.5565741887,0.35087999999999997,0.42397999999999997,0.42397999999999997,16684.69167723,19.07737464,closed,tp,1768227864075,1768227864075
4,sell,357040.20716206805,0.35087999999999997,125278.26788902642,0.3655,0.2924,0.35087999999999997,-21.19708292,21.19708292,canceled,,,
4,buy,446300.25895258505,0.3655,163122.74464716983,0.35087999999999997,0.42397999999999997,0.3655,-27.60036840,27.60036840,canceled,,,
4,sell,557875.3236907313,0.35087999999999997,195747.29357660378,0.3655,0.2924,0.35087999999999997,-33.12044208,33.12044208,canceled,,,
5,buy,348516.5869251359,0.4241,147805.88451495013,0.407136,0.49195599999999995,0.407136,-5936.74396115,24.50858055,closed,sl,1768343050957,1768343050957
5,sell,435645.7336564199,0.407136,177367.06141794016,0.4241,0.33928,0.33928,29533.66727176,27.50963123,closed,tp,1768343050957,1768343050957
5,buy,544557.1670705249,0.4241,230946.6945546096,0.407136,0.49195599999999995,0.4241,-39.07618072,39.07618072,canceled,,,
5,sell,680696.4588381561,0.407136,277136.03346553154,0.4241,0.33928,0.407136,-46.89141686,46.89141686,canceled,,,
6,sell,617280.1832503224,0.3389,209196.25410353424,0.352456,0.284676,0.352456,-8403.95409046,36.10392632,closed,sl,1768780854567,1768780854567
6,buy,771600.229062903,0.352456,271955.1303345945,0.3389,0.40668,0.3389,-10504.94261308,45.12990790,closed,sl,1768780854567,1768780854567
6,sell,964500.2863286287,0.3389,326869.1470367722,0.352456,0.284676,0.284676,52248.18176697,50.88175891,closed,tp,1768780854567,1768780854567
6,buy,1205625.3579107858,0.352456,424929.8911478039,0.3389,0.40668,0.352456,-71.89813758,71.89813758,canceled,,,
7,sell,1041282.9186772754,0.2842,295932.6054880817,0.295568,0.238728,0.238728,47303.15082499,46.06605310,closed,tp,1769737377469,1769737377469
7,buy,1301603.6483465943,0.295568,384712.3871345062,0.2842,0.34104,0.295568,-65.09333590,65.09333590,canceled,,,
7,sell,1627004.560433243,0.2842,462394.69607512763,0.295568,0.238728,0.2842,-78.23718258,78.23718258,canceled,,,
7,buy,2033755.7005415536,0.295568,601113.1048976659,0.2842,0.34104,0.295568,-101.70833734,101.70833734,canceled,,,
8,sell,1764200.8982124717,0.2375,418997.713325462,0.247,0.19949999999999998,0.247,-16832.22083438,72.31230136,closed,sl,1769879518045,1769879518045
8,buy,2205251.1227655895,0.247,544697.0273231006,0.2375,0.285,0.2375,-21040.27604296,90.39037669,closed,sl,1769879518045,1769879518045
8,sell,2756563.903456987,0.2375,654683.9270710343,0.247,0.19949999999999998,0.247,-26300.34505371,112.98797087,closed,sl,1769879518045,1769879518045
8,buy,3445704.879321234,0.247,851089.1051923448,0.2375,0.285,0.247,-144.00427660,144.00427660,open,,1769879518045,
