seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,54200.54200542006,0.48,26016.260162601626,0.4608,0.5568,0.5568,4157.84751870,4.75410732,closed,tp,1767225606238,1767225606238
0,sell,67750.67750677507,0.4608,31219.51219512195,0.48,0.384,0.4608,-5.28234146,5.28234146,canceled,,,
0,buy,84688.34688346884,0.48,40650.40650406504,0.4608,0.5568,0.48,-6.87804878,6.87804878,canceled,,,
0,sell,105860.43360433605,0.4608,48780.48780487805,0.48,0.384,0.4608,-8.25365854,8.25365854,canceled,,,
1,buy,66140.10493604702,0.5569,36833.424438884584,0.534624,0.6460039999999999,0.6460039999999999,5886.61711757,6.73079265,closed,tp,1767394023761,1767394023761
1,sell,82675.13117005877,0.534624,44200.1093266615,0.5569,0.44552,0.534624,-7.47865850,7.47865850,canceled,,,
1,buy,103343.91396257347,0.5569,57552.225685757156,0.534624,0.6460039999999999,0.5569,-9.73783658,9.73783658,canceled,,,
1,sell,129179.89245321683,0.534624,69062.67082290859,0.5569,0.44552,0.534624,-11.68540390,11.68540390,canceled,,,
2,sell,80699.78440068258,0.6462,52148.20067972108,0.672048,0.542808,0.542808,8335.59451125,8.11759751,closed,tp,1767639458705,1767639458705
2,buy,100874.73050085321,0.672048,67792.66088363739,0.6462,0.77544,0.672048,-11.47051822,11.47051822,canceled,,,
2,sell,126093.41312606653,0.6462,81481.5635620642,0.672048,0.542808,0.6462,-13.78668056,13.78668056,canceled,,,
2,buy,157616.76640758317,0.672048,105926.03263068345,0.6462,0.77544,0.672048,-17.92268472,17.92268472,canceled,,,
3,sell,136049.9359151879,0.5427,73834.30022117247,0.5644079999999999,0.45586799999999994,0.5644079999999999,-2966.11462772,12.74261887,closed,sl,1768577595715,1768577595715
3,buy,170062.4198939849,0.5644079999999999,95984.5902875242,0.5427,0.6512399999999999,0.5427,-3707.64328465,15.92827359,closed,sl,1768577595715,1768577595715
3,sell,212578.0248674811,0.5427,115366.09409558198,0.5644079999999999,0.45586799999999994,0.45586799999999994,18440.61670762,17.95834767,closed,tp,1768577595715,1768577595715
3,buy,265722.53108435136,0.5644079999999999,149975.92232425656,0.5427,0.6512399999999999,0.5644079999999999,-25.37592606,25.37592606,canceled,,,
4,buy,228349.94795053435,0.4574,104447.2661925744,0.439104,0.530584,0.439104,-4195.20967559,17.31902789,closed,sl,1768780967886,1768780967886
4,sell,285437.4349381679,0.439104,125336.71943108928,0.4574,0.36592,0.4574,-5244.01209449,21.64878486,closed,sl,1768780967886,1768780967886
4,buy,356796.7936727099,0.4574,163198.8534258975,0.439104,0.530584,0.530584,26081.99424246,29.82230568,closed,tp,1768780967886,1768780967886
4,sell,445995.9920908874,0.439104,195838.62411107702,0.4574,0.36592,0.439104,-33.13589520,33.13589520,canceled,,,
5,buy,251193.16754584273,0.5308,133333.33333333334,0.509568,0.615728,0.509568,-5355.44213333,22.10880000,closed,sl,1769634573298,1769634573298
5,sell,313991.45943230344,0.509568,160000,0.5308,0.42464,0.5308,-6694.30266667,27.63600000,closed,sl,1769634573298,1769634573298
5,buy,392489.3242903793,0.5308,208333.33333333334,0.509568,0.615728,0.615728,33295.26333333,38.07000000,closed,tp,1769634573298,1769634573298
5,sell,490611.6553629741,0.509568,250000,0.5308,0.42464,0.509568,-42.30000000,42.30000000,canceled,,,
6,sell,199897.55250434153,0.6157,123076.92307692308,0.640328,0.517188,0.640328,-4944.31803077,21.24110769,closed,sl,1769639905387,1769639905387
6,buy,249871.94063042692,0.640328,160000,0.6157,0.73884,0.6157,-6180.39753847,26.55138462,closed,sl,1769639905387,1769639905387
6,sell,312339.92578803364,0.6157,192307.6923076923,0.640328,0.517188,0.640328,-7725.49692308,33.18923077,closed,sl,1769639905387,1769639905387
6,buy,390424.907235042,0.640328,250000,0.6157,0.73884,0.6157,-9656.87115384,41.48653846,closed,sl,1769639905387,1769639905387
7,sell,199930.024491428,0.6156,123076.92307692308,0.640224,0.517104,0.517104,19673.14904616,19.15864615,closed,tp,1769643121249,1769643121249
7,buy,249912.53061428497,0.640224,160000,0.6156,0.73872,0.640224,-27.07200000,27.07200000,canceled,,,
7,sell,312390.66326785623,0.6156,192307.6923076923,0.640224,0.517104,0.6156,-32.53846154,32.53846154,canceled,,,
7,buy,390488.3290848203,0.640224,250000,0.6156,0.73872,0.640224,-42.30000000,42.30000000,canceled,,,
8,sell,237875.7693794416,0.5174,123076.92307692308,0.538096,0.434616,0.434616,19673.14904616,19.15864615,closed,tp,1769659684247,1769659684247
8,buy,297344.711724302,0.538096,160000,0.5174,0.62088,0.538096,-27.07200000,27.07200000,canceled,,,
8,sell,371680.8896553775,0.5174,192307.6923076923,0.538096,0.434616,0.5174,-32.53846154,32.53846154,canceled,,,
