seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,28756.70518275264,1.8395,52897.95918367348,1.80730875,1.9360737499999998,1.9360737499999998,2767.95757616,9.18528098,closed,tp,1767225601802,1767225601802
0,sell,38342.27357700352,1.80730875,69296.32653061226,1.8395,1.7107350000000001,1.80730875,-11.72493844,11.72493844,canceled,,,
0,buy,51123.03143600469,1.8395,94040.81632653062,1.80730875,1.9360737499999998,1.8395,-15.91170612,15.91170612,canceled,,,
0,sell,68164.04191467291,1.80730875,123193.4693877551,1.8395,1.7107350000000001,1.80730875,-20.84433502,20.84433502,canceled,,,
1,buy,34882.70316716957,1.9362,67539.88987227372,1.9023165,2.0378505,2.0378505,3534.11649051,11.72772778,closed,tp,1767370933019,1767370933019
1,sell,46510.270889559426,1.9023165,88477.25573267858,1.9362,1.8006659999999999,1.9023165,-14.97035166,14.97035166,canceled,,,
1,buy,62013.69451941257,1.9362,120070.91532848662,1.9023165,2.0378505,1.9362,-20.31599888,20.31599888,canceled,,,
1,sell,82684.92602588341,1.9023165,157292.89908031744,1.9362,1.8006659999999999,1.9023165,-26.61395852,26.61395852,canceled,,,
2,sell,42313.36842925974,2.038,86234.64485883134,2.0736649999999996,1.9310049999999999,2.0736649999999996,-1523.82485734,14.71857231,closed,sl,1767400303445,1767400303445
2,buy,56417.82457234632,2.0736649999999996,116991.6681918145,2.038,2.1806599999999996,2.1806599999999996,6016.11946829,20.30567183,closed,tp,1767400303445,1767400303445
2,sell,75223.76609646175,2.038,153306.03530458905,2.0736649999999996,1.9310049999999999,2.038,-25.93938118,25.93938118,canceled,,,
2,buy,100298.35479528231,2.0736649999999996,207985.18789655907,2.038,2.1806599999999996,2.0736649999999996,-35.19109380,35.19109380,canceled,,,
3,sell,50439.27299886792,2.1808,109997.96655593117,2.218964,2.0663080000000003,2.218964,-1943.73892266,18.77450793,closed,sl,1767629840695,1767629840695
3,buy,67252.36399849056,2.218964,149230.57462754662,2.1808,2.333456,2.333456,7673.95643774,25.90122118,closed,tp,1767629840695,1767629840695
3,sell,89669.81866465407,2.1808,195551.9405438776,2.218964,2.0663080000000003,2.1808,-33.08738834,33.08738834,canceled,,,
3,buy,119559.75821953875,2.218964,265298.7993378606,2.1808,2.333456,2.218964,-44.88855684,44.88855684,canceled,,,
4,buy,60125.83466684059,2.3336,140309.6477785392,2.292762,2.456114,2.292762,-2478.95150009,23.53266397,closed,sl,1767644226152,1767644226152
4,sell,80167.77955578745,2.292762,183805.63858988637,2.3336,2.1702480000000004,2.1702480000000004,9791.40634419,30.26900031,closed,tp,1767644226152,1767644226152
4,buy,106890.37274104993,2.3336,249439.37382851413,2.292762,2.456114,2.3336,-42.20514206,42.20514206,canceled,,,
4,sell,142520.49698806653,2.292762,326765.57971535344,2.3336,2.1702480000000004,2.292762,-55.28873608,55.28873608,canceled,,,
5,buy,82480.5500051009,2.1701,178991.04156606947,2.1321232500000002,2.2840302500000003,2.1321232500000002,-3162.36351541,30.02028800,closed,sl,1767813975300,1767813975300
5,sell,109974.06667346787,2.1321232500000002,234478.26445155102,2.1701,2.018193,2.1701,-4216.48468720,40.02705066,closed,sl,1767813975300,1767813975300
5,buy,146632.08889795715,2.1701,318206.2961174568,2.1321232500000002,2.2840302500000003,2.1321232500000002,-5621.97958294,53.36940088,closed,sl,1767813975300,1767813975300
5,sell,195509.4518639428,2.1321232500000002,416850.24791386834,2.1701,2.018193,2.1701,-7495.97277724,71.15920117,closed,sl,1767813975300,1767813975300
6,sell,32516.426877452694,2.1702,70567.14960944784,2.2081785,2.0562645,2.0562645,3693.14881678,11.62653772,closed,tp,1768403863103,1768403863103
6,buy,43355.23583660359,2.2081785,95736.09963681755,2.1702,2.322114,2.2081785,-16.19854806,16.19854806,canceled,,,
6,sell,57806.981115471455,2.1702,125452.71041679615,2.2081785,2.0562645,2.1702,-21.22659860,21.22659860,canceled,,,
6,buy,77075.97482062859,2.2081785,170197.51046545338,2.1702,2.322114,2.2081785,-28.79741878,28.79741878,canceled,,,
7,sell,43818.09713872137,2.0563,90103.15314635275,2.0922852499999998,1.9483442499999999,1.9483442499999999,4715.57027982,14.84526036,closed,tp,1768505492655,1768505492655
7,buy,58424.12951829516,2.0922852499999998,122239.94443521855,2.0563,2.2002409999999997,2.0922852499999998,-20.68299860,20.68299860,canceled,,,
7,sell,77898.83935772687,2.0563,160183.38337129375,2.0922852499999998,1.9483442499999999,2.0563,-27.10302846,27.10302846,canceled,,,
7,buy,103865.11914363582,2.0922852499999998,217315.45677372185,2.0563,2.2002409999999997,2.0922852499999998,-36.76977528,36.76977528,canceled,,,
8,sell,59053.25816925242,1.9482,115047.55756533756,1.9822935,1.8459195,1.8459195,6021.04170917,18.95506301,closed,tp,1768780855031,1768780855031
8,buy,78737.67755900322,1.9822935,156081.18643030795,1.9482,2.084574,1.9822935,-26.40893674,26.40893674,canceled,,,
8,sell,104983.57007867096,1.9482,204528.99122726676,1.9822935,1.8459195,1.9482,-34.60630532,34.60630532,canceled,,,
8,buy,139978.09343822792,1.9822935,277477.66476499185,1.9482,2.084574,1.9822935,-46.94922088,46.94922088,canceled,,,
9,sell,79584.80844231538,1.8458,146897.63942282574,1.8781015,1.7488955000000002,1.8781015,-2595.78125245,25.07256255,closed,sl,1768780969498,1768780969498
9,buy,106113.07792308717,1.8781015,199291.1308169669,1.8458,1.975006,1.975006,10248.24477244,34.58998716,closed,tp,1768780969498,1768780969498
9,sell,141484.10389744956,1.8458,261151.3589739124,1.8781015,1.7488955000000002,1.8458,-44.18680994,44.18680994,canceled,,,
9,buy,188645.47186326602,1.8781015,354295.34367460775,1.8458,1.975006,1.8781015,-59.94677214,59.94677214,canceled,,,
10,sell,94865.13250117209,1.9752,187377.6097163151,2.009766,1.871502,2.009766,-3311.08987415,31.98170411,closed,sl,1768810861061,1768810861061
10,buy,126486.84333489611,2.009766,254208.9571818008,1.9751999999999998,2.113464,1.9751999999999998,-4414.78649887,42.64227216,closed,sl,1768810861061,1768810861061
10,sell,168649.12444652815,1.9751999999999998,333115.7506067824,2.009766,1.8715019999999998,1.8715019999999998,17433.69325546,54.88365140,closed,tp,1768810861061,1768810861061
10,buy,224865.49926203748,2.009766,451927.034989868,1.9751999999999998,2.113464,2.009766,-76.46605432,76.46605432,canceled,,,
11,buy,127567.58567772024,1.8714,238729.97983728565,1.8386505,1.9696485,1.9696485,12491.87050967,41.45343179,closed,tp,1768948412286,1768948412286
11,sell,170090.1142369603,1.8386505,312736.27358684415,1.8714,1.740402,1.8386505,-52.91497750,52.91497750,canceled,,,
11,buy,226786.81898261374,1.8714,424408.8530440633,1.8386505,1.9696485,1.8714,-71.80997794,71.80997794,canceled,,,
11,sell,302382.4253101516,1.8386505,555975.5974877229,1.8714,1.740402,1.8386505,-94.07107110,94.07107110,canceled,,,
12,buy,154749.16254866135,1.9697,304809.4254720983,1.93523025,2.07310925,1.93523025,-5385.28743019,51.12248443,closed,sl,1769024267933,1769024267933
12,sell,206332.21673154845,1.93523025,399300.3473684487,1.9697,1.8318210000000001,1.8318210000000001,21270.90324569,65.75653736,closed,tp,1769024267933,1769024267933
12,buy,275109.62230873125,1.9697,541883.423061508,1.93523025,2.07310925,1.9697,-91.68667518,91.68667518,canceled,,,
12,sell,366812.82974497497,1.93523025,709867.2842105754,1.9697,1.8318210000000001,1.93523025,-120.10954448,120.10954448,canceled,,,
13,buy,212284.2666231676,1.8317,388841.0911736561,1.7996452500000002,1.92786425,1.92786425,20346.63833629,67.51895033,closed,tp,1769364785597,1769364785597
13,sell,283045.6888308901,1.7996452500000002,509381.8294374895,1.8317,1.7034810000000002,1.7996452500000002,-86.18740554,86.18740554,canceled,,,
13,buy,377394.2517745202,1.8317,691273.0509753887,1.7996452500000002,1.92786425,1.8317,-116.96340022,116.96340022,canceled,,,
13,sell,503192.3356993601,1.7996452500000002,905567.696777759,1.8317,1.7034810000000002,1.7996452500000002,-153.22205430,153.22205430,canceled,,,
14,buy,222712.299261981,1.928,429389.3129770994,1.89426,2.02922,1.89426,-7586.32993798,72.01696088,closed,sl,1769440244650,1769440244650
14,sell,296949.732349308,1.89426,562500.0000000001,1.928,1.79304,1.928,-10115.10658397,96.02261450,closed,sl,1769440244650,1769440244650
14,buy,395932.976465744,1.928,763358.7786259544,1.89426,2.02922,1.89426,-13486.80877862,128.03015267,closed,sl,1769440244650,1769440244650
14,sell,527910.6352876585,1.89426,1000000.0000000001,1.928,1.79304,1.79304,53270.43511451,164.67938931,closed,tp,1769440244650,1769440244650
15,sell,231217.4685585349,1.7932,414619.1646191648,1.8245809999999998,1.6990569999999998,1.8245809999999998,-7326.60278717,70.76740633,closed,sl,1769701265481,1769701265481
