seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,3901864.0158192557,2.8453,11101973.684210528,2.703035,3.272095,2.703035,-558410.95805921,3312.27384868,closed,sl,1759276800002,1759276800002
0,sell,5202485.354425674,2.703035,14062500.000000002,2.8453,2.2762399999999996,2.2762399999999996,2216431.33223685,3963.40460526,closed,tp,1759276800002,1759276800002
0,buy,6936647.139234232,2.8453,19736842.10526316,2.703035,3.272095,2.8453,-6039.47368422,6039.47368422,canceled,,,
0,sell,9248862.852312308,2.703035,24999999.999999996,2.8453,2.2762399999999996,2.703035,-7650.00000000,7650.00000000,canceled,,,
1,buy,4218750.000000001,2.2761,9602296.875000002,2.162295,2.617515,2.162295,-482979.68902266,2864.84527266,closed,sl,1760130811646,1760130811646
1,sell,5625000.000000001,2.162295,12162909.375000002,2.2761,1.8208799999999998,1.8208799999999998,1917031.35501562,3428.01998438,closed,tp,1760130811646,1760130811646
1,buy,7500000.000000001,2.2761,17070750.000000004,2.162295,2.617515,2.2761,-5223.64950000,5223.64950000,canceled,,,
1,sell,10000000,2.162295,21622950,2.2761,1.8208799999999998,2.162295,-6616.62270000,6616.62270000,canceled,,,
2,sell,4218750.000000001,1.8205,7680234.375000002,1.911525,1.547425,1.547425,1149861.26591015,2173.89033985,closed,tp,1760131152453,1760131152453
2,buy,5625000.000000001,1.911525,10752328.125000002,1.8205,2.1846,1.911525,-3290.21240626,3290.21240626,canceled,,,
2,sell,7500000.000000001,1.8205,13653750.000000002,1.911525,1.547425,1.8205,-4178.04750000,4178.04750000,canceled,,,
2,buy,10000000,1.911525,19115250,1.8205,2.1846,1.911525,-5849.26650000,5849.26650000,canceled,,,
3,sell,4218750.000000001,1.5473,6527671.875000001,1.6246649999999998,1.315205,1.6246649999999998,-328430.99803360,2047.40428360,closed,sl,1760131188014,1760131188014
3,buy,5625000.000000001,1.6246649999999998,9138740.625,1.5473,1.8567599999999997,1.5473,-437907.99737813,2729.87237813,closed,sl,1760131188014,1760131188014
3,sell,7500000.000000001,1.5473,11604750,1.6246649999999998,1.315205,1.315205,1737427.77551250,3284.72448750,closed,tp,1760131188014,1760131188014
3,buy,10000000,1.6246649999999998,16246649.999999998,1.5473,1.8567599999999997,1.6246649999999998,-4971.47490000,4971.47490000,canceled,,,
4,buy,4218750.000000001,1.3151,5548078.125000001,1.249345,1.512365,1.249345,-279059.17535860,1655.26910860,closed,sl,1760131254699,1760131254699
4,sell,5625000.000000001,1.249345,7027565.625000001,1.3151,1.05208,1.3151,-372078.90047813,2207.02547813,closed,sl,1760131254699,1760131254699
4,buy,7500000.000000001,1.3151,9863250,1.249345,1.512365,1.512365,1476242.98391250,3244.51608750,closed,tp,1760131254699,1760131254699
4,sell,10000000,1.249345,12493450,1.3151,1.05208,1.249345,-3822.99570000,3822.99570000,canceled,,,
5,buy,4218750.000000001,1.5135,6385078.125000002,1.4378250000000001,1.740525,1.740525,955661.34730078,2100.37144922,closed,tp,1760131302930,1760131302930
5,sell,5625000.000000001,1.4378250000000001,8087765.625000002,1.5135,1.2108,1.4378250000000001,-2474.85628126,2474.85628126,canceled,,,
5,buy,7500000.000000001,1.5135,11351250.000000002,1.4378250000000001,1.740525,1.5135,-3473.48250000,3473.48250000,canceled,,,
