seriesId,side,quantity,entryPrice,notional,stopLoss,takeProfit,exitPrice,pnl,feeRoundTrip,status,outcome,fillTime,exitTime
0,buy,101.81293845185155,511.06,52032.52032520325,500.8388,551.9448,500.8388,-1049.36626992,8.71586342,closed,sl,1767225601699,1767225601699
0,sell,127.26617306481444,500.8388,63739.83739837399,511.06,459.954,511.06,-1311.70783739,10.89482926,closed,sl,1767225601699,1767225601699
0,buy,159.08271633101805,511.06,81300.81300813008,500.8388,551.9448,500.8388,-1639.63479674,13.61853658,closed,sl,1767225601699,1767225601699
0,sell,198.85339541377255,500.8388,99593.49593495934,511.06,459.954,511.06,-2049.54349594,17.02317074,closed,sl,1767225601699,1767225601699
1,buy,40.212754079954294,511.07,20551.53222764224,500.8486,551.9556,500.8486,-414.47319061,3.44254606,closed,sl,1767428283136,1767428283136
1,sell,50.26594259994287,500.8486,25175.626978861743,511.07,459.96299999999997,511.07,-518.09148826,4.30318257,closed,sl,1767428283136,1767428283136
1,buy,62.83242824992858,511.07,32111.769105691,500.8486,551.9556,500.8486,-647.61436033,5.37897822,closed,sl,1767428283136,1767428283136
1,sell,78.54053531241073,500.8486,39336.91715447147,511.07,459.96299999999997,459.96299999999997,3204.79276976,6.38414081,closed,tp,1767428283136,1767428283136
2,sell,63.063524717226805,459.93,29004.806923194126,469.1286,423.1356,423.1356,2315.67324506,4.71130880,closed,tp,1767844507326,1767844507326
2,buy,78.8294058965335,469.1286,36981.128827072505,459.93,505.923,469.1286,-6.25720700,6.25720700,canceled,,,
2,sell,98.53675737066688,459.93,45320.01081749082,469.1286,423.1356,459.93,-7.66814584,7.66814584,canceled,,,
2,buy,123.1709467133336,469.1286,57783.01379230079,459.93,505.923,469.1286,-9.77688594,9.77688594,canceled,,,
3,sell,97.0287595239589,423.11,41053.83844218225,431.5722,389.26120000000003,389.26120000000003,3277.63861829,6.66845708,closed,tp,1767862342487,1767862342487
3,buy,121.28594940494862,431.5722,52343.64401378237,423.11,465.421,431.5722,-8.85654456,8.85654456,canceled,,,
3,sell,151.60743675618576,423.11,64146.62256590976,431.5722,389.26120000000003,423.11,-10.85360854,10.85360854,canceled,,,
3,buy,189.50929594523222,431.5722,81786.94377153495,423.11,465.421,431.5722,-13.83835088,13.83835088,canceled,,,
4,buy,149.29018381083327,389.23,58108.21824469064,381.4454,420.3684,381.4454,-1171.89795631,9.73359142,closed,sl,1767866265369,1767866265369
4,sell,186.61272976354158,381.4454,71182.56734974602,389.23,350.307,389.23,-1464.87244540,12.16698928,closed,sl,1767866265369,1767866265369
4,buy,233.265912204427,389.23,90794.09100732913,381.4454,420.3684,420.3684,7247.55042598,15.97685461,closed,tp,1767866265369,1767866265369
4,sell,291.5823902555337,381.4454,111222.76148397816,389.23,350.307,381.4454,-18.81889124,18.81889124,canceled,,,
5,buy,155.3391271591532,420.41,65306.1224489796,412.0018,454.04280000000006,412.0018,-1317.06174694,10.93929796,closed,sl,1767885668437,1767885668437
5,sell,194.17390894894152,412.0018,80000.00000000001,420.41,378.369,378.369,6517.62873470,12.98351020,closed,tp,1767885668437,1767885668437
5,buy,242.7173861861769,420.41,102040.81632653064,412.0018,454.04280000000006,420.41,-17.26530612,17.26530612,canceled,,,
5,sell,303.3967327327211,412.0018,125000.00000000001,420.41,378.369,412.0018,-21.15000000,21.15000000,canceled,,,
6,sell,165.44957820698156,379.24,62745.098039215685,386.8248,348.9008,386.8248,-1265.62459607,10.72263529,closed,sl,1768018034157,1768018034157
6,buy,206.81197275872694,386.8248,79999.99999999999,379.24,417.164,379.24,-1582.03074510,13.40329412,closed,sl,1768018034157,1768018034157
6,sell,258.5149659484087,379.24,98039.21568627452,386.8248,348.9008,386.8248,-1977.53843138,16.75411765,closed,sl,1768018034157,1768018034157
6,buy,323.14370743551086,386.8248,125000,379.24,417.164,379.24,-2471.92303922,20.94264706,closed,sl,1768018034157,1768018034157
7,sell,165.4583039903372,379.22,62745.098039215685,386.80440000000004,348.8824,386.80440000000004,-1265.62459607,10.72263529,closed,sl,1768169318068,1768169318068
7,buy,206.8228799879215,386.80440000000004,80000,379.22,417.14200000000005,417.14200000000005,6260.44298039,14.06682353,closed,tp,1768169318068,1768169318068
7,sell,258.5285999849019,379.22,98039.21568627452,386.80440000000004,348.8824,379.22,-16.58823530,16.58823530,canceled,,,
7,buy,323.16074998112737,386.80440000000004,125000,379.22,417.14200000000005,386.80440000000004,-21.15000000,21.15000000,canceled,,,
8,sell,150.40654418873766,417.17,62745.09803921569,425.5134,383.7964,383.7964,5009.41603138,10.19181176,closed,tp,1768190950634,1768190950634
8,buy,188.00818023592205,425.5134,80000,417.17,458.887,425.5134,-13.53600000,13.53600000,canceled,,,
8,sell,235.0102252949026,417.17,98039.21568627452,425.5134,383.7964,417.17,-16.58823530,16.58823530,canceled,,,
8,buy,293.76278161862825,425.5134,125000.00000000001,417.17,458.887,425.5134,-21.15000000,21.15000000,canceled,,,
9,sell,163.4966204737621,383.77,62745.09803921568,391.4454,353.0684,391.4454,-1265.62459607,10.72263529,closed,sl,1768317436337,1768317436337
9,buy,204.37077559220262,391.4454,79999.99999999999,383.77,422.147,422.147,6260.44298039,14.06682353,closed,tp,1768317436337,1768317436337
9,sell,255.4634694902533,383.77,98039.2156862745,391.4454,353.0684,383.77,-16.58823530,16.58823530,canceled,,,
9,buy,319.3293368628166,391.4454,124999.99999999999,383.77,422.147,391.4454,-21.15000000,21.15000000,canceled,,,
10,sell,148.6287143244639,422.16,62745.09803921569,430.6032,388.3872,430.6032,-1265.62459607,10.72263529,closed,sl,1768364301030,1768364301030
10,buy,185.78589290557989,430.6032,80000,422.16,464.37600000000003,422.16,-1582.03074510,13.40329412,closed,sl,1768364301030,1768364301030
10,sell,232.23236613197486,422.16,98039.21568627452,430.6032,388.3872,430.6032,-1977.53843138,16.75411765,closed,sl,1768364301030,1768364301030
10,buy,290.2904576649686,430.6032,125000,422.16,464.37600000000003,422.16,-2471.92303922,20.94264706,closed,sl,1768364301030,1768364301030
11,buy,154.70252155441227,422.14,65306.12244897959,413.6972,455.9112,413.6972,-1317.06174694,10.93929796,closed,sl,1768447911513,1768447911513
11,sell,193.37815194301533,413.6972,80000,422.14,379.926,422.14,-1646.32718367,13.67412245,closed,sl,1768447911513,1768447911513
11,buy,241.72268992876917,422.14,102040.81632653062,413.6972,455.9112,413.6972,-2057.90897959,17.09265306,closed,sl,1768447911513,1768447911513
11,sell,302.15336241096145,413.6972,125000,422.14,379.926,379.926,10183.79489796,20.28673469,closed,tp,1768447911513,1768447911513
12,buy,171.89892987544312,379.91,65306.1224489796,372.3118,410.30280000000005,372.3118,-1317.06174694,10.93929796,closed,sl,1768779979882,1768779979882
12,sell,214.8736623443039,372.3118,80000.00000000001,379.91,341.919,341.919,6517.62873470,12.98351020,closed,tp,1768779979882,1768779979882
12,buy,268.59207793037984,379.91,102040.8163265306,372.3118,410.30280000000005,379.91,-17.26530612,17.26530612,canceled,,,
12,sell,335.7400974129748,372.3118,125000,379.91,341.919,372.3118,-21.15000000,21.15000000,canceled,,,
13,buy,191.02059918386448,341.88,65306.122448979586,335.0424,369.2304,335.0424,-1317.06174694,10.93929796,closed,sl,1768780916644,1768780916644
13,sell,238.7757489798306,335.0424,80000,341.88,307.692,341.88,-1646.32718367,13.67412245,closed,sl,1768780916644,1768780916644
13,buy,298.46968622478823,341.88,102040.8163265306,335.0424,369.2304,335.0424,-2057.90897959,17.09265306,closed,sl,1768780916644,1768780916644
13,sell,373.0871077809853,335.0424,124999.99999999999,341.88,307.692,341.88,-2572.38622449,21.36581633,closed,sl,1768780916644,1768780916644
14,buy,191.01501198917663,341.89,65306.12244897959,335.05219999999997,369.2412,335.05219999999997,-1317.06174694,10.93929796,closed,sl,1768780957547,1768780957547
14,sell,238.76876498647079,335.05219999999997,80000,341.89,307.70099999999996,341.89,-1646.32718367,13.67412245,closed,sl,1768780957547,1768780957547
14,buy,298.4609562330885,341.89,102040.81632653062,335.05219999999997,369.2412,369.2412,8145.30938775,17.95591837,closed,tp,1768780957547,1768780957547
14,sell,373.0761952913606,335.05219999999997,125000,341.89,307.70099999999996,335.05219999999997,-21.15000000,21.15000000,canceled,,,
